source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1157237,Christos Tzolis,Arsenal,arsenal,arsenal,new_2026_0
opta,439509,Christos Tzolis,Arsenal,arsenal,arsenal,new_2026_0
whoscored,399296,Christos Tzolis,Arsenal,arsenal,arsenal,new_2026_0
fotmob,1553189,Luka Lynch,Aston Villa,aston villa,aston villa,new_2026_1
opta,571380,Luka Lynch,Aston Villa,aston villa,aston villa,new_2026_1
fotmob,1602352,Malick Junior Yalcouyé,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_10
fotmob,1530314,Geovany Quenda,Chelsea,chelsea,chelsea,new_2026_11
opta,593117,Geovany Quenda,Chelsea,chelsea,chelsea,new_2026_11
whoscored,509068,Geovany Quenda,Chelsea,chelsea,chelsea,new_2026_11
fotmob,1161885,Bobby Thomas,Coventry City,coventry city,coventry,new_2026_12
whoscored,395615,Bobby Thomas,Coventry,coventry,coventry,new_2026_12
fotmob,845985,Victor Torp,Coventry City,coventry city,coventry,new_2026_13
whoscored,409424,Victor Torp,Coventry,coventry,coventry,new_2026_13
fotmob,776184,Brandon Thomas-Asante,Coventry City,coventry city,coventry,new_2026_14
whoscored,331235,Brandon Thomas-Asante,Coventry,coventry,coventry,new_2026_14
fotmob,1030830,Jack Rudoni,Coventry City,coventry city,coventry,new_2026_15
whoscored,381107,Jack Rudoni,Coventry,coventry,coventry,new_2026_15
fotmob,1187236,Carl Rushworth,Coventry City,coventry city,coventry,new_2026_16
whoscored,421944,Carl Rushworth,Coventry,coventry,coventry,new_2026_16
fotmob,982284,Ellis Simms,Coventry City,coventry city,coventry,new_2026_17
whoscored,396483,Ellis Simms,Coventry,coventry,coventry,new_2026_17
fotmob,478357,Matt Grimes,Coventry City,coventry city,coventry,new_2026_18
whoscored,138584,Matt Grimes,Coventry,coventry,coventry,new_2026_18
fotmob,775355,Gustavo Hamer,Coventry City,coventry city,coventry,new_2026_19
whoscored,332143,Gustavo Hamer,Coventry,coventry,coventry,new_2026_19
fotmob,1292092,António Silva,Bournemouth,bournemouth,bournemouth,new_2026_2
opta,483067,António Silva,Bournemouth,bournemouth,bournemouth,new_2026_2
whoscored,443613,António Silva,Bournemouth,bournemouth,bournemouth,new_2026_2
fotmob,759814,Jay Dasilva,Coventry City,coventry city,coventry,new_2026_20
whoscored,318767,Jay Dasilva,Coventry,coventry,coventry,new_2026_20
fotmob,1615927,Caleb Yirenkyi,Coventry City,coventry city,coventry,new_2026_21
whoscored,561984,Caleb Yirenkyi,Coventry,coventry,coventry,new_2026_21
fotmob,1074750,Milan van Ewijk,Coventry City,coventry city,coventry,new_2026_22
whoscored,379760,Milan van Ewijk,Coventry,coventry,coventry,new_2026_22
fotmob,302783,Ben Wilson,Coventry City,coventry city,coventry,new_2026_23
fotmob,863822,Joel Latibeaudiere,Coventry City,coventry city,coventry,new_2026_24
fotmob,914399,Liam Kitching,Coventry City,coventry city,coventry,new_2026_25
fotmob,962000,Josh Eccles,Coventry City,coventry city,coventry,new_2026_26
fotmob,1025603,Tatsuhiro Sakamoto,Coventry City,coventry city,coventry,new_2026_27
fotmob,1477878,Anan Khalaili,Crystal Palace,crystal palace,crystal palace,new_2026_28
opta,570794,Anan Khalaili,Crystal Palace,crystal palace,crystal palace,new_2026_28
whoscored,444136,Anan Khalaili,Crystal Palace,crystal palace,crystal palace,new_2026_28
fotmob,664444,Takehiro Tomiyasu,Crystal Palace,crystal palace,crystal palace,new_2026_29
opta,223723,Takehiro Tomiyasu,Crystal Palace,crystal palace,crystal palace,new_2026_29
whoscored,377283,Takehiro Tomiyasu,Crystal Palace,crystal palace,crystal palace,new_2026_29
fotmob,1253827,Daniel Jebbison,Bournemouth,bournemouth,bournemouth,new_2026_3
opta,523700,Daniel Jebbison,Bournemouth,bournemouth,bournemouth,new_2026_3
whoscored,415163,Daniel Jebbison,Bournemouth,bournemouth,bournemouth,new_2026_3
fotmob,982394,Hayden Hackney,Everton,everton,everton,new_2026_30
opta,244860,Hayden Hackney,Everton,everton,everton,new_2026_30
whoscored,388651,Hayden Hackney,Everton,everton,everton,new_2026_30
fotmob,1399943,Luc De Fougerolles,Fulham,fulham,fulham,new_2026_31
opta,547686,Luc De Fougerolles,Fulham,fulham,fulham,new_2026_31
fotmob,1281452,Shea Charles,Fulham,fulham,fulham,new_2026_32
opta,463210,Shea Charles,Fulham,fulham,fulham,new_2026_32
whoscored,428060,Shea Charles,Fulham,fulham,fulham,new_2026_32
fotmob,1072068,Konstantinos Tzolakis,Hull City,hull city,hull,new_2026_33
whoscored,397331,Konstantinos Tzolakis,Hull,hull,hull,new_2026_33
fotmob,410836,Semi Ajayi,Hull City,hull city,hull,new_2026_34
whoscored,247815,Semi Ajayi,Hull,hull,hull,new_2026_34
fotmob,295062,John Egan,Hull City,hull city,hull,new_2026_35
whoscored,108632,John Egan,Hull,hull,hull,new_2026_35
fotmob,807930,Regan Slater,Hull City,hull city,hull,new_2026_36
whoscored,349981,Regan Slater,Hull,hull,hull,new_2026_36
fotmob,933635,Ryan Giles,Hull City,hull city,hull,new_2026_37
whoscored,362831,Ryan Giles,Hull,hull,hull,new_2026_37
fotmob,509151,Oli McBurnie,Hull City,hull city,hull,new_2026_38
whoscored,138695,Oliver McBurnie,Hull,hull,hull,new_2026_38
fotmob,280507,Matt Crooks,Hull City,hull city,hull,new_2026_39
whoscored,105742,Matt Crooks,Hull,hull,hull,new_2026_39
fotmob,1572340,Jannik Schuster,Brentford,brentford,brentford,new_2026_4
opta,513086,Jannik Schuster,Brentford,brentford,brentford,new_2026_4
fotmob,1272349,Elliot Stroud,Hull City,hull city,hull,new_2026_40
whoscored,614510,Elliot Stroud,Hull,hull,hull,new_2026_40
fotmob,1231090,Mohamed Belloumi,Hull City,hull city,hull,new_2026_41
whoscored,457802,Mohamed Belloumi,Hull,hull,hull,new_2026_41
fotmob,709148,Lewie Coyle,Hull City,hull city,hull,new_2026_42
whoscored,301415,Lewie Coyle,Hull,hull,hull,new_2026_42
fotmob,1686118,Lucas Herrington,Hull City,hull city,hull,new_2026_43
whoscored,606532,Lucas Herrington,Hull,hull,hull,new_2026_43
fotmob,962046,Cody Drameh,Hull City,hull city,hull,new_2026_44
whoscored,414473,Cody Drameh,Hull,hull,hull,new_2026_44
fotmob,932308,Liam Millar,Hull City,hull city,hull,new_2026_45
whoscored,391821,Liam Millar,Hull,hull,hull,new_2026_45
fotmob,575780,Paddy McNair,Hull City,hull city,hull,new_2026_46
whoscored,244565,Paddy McNair,Hull,hull,hull,new_2026_46
fotmob,538112,Matt Targett,Hull City,hull city,hull,new_2026_47
whoscored,136776,Matt Targett,Hull,hull,hull,new_2026_47
fotmob,518500,Dillon Phillips,Hull City,hull city,hull,new_2026_48
fotmob,605262,Kieran Dowell,Hull City,hull city,hull,new_2026_49
