source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1123505,Amine El Ouazzani,Angers,angers,angers,new_2026_0
opta,501332,Amine El Ouazzani,Angers,angers,angers,new_2026_0
whoscored,511493,Amine El Ouazzani,Angers,angers,angers,new_2026_0
fotmob,1610106,Joseph Kalulu,Angers,angers,angers,new_2026_1
opta,633077,Joseph Kalulu,Angers,angers,angers,new_2026_1
fotmob,1387237,Mamadou Diop,Auxerre,auxerre,auxerre,new_2026_10
whoscored,467216,Mamadou Diop,Auxerre,auxerre,auxerre,new_2026_10
fotmob,1797614,Anis Ouzenadji,Troyes,troyes,troyes,new_2026_100
whoscored,602817,Anis Ouzenadji,Troyes,troyes,troyes,new_2026_100
fotmob,1030945,Iron Gomis,Troyes,troyes,troyes,new_2026_101
whoscored,371549,Iron Gomis,Troyes,troyes,troyes,new_2026_101
fotmob,1523321,Merwan Ifnaou,Troyes,troyes,troyes,new_2026_102
whoscored,602813,Merwan Ifnaoui,Troyes,troyes,troyes,new_2026_102
fotmob,348420,Renaud Ripart,Troyes,troyes,troyes,new_2026_103
whoscored,232582,Renaud Ripart,Troyes,troyes,troyes,new_2026_103
fotmob,1411553,Hugo Picard,Troyes,troyes,troyes,new_2026_104
whoscored,511492,Hugo Picard,Troyes,troyes,troyes,new_2026_104
fotmob,1335765,Patrick Beach,Troyes,troyes,troyes,new_2026_105
whoscored,599694,Patrick Beach,Troyes,troyes,troyes,new_2026_105
fotmob,1487935,Yvann Titi,Troyes,troyes,troyes,new_2026_106
whoscored,602812,Yvann Titi,Troyes,troyes,troyes,new_2026_106
fotmob,1844131,Noah Donkor,Troyes,troyes,troyes,new_2026_107
whoscored,602815,Noah Donkor,Troyes,troyes,troyes,new_2026_107
fotmob,992082,Alexandre Phliponeau,Troyes,troyes,troyes,new_2026_108
whoscored,367207,Alexandre Phliponeau,Troyes,troyes,troyes,new_2026_108
fotmob,1321149,Mouhamed Diop,Troyes,troyes,troyes,new_2026_109
whoscored,443871,Mouhamed Diop,Troyes,troyes,troyes,new_2026_109
fotmob,291643,Paul Nardi,Auxerre,auxerre,auxerre,new_2026_11
fotmob,1342983,Antoine Mille,Troyes,troyes,troyes,new_2026_110
whoscored,512097,Antoine Mille,Troyes,troyes,troyes,new_2026_110
fotmob,1108031,Kandet Diawara,Troyes,troyes,troyes,new_2026_111
whoscored,487109,Kandet Diawara,Troyes,troyes,troyes,new_2026_111
fotmob,2155240,Yacouba Kone,Troyes,troyes,troyes,new_2026_112
whoscored,644957,Yacouba Koné,Troyes,troyes,troyes,new_2026_112
fotmob,560896,Hillel Konaté,Troyes,troyes,troyes,new_2026_113
fotmob,1039458,Paolo Gozzi,Troyes,troyes,troyes,new_2026_114
fotmob,1760691,Christ Batola,Troyes,troyes,troyes,new_2026_115
fotmob,2155239,Idrissa Soukouna,Troyes,troyes,troyes,new_2026_116
fotmob,1827757,Evan Mailly,Brest,brest,brest,new_2026_12
opta,673089,Evan Mailly,Brest,brest,brest,new_2026_12
opta,549915,Joseph Nonge,Brest,brest,brest,new_2026_13
whoscored,468853,Joseph Nonge,Brest,brest,brest,new_2026_13
fotmob,1231909,Mamady Diambou,Brest,brest,brest,new_2026_14
opta,524040,Mamady Diambou,Brest,brest,brest,new_2026_14
whoscored,425916,Mamady Diambou,Brest,brest,brest,new_2026_14
fotmob,2155246,Mathis Laine,Brest,brest,brest,new_2026_15
opta,669911,Mathis Lainé,Brest,brest,brest,new_2026_15
whoscored,604989,Mathis Lainé,Brest,brest,brest,new_2026_15
fotmob,631757,Egil Selvik,Brest,brest,brest,new_2026_16
whoscored,372297,Egil Selvik,Brest,brest,brest,new_2026_16
fotmob,820010,Romain Cagnon,Brest,brest,brest,new_2026_17
fotmob,1427018,Joseph Boende,Brest,brest,brest,new_2026_18
fotmob,2156004,Djibril Ouziad,Le Havre,le havre,le havre,new_2026_19
opta,750309,Djibril Ouziad,Le Havre,le havre,le havre,new_2026_19
fotmob,1169692,Usman Simbakoli,Angers,angers,angers,new_2026_2
opta,523895,Usman Simbakoli,Angers,angers,angers,new_2026_2
whoscored,408914,Usman Simbakoli,Angers,angers,angers,new_2026_2
fotmob,1305787,Elias Jelert,Le Havre,le havre,le havre,new_2026_20
opta,555929,Elias Jelert,Le Havre,le havre,le havre,new_2026_20
whoscored,443655,Elias Jelert,Le Havre,le havre,le havre,new_2026_20
fotmob,791805,Josh Maja,Le Havre,le havre,le havre,new_2026_21
opta,195480,Josh Maja,Le Havre,le havre,le havre,new_2026_21
whoscored,325156,Josh Maja,Le Havre,le havre,le havre,new_2026_21
fotmob,1072117,Kaito Mizuta,Le Havre,le havre,le havre,new_2026_22
opta,547866,Kaito Mizuta,Le Havre,le havre,le havre,new_2026_22
whoscored,422891,Kaito Mizuta,Le Havre,le havre,le havre,new_2026_22
fotmob,1714197,Sota Nakamura,Le Havre,le havre,le havre,new_2026_23
opta,685433,Sota Nakamura,Le Havre,le havre,le havre,new_2026_23
whoscored,570092,Sota Nakamura,Le Havre,le havre,le havre,new_2026_23
fotmob,210443,Vincent Sasso,Le Havre,le havre,le havre,new_2026_24
opta,73954,Vincent Sasso,Le Havre,le havre,le havre,new_2026_24
whoscored,120590,Vincent Sasso,Le Havre,le havre,le havre,new_2026_24
fotmob,807955,Louis Mafouta,Le Mans,le mans,le mans,new_2026_25
whoscored,431641,Louis Mafouta,Le Mans,le mans,le mans,new_2026_25
fotmob,717270,Antoine Rabillard,Le Mans,le mans,le mans,new_2026_26
whoscored,302333,Antoine Rabillard,Le Mans,le mans,le mans,new_2026_26
fotmob,725256,Dame Gueye,Le Mans,le mans,le mans,new_2026_27
whoscored,303292,Dame Gueye,Le Mans,le mans,le mans,new_2026_27
fotmob,722531,Nicolas Kocik,Le Mans,le mans,le mans,new_2026_28
whoscored,302841,Nicolas Kocik,Le Mans,le mans,le mans,new_2026_28
fotmob,1900516,Adil Bourabaa,Le Mans,le mans,le mans,new_2026_29
whoscored,607609,Adil Bourabaa,Le Mans,le mans,le mans,new_2026_29
fotmob,1679978,Aristide Zossou,Auxerre,auxerre,auxerre,new_2026_3
opta,669341,Aristide Zossou,Auxerre,auxerre,auxerre,new_2026_3
whoscored,539650,Aristide Zossou,Auxerre,auxerre,auxerre,new_2026_3
fotmob,1668295,Noa Boissé,Le Mans,le mans,le mans,new_2026_30
whoscored,547546,Noa Boissé,Le Mans,le mans,le mans,new_2026_30
fotmob,874319,Lucas Buadés,Le Mans,le mans,le mans,new_2026_31
whoscored,363569,Lucas Buadés,Le Mans,le mans,le mans,new_2026_31
fotmob,1420942,Théo Eyoum,Le Mans,le mans,le mans,new_2026_32
whoscored,547548,Théo Eyoum,Le Mans,le mans,le mans,new_2026_32
fotmob,1523312,Lucas Bretelle,Le Mans,le mans,le mans,new_2026_33
whoscored,511551,Lucas Bretelle,Le Mans,le mans,le mans,new_2026_33
fotmob,1632788,Rayan Bamba,Le Mans,le mans,le mans,new_2026_34
whoscored,520975,Rayan Bamba,Le Mans,le mans,le mans,new_2026_34
fotmob,1039807,Alexandre Lauray,Le Mans,le mans,le mans,new_2026_35
whoscored,372889,Alexandre Lauray,Le Mans,le mans,le mans,new_2026_35
fotmob,1791882,William Harhouz,Le Mans,le mans,le mans,new_2026_36
whoscored,602708,William Harhouz,Le Mans,le mans,le mans,new_2026_36
fotmob,1438609,Erwan Colas,Le Mans,le mans,le mans,new_2026_37
whoscored,470779,Erwan Colas,Le Mans,le mans,le mans,new_2026_37
fotmob,1317318,Lucas Calodat,Le Mans,le mans,le mans,new_2026_38
whoscored,429023,Lucas Calodat,Le Mans,le mans,le mans,new_2026_38
whoscored,362801,Billal Brahimi,Le Mans,le mans,le mans,new_2026_39
fotmob,1441582,Arthur Piedfort,Auxerre,auxerre,auxerre,new_2026_4
opta,549914,Arthur Piedfort,Auxerre,auxerre,auxerre,new_2026_4
whoscored,485928,Arthur Piedfort,Auxerre,auxerre,auxerre,new_2026_4
fotmob,1068902,Yasser Larouci,Le Mans,le mans,le mans,new_2026_40
whoscored,386971,Yasser Larouci,Le Mans,le mans,le mans,new_2026_40
fotmob,1114371,Ewan Hatfout,Le Mans,le mans,le mans,new_2026_41
fotmob,1202891,Raúl Torrente,Le Mans,le mans,le mans,new_2026_42
fotmob,1359270,Milan Robin,Le Mans,le mans,le mans,new_2026_43
fotmob,1406419,Franjo Ivanovic,Lens,lens,lens,new_2026_44
opta,515168,Franjo Ivanovic,Lens,lens,lens,new_2026_44
whoscored,499993,Franjo Ivanovic,Lens,lens,lens,new_2026_44
fotmob,1053713,Maik Nawrocki,Lens,lens,lens,new_2026_45
opta,484668,Maik Nawrocki,Lens,lens,lens,new_2026_45
whoscored,423273,Maik Nawrocki,Lens,lens,lens,new_2026_45
fotmob,954190,Michal Skóras,Lens,lens,lens,new_2026_46
opta,484672,Michal Skóras,Lens,lens,lens,new_2026_46
whoscored,401354,Michal Skóras,Lens,lens,lens,new_2026_46
fotmob,861445,Michaël Cuisance,Lens,lens,lens,new_2026_47
opta,204730,Michaël Cuisance,Lens,lens,lens,new_2026_47
whoscored,344198,Michaël Cuisance,Lens,lens,lens,new_2026_47
fotmob,1727044,Souleymane Sagnan,Lens,lens,lens,new_2026_48
opta,634379,Souleymane Sagnan,Lens,lens,lens,new_2026_48
whoscored,554952,Souleymane Sagnan,Lens,lens,lens,new_2026_48
fotmob,264190,Thorgan Hazard,Lens,lens,lens,new_2026_49
