source,name,native_id,master_team
opta,Afonso Moreira,551191,Lyon
opta,Albert Grønbæk,494779,Genoa
opta,Arthur Vermeeren,578612,Marseille
opta,Badredine Bouanani,492949,Nice
opta,Bilal Nadir,546178,Marseille
opta,Borna Sosa,218364,Crystal Palace
opta,Brajan Gruda,513433,Brighton
opta,Christopher Nkunku,213198,AC Milan
opta,Edin Dzeko,42544,Fiorentina
opta,Ethan Nwaneri,499175,Marseille
opta,Fabian Rieder,449787,Rennes
opta,Facundo Medina,224868,Marseille
opta,Gideon Mensah,229670,Auxerre
opta,Guéla Doué,503720,Strasbourg
opta,Juma Bah,632880,Nice
opta,Junior Dina Ebimbe,438309,Brest
opta,Lilian Brassier,447547,Rennes
opta,Marc Guiu,499309,Chelsea
opta,Miguel Gutiérrez,248498,Napoli
opta,Neil El Aynaoui,545286,Roma
opta,Niclas Füllkrug,91889,AC Milan
opta,Nicolas Kühn,247716,Como
opta,Reigan Heskey,580921,Manchester City
opta,Robin Gosens,177901,Fiorentina
opta,Sebastiaan Bornauw,437738,Leeds
opta,Sheraldo Becker,173547,Osasuna
opta,Stefan Posch,191803,Como
opta,Terem Moffi,438398,Nice
opta,Thijs Dallinga,438590,Bologna
whoscored,Fabian Rieder,404193,Rennes
whoscored,Brajan Gruda,471784,Brighton
whoscored,Miguel Gutiérrez,395788,Napoli
whoscored,Thijs Dallinga,379687,Bologna
whoscored,Christopher Nkunku,300945,AC Milan
whoscored,Robin Gosens,141726,Fiorentina
whoscored,Niclas Füllkrug,104058,AC Milan
whoscored,Ethan Nwaneri,456771,Marseille
whoscored,Stefan Posch,333741,Como
whoscored,Lilian Brassier,398931,Rennes
whoscored,Facundo Medina,330672,Marseille
whoscored,Afonso Moreira,478033,Lyon
whoscored,Neil El Aynaoui,486734,Roma
whoscored,Junior Dina Ebimbe,372927,Brest
whoscored,Nicolas Kühn,420245,Como
whoscored,Sebastiaan Bornauw,364235,Leeds
whoscored,Albert Grønbæk,424809,Genoa
whoscored,Gideon Mensah,402749,Auxerre
whoscored,Guéla Doué,447449,Strasbourg
whoscored,Arthur Vermeeren,445430,Marseille
whoscored,Bilal Nadir,422240,Marseille
whoscored,Marc Guiu,483208,Chelsea
whoscored,Terem Moffi,400505,Nice
whoscored,Edin Dzeko,24845,Fiorentina
fotmob,Badredine Bouanani,1388070,Nice
fotmob,Edin Dzeko,15403,Fiorentina
fotmob,Robin Gosens,518346,Fiorentina
fotmob,Fabian Rieder,1161211,Rennes
fotmob,Terem Moffi,885005,Nice
fotmob,Sebastiaan Bornauw,922892,Leeds
fotmob,Albert Grønbæk,1133381,Genoa
fotmob,Bilal Nadir,1283407,Marseille
fotmob,Facundo Medina,812652,Marseille
fotmob,Miguel Gutiérrez,942379,Napoli
fotmob,Afonso Moreira,1367047,Lyon
fotmob,Gideon Mensah,771630,Auxerre
fotmob,Thijs Dallinga,885085,Bologna
fotmob,Reigan Heskey,1665352,Manchester City
fotmob,Niclas Füllkrug,276791,AC Milan
fotmob,Sheraldo Becker,495222,Osasuna
fotmob,Stefan Posch,557325,Como
fotmob,Christopher Nkunku,704523,AC Milan
fotmob,Arthur Vermeeren,1387389,Marseille
fotmob,Brajan Gruda,1430151,Brighton
fotmob,Nicolas-Gerrit Kühn,888745,Como
fotmob,Lilian Brassier,1073941,Rennes
fotmob,Juma Bah,1539619,Nice
fotmob,Ethan Nwaneri,1254234,Marseille
fotmob,Edin Džeko,15403,Fiorentina
fotmob,Borna Sosa,622091,Crystal Palace
fotmob,Ørjan Håskjold Nyland,73409,Sevilla
fotmob,Neil El Aynaoui,1274060,Roma
fotmob,Marc Guiu,1412137,Chelsea
fotmob,Guéla Doué,1395704,Strasbourg
