source,source_native_id,source_name,canonical_player_id,matched_to_master
opta,472713,Aaron Hickey,472713,True
opta,572584,Abdoul Ouattara,572584,True
opta,578153,Abdukodir Khusanov,578153,True
opta,531442,Abdul Fatawu,opta_new_531442,False
opta,54469,Adam Smith,54469,True
opta,496221,Adam Wharton,496221,True
opta,494521,Adrien Truffert,494521,True
opta,632794,Aladji Bamba,632794,True
opta,493105,Alejandro Garnacho,493105,True
opta,153133,Alex Iwobi,153133,True
opta,503139,Alex Scott,503139,True
opta,614574,Alex Tóth,614574,True
opta,219168,Alexander Isak,219168,True
opta,243016,Alexis Mac Allister,243016,True
opta,592740,Alfie Cresswell,592740,True
opta,116535,Alisson Becker,116535,True
opta,653481,Alysson,653481,True
opta,463726,Amar Dedic,opta_new_463726,False
opta,570794,Anan Khalaili,opta_new_570794,False
opta,532605,Andrey Santos,532605,True
opta,122798,Andy Robertson,122798,True
opta,449434,Anthony Elanga,449434,True
opta,437730,Antoine Semenyo,437730,True
opta,466525,Anton Stach,466525,True
opta,169528,Antonee Robinson,169528,True
opta,485055,Antonín Kinsky,485055,True
opta,483067,António Silva,opta_new_483067,False
opta,248056,Ao Tanaka,248056,True
opta,547701,Archie Gray,547701,True
opta,465680,Arnaud Kalimuendo,465680,True
opta,539142,Aurèle Amenda,539142,True
opta,606745,Ayden Heaven,606745,True
opta,242882,Bafodé Diakité,242882,True
opta,611665,Bazoumana Touré,611665,True
opta,115556,Ben Davies,115556,True
opta,496208,Ben Gannon-Doak,496208,True
opta,198869,Ben White,198869,True
opta,485711,Benjamin Sesko,485711,True
opta,80201,Bernd Leno,80201,True
opta,486385,Beto,486385,True
opta,461102,Bobby Thomas,opta_new_461102,False
opta,218364,Borna Sosa,218364,True
opta,226944,Boubacar Kamara,226944,True
opta,645618,Bradley Burrowes,645618,True
opta,230730,Brandon Thomas-Asante,opta_new_230730,False
opta,427637,Brenden Aaronson,427637,True
opta,242898,Brennan Johnson,242898,True
opta,441264,Brian Brobbey,441264,True
opta,141746,Bruno Fernandes,141746,True
opta,446008,Bryan Mbeumo,446008,True
opta,223340,Bukayo Saka,223340,True
opta,661888,Caleb Yirenkyi,opta_new_661888,False
opta,209046,Callum Hudson-Odoi,209046,True
opta,75115,Callum Wilson,75115,True
opta,232892,Calvin Bassey,232892,True
opta,524180,Cameron Humphreys,opta_new_524180,False
opta,200720,Caoimhín Kelleher,200720,True
opta,472739,Carl Rushworth,opta_new_472739,False
opta,515621,Chadi Riad,515621,True
opta,647850,Charalampos Kostoulas,647850,True
opta,502697,Charly Alcaraz,502697,True
opta,549912,Chemsdine Talbi,549912,True
opta,427623,Chris Richards,427623,True
opta,554197,Chris Rigg,554197,True
opta,60689,Chris Wood,60689,True
opta,439509,Christos Tzolis,opta_new_439509,False
opta,147675,Chuba Akpom,opta_new_147675,False
opta,433590,Cody Drameh,opta_new_433590,False
opta,243298,Cody Gakpo,243298,True
opta,244851,Cole Palmer,244851,True
opta,232787,Conor Gallagher,232787,True
opta,451490,Costinha,opta_new_451490,False
opta,500040,Cristhian Mosquera,500040,True
opta,183015,Cédric Kipré,opta_new_183015,False
opta,571779,César Palacios,571779,True
opta,209400,Daichi Kamada,209400,True
opta,442967,Daizen Maeda,opta_new_442967,False
opta,223827,Dan Ballard,223827,True
opta,456512,Dan Ndoye,456512,True
opta,533463,Dango Ouattara,533463,True
opta,200617,Daniel James,200617,True
opta,523700,Daniel Jebbison,opta_new_523700,False
opta,247348,Daniel Muñoz,247348,True
opta,50175,Danny Welbeck,50175,True
opta,216616,Dara O'Shea,opta_new_216616,False
opta,176420,Darnell Furlong,opta_new_176420,False
opta,111317,David Brooks,111317,True
opta,154561,David Raya,154561,True
opta,172649,Dean Henderson,172649,True
opta,204480,Declan Rice,204480,True
opta,487053,Destiny Udogie,487053,True
opta,514254,Diego Gómez,514254,True
opta,216051,Diogo Dalot,216051,True
opta,457569,Djordje Petrovic,457569,True
opta,177815,Dominic Calvert-Lewin,177815,True
opta,154566,Dominic Solanke,154566,True
opta,424876,Dominik Szoboszlai,424876,True
opta,433154,Dwight McNeil,433154,True
opta,232413,Eberechi Eze,232413,True
opta,205533,Eddie Nketiah,205533,True
opta,215379,Elliot Anderson,215379,True
opta,608227,Elliot Stroud,opta_new_608227,False
opta,218997,Ellis Simms,opta_new_218997,False
opta,543968,Emersonn,543968,True
opta,209289,Emile Smith Rowe,209289,True
opta,195546,Emiliano Buendía,195546,True
opta,448047,Enzo Fernández,448047,True
opta,484420,Enzo Le Fée,484420,True
opta,223094,Erling Haaland,223094,True
opta,624773,Estêvão,624773,True
opta,199598,Ethan Ampadu,199598,True
opta,499175,Ethan Nwaneri,499175,True
opta,231065,Ethan Pinnock,231065,True
opta,444102,Evanilson,444102,True
opta,485337,Evann Guessand,485337,True
opta,119471,Fabian Schär,119471,True
opta,494595,Florian Wirtz,494595,True
opta,428580,Frank Onyeka,428580,True
opta,226597,Gabriel Magalhães,226597,True
opta,577285,George Hemmings,577285,True
opta,463067,Georginio Rutter,463067,True
opta,593117,Geovany Quenda,opta_new_593117,False
opta,204936,Gianluigi Donnarumma,204936,True
opta,551466,Gonzalo García,551466,True
opta,84450,Granit Xhaka,84450,True
opta,196100,Gustavo Hamer,opta_new_196100,False
opta,547027,Habib Diarra,547027,True
opta,609873,Harrison Armstrong,609873,True
opta,153366,Harrison Reed,153366,True
opta,95658,Harry Maguire,95658,True
opta,153682,Harry Wilson,153682,True
opta,201666,Harvey Barnes,201666,True
opta,244860,Hayden Hackney,opta_new_244860,False
opta,441302,Ian Maatsen,441302,True
opta,612855,Ibrahim Osman,612855,True
opta,210462,Ibrahim Sangaré,210462,True
opta,482973,Igor Jesus,482973,True
opta,502500,Igor Thiago,502500,True
opta,440993,Iliman Ndiaye,440993,True
opta,219924,Issa Diop,219924,True
opta,443261,Jack Clarke,opta_new_443261,False
opta,114283,Jack Grealish,114283,True
opta,532529,Jack Hinshelwood,532529,True
opta,480457,Jack Rudoni,opta_new_480457,False
opta,449429,Jacob Greaves,opta_new_449429,False
opta,114243,Jacob Murphy,114243,True
opta,232653,Jacob Ramsey,232653,True
opta,444180,Jaidon Anthony,444180,True
opta,575458,Jair Cunha,575458,True
opta,434752,Jaka Bijol,434752,True
opta,512462,Jake O'Brien,512462,True
opta,232928,James Garner,232928,True
opta,463981,James Hill,463981,True
opta,220627,James Justin,220627,True
opta,172780,James Maddison,172780,True
opta,432714,James McAtee,432714,True
opta,491501,James McConnell,491501,True
opta,17761,James Tarkowski,17761,True
opta,432720,James Trafford,432720,True
opta,463936,Jamie Gittens,463936,True
opta,469142,Jan Paul van Hecke,469142,True
opta,513086,Jannik Schuster,opta_new_513086,False
opta,480455,Jarrad Branthwaite,480455,True
opta,173878,Jay Dasilva,opta_new_173878,False
opta,651426,Jaydee Canvot,651426,True
opta,226182,Jayden Bogle,226182,True
opta,643970,Jayden Lienou,643970,True
opta,231747,Jean-Philippe Mateta,231747,True
opta,552946,Jens Hjertø-Dahl,opta_new_552946,False
opta,216094,Jeremie Frimpong,216094,True
opta,699989,Jocelin Ta Bi,699989,True
opta,214225,Joe Rodon,214225,True
opta,200089,Joe Willock,200089,True
opta,204813,Joel Latibeaudiere,opta_new_204813,False
opta,108416,John Egan,opta_new_108416,False
opta,122806,John McGinn,122806,True
opta,111234,Jordan Pickford,111234,True
opta,246301,Jorge Cuenca,246301,True
opta,551210,Jorrel Hato,551210,True
opta,577016,Josh Acheampong,577016,True
opta,439668,Josh Eccles,opta_new_439668,False
opta,577725,Josh King,577725,True
opta,458249,Joshua Zirkzee,458249,True
opta,477424,Josko Gvardiol,477424,True
opta,448089,João Gomes,448089,True
opta,475168,João Pedro,475168,True
opta,494928,Juanlu Sánchez,494928,True
opta,474120,Julio Enciso,474120,True
opta,222683,Justin Kluivert,222683,True
opta,606702,Jérémy Jacquet,606702,True
opta,247412,Jørgen Strand Larsen,247412,True
opta,219847,Kai Havertz,219847,True
opta,461587,Kasey McAteer,opta_new_461587,False
opta,249231,Keane Lewis-Potter,249231,True
opta,167074,Kenny Tete,167074,True
opta,560552,Kevin,560552,True
opta,135720,Kevin Danso,135720,True
opta,513418,Kevin Schade,513418,True
opta,171270,Kieran Dowell,opta_new_171270,False
opta,215413,Kiernan Dewsbury-Hall,215413,True
opta,240514,Kjell Scherpen,opta_new_240514,False
opta,516895,Kobbie Mainoo,516895,True
opta,473284,Konstantinos Tzolakis,opta_new_473284,False
opta,214285,Kostas Tsimikas,214285,True
opta,191866,Kristoffer Ajer,191866,True
opta,515597,Lamare Bogarde,515597,True
opta,455084,Leif Davis,opta_new_455084,False
opta,550864,Leny Yoro,550864,True
opta,553746,Leo Shahar,553746,True
opta,460028,Levi Colwill,460028,True
opta,193278,Lewie Coyle,opta_new_193278,False
opta,155408,Lewis Cook,155408,True
opta,83299,Lewis Dunk,83299,True
opta,487838,Lewis Hall,487838,True
opta,514514,Lewis Koumas,opta_new_514514,False
opta,547719,Lewis Miley,547719,True
opta,436761,Liam Kitching,opta_new_436761,False
opta,232905,Liam Millar,opta_new_232905,False
opta,221820,Lisandro Martínez,221820,True
opta,469272,Loum Tchaouna,469272,True
opta,547686,Luc De Fougerolles,opta_new_547686,False
opta,470315,Luca Netz,470315,True
opta,611917,Luca Williams-Barnett,611917,True
opta,570526,Lucas Bergvall,570526,True
opta,469266,Lucas Gourna-Douath,469266,True
opta,597462,Lucas Herrington,opta_new_597462,False
