source,name,native_id,master_team
opta,Abdoul Ouattara,572584,Strasbourg
opta,Aladji Bamba,632794,Monaco
opta,Aurèle Amenda,539142,Eintracht Frankfurt
opta,Bazoumana Touré,611665,Hoffenheim
opta,Conor Gallagher,232787,Atletico Madrid
opta,César Palacios,571779,Real Madrid
opta,Emersonn,543968,Toulouse
opta,Ethan Nwaneri,499175,Marseille
opta,Gonzalo García,551466,Real Madrid
opta,Ibrahim Osman,612855,Auxerre
opta,Jaydee Canvot,651426,Toulouse
opta,Juanlu Sánchez,494928,Sevilla
opta,Julio Enciso,474120,Strasbourg
opta,Jérémy Jacquet,606702,Rennes
opta,Kostas Tsimikas,214285,Roma
opta,Lucas Gourna-Douath,469266,Le Havre
opta,Mamadou Sangaré,513545,Lens
opta,Marcus Rashford,176297,Barcelona
opta,Matteo Ruggeri,487992,Atletico Madrid
opta,Nico Elvedi,173774,Borussia Monchengladbach
opta,Nobel Mendy,606930,Rayo Vallecano
opta,Pep Chavarría,498444,Rayo Vallecano
opta,Ronald Araujo,445087,Barcelona
opta,Tarik Muharemovic,522047,Sassuolo
opta,Thomas Meunier,93605,Lille
opta,Valentín Barco,543158,Strasbourg
opta,Víctor Muñoz,551499,Osasuna
opta,Xaver Schlager,204561,RB Leipzig
opta,Yéremy Pino,488024,Villarreal
opta,Álvaro Rodríguez,561245,Elche
opta,Óscar Mingueza,242313,Celta Vigo
whoscored,Nobel Mendy,469508,Rayo Vallecano
whoscored,Mamadou Sangaré,442971,Lens
whoscored,Emersonn,429556,Toulouse
whoscored,Julio Enciso,417747,Strasbourg
whoscored,Gonzalo García,498798,Real Madrid
whoscored,Tarik Muharemovic,439533,Sassuolo
whoscored,Thomas Meunier,104376,Lille
whoscored,Víctor Muñoz,548106,Osasuna
whoscored,Ronald Araujo,384711,Barcelona
whoscored,Marcus Rashford,300299,Barcelona
whoscored,Jérémy Jacquet,468827,Rennes
whoscored,Abdoul Ouattara,433937,Strasbourg
whoscored,Jaydee Canvot,531676,Toulouse
whoscored,César Palacios,534901,Real Madrid
whoscored,Matteo Ruggeri,402046,Atletico Madrid
whoscored,Ibrahim Osman,519755,Auxerre
whoscored,Aurèle Amenda,450271,Eintracht Frankfurt
whoscored,Aladji Bamba,546589,Monaco
whoscored,Yéremy Pino,403865,Villarreal
whoscored,Pep Chavarría,448468,Rayo Vallecano
whoscored,Xaver Schlager,262856,RB Leipzig
whoscored,Conor Gallagher,375621,Atletico Madrid
fotmob,Ethan Nwaneri,1254234,Marseille
fotmob,Aurèle Amenda,1257648,Eintracht Frankfurt
fotmob,Marcus Rashford,696365,Barcelona
fotmob,Lucas Gourna-Douath,1137106,Le Havre
fotmob,Nobel Mendy,1428427,Rayo Vallecano
fotmob,Óscar Mingueza,952095,Celta Vigo
fotmob,Jaydee Canvot,1664722,Toulouse
fotmob,Thomas Meunier,277771,Lille
fotmob,Julio Enciso,1073742,Strasbourg
fotmob,Emersonn,1320949,Toulouse
fotmob,Abdoul Ouattara,1343053,Strasbourg
fotmob,Nico Elvedi,517346,Borussia Monchengladbach
fotmob,Xaver Schlager,620027,RB Leipzig
fotmob,Tarik Muharemovic,1250485,Sassuolo
fotmob,Conor Gallagher,966027,Atletico Madrid
fotmob,Mamadou Sangaré,1185211,Lens
fotmob,Matteo Ruggeri,1051097,Atletico Madrid
fotmob,Zion Suzuki,1053679,Parma
fotmob,Ibrahim Osman,1215410,Auxerre
fotmob,Gerónimo Rulli,245555,Marseille
fotmob,Juanlu Sánchez,1158512,Sevilla
fotmob,Álvaro Rodriguez,1327406,Elche
fotmob,Ronald Araujo,921253,Barcelona
fotmob,Jérémy Jacquet,1473534,Rennes
fotmob,Víctor Muñoz,1553105,Osasuna
fotmob,Bazoumana Touré,1624586,Hoffenheim
fotmob,Aladji Bamba,1695681,Monaco
fotmob,Pep Chavarría,988805,Rayo Vallecano
fotmob,Valentín Barco,1272440,Strasbourg
fotmob,Mike Penders,1319972,Strasbourg
fotmob,César Palacios,1403691,Real Madrid
fotmob,Gonzalo García,1413847,Real Madrid
