source,name,native_id,master_team
opta,Adrien Rabiot,120743,Marseille
opta,Akor Adams,484640,Sevilla
opta,Alfonso Pedraza,208380,Villarreal
opta,Andy Diouf,503696,Lens
opta,Arthur Theate,465189,Eintracht Frankfurt
opta,Benjamin Pavard,202675,Marseille
opta,Benoît Badiashile,242880,Chelsea
opta,Beto,486385,Everton
opta,Curtis Jones,206915,Liverpool
opta,Danilho Doekhi,216257,Union Berlin
opta,Darryl Bakola,634416,Marseille
opta,Diego Moreira,491011,Strasbourg
opta,Diogo Leite,428393,Union Berlin
opta,Djibril Sow,185524,Sevilla
opta,Douglas Luiz,230046,Aston Villa
opta,Duje Caleta-Car,173271,Real Sociedad
opta,Edon Zhegrova,431128,Lille
opta,Eray Cömert,220327,Valencia
opta,Franco Mastantuono,576550,Real Madrid
opta,Giacomo Raspadori,446969,Atletico Madrid
opta,Gonçalo Ramos,449980,Paris Saint-Germain
opta,Guglielmo Vicario,184254,Tottenham
opta,Hamed Traoré,424044,Marseille
opta,John Stones,97299,Manchester City
opta,Jonathan Rowe,483365,Marseille
opta,Jérémie Boga,135365,Nice
opta,Kevin Akpoguma,120002,Hoffenheim
opta,Kevin Carlos,509201,Nice
opta,Lazar Jovanovic,620478,Stuttgart
opta,Leonardo Balerdi,446682,Marseille
opta,Lucas Perri,201595,Leeds
opta,Luis Milla,167742,Getafe
opta,Matías Moreno,622127,Levante
opta,Nahuel Molina,221586,Atletico Madrid
opta,Nathan Patterson,243571,Everton
opta,Nick Woltemade,470313,Newcastle
opta,Nico González,231004,Atletico Madrid
opta,Omari Hutchinson,503301,Nottingham Forest
opta,Oussama El Azzouzi,543215,Auxerre
opta,Pape Matar Sarr,482442,Tottenham
opta,Radu Dragusin,493125,Tottenham
opta,Rafa Marín,488040,Villarreal
opta,Randal Kolo Muani,247693,Tottenham
opta,Ricardo Rodríguez,69305,Real Betis
opta,Robert Sánchez,215059,Chelsea
opta,Robinio Vaz,631000,Marseille
opta,Romano Schmid,228564,Bremen
opta,Samuel Mbangula,513536,Bremen
opta,Thierry Correia,222629,Valencia
opta,Toni Fernández,619822,Barcelona
opta,Trevoh Chalobah,180736,Chelsea
opta,Unai Gómez,619506,Athletic Club
opta,Valde,669473,Real Madrid
opta,Wilfried Gnonto,492859,Leeds
