player,attack_player_id,attack_apps,attack_mins_played,attack_goals,attack_xg,attack_goals_vs_xg,attack_shots,attack_shots_on_target,attack_shot_conv,attack_xg_per_shot,attack_first_name,attack_last_name,attack_date_of_birth,attack_age,attack_team_id,attack_shirt_number,attack_squad_position,attack_squad_position_detailed,attack_player_uuid,attack_team_uuid,attack_contestantName,attack_contestantClubName,attack_contestantShortName,attack_contestantCode,carries_carries,carries_carry_distance,carries_progressive_carries,carries_progressive_distance,carries_shot_ending,carries_goal_ending,carries_chance_ending,carries_assist_ending,carries_dist_per_carry,carries_dist_per_progressive_carry,defending_tackles,defending_interceptions,defending_recoveries,defending_blocks,defending_clearances,defending_ground_duels,defending_ground_duels_won,defending_ground_duel_perc,defending_aerial_duels,defending_aerial_duels_won,defending_aerial_duel_perc,goalkeeping_team_mins,goalkeeping_team_mins_perc,goalkeeping_ogs,goalkeeping_goals_conceded,goalkeeping_saves_made,goalkeeping_save_perc,goalkeeping_goals_prevented,goalkeeping_goals_prevented_rate,goalkeeping_xgot_conceded,possession_chanceCreation_player_id,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_chanceCreation_first_name,possession_chanceCreation_last_name,possession_chanceCreation_date_of_birth,possession_chanceCreation_age,possession_chanceCreation_team_id,possession_chanceCreation_shirt_number,possession_chanceCreation_squad_position,possession_chanceCreation_squad_position_detailed,possession_chanceCreation_player_uuid,possession_chanceCreation_team_uuid,possession_chanceCreation_contestantName,possession_chanceCreation_contestantClubName,possession_chanceCreation_contestantShortName,possession_chanceCreation_contestantCode,possession_passing_player_id,possession_passing_mins_played,possession_passing_apps,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,possession_passing_first_name,possession_passing_last_name,possession_passing_date_of_birth,possession_passing_age,possession_passing_team_id,possession_passing_shirt_number,possession_passing_squad_position,possession_passing_squad_position_detailed,possession_passing_player_uuid,possession_passing_team_uuid,possession_passing_contestantName,possession_passing_contestantClubName,possession_passing_contestantShortName,possession_passing_contestantCode,opta_player_id,opta_player_uuid,opta_team_id,opta_team_uuid
Aaron Hickey,472713.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Hickey,2002-06-10,24.25,94.0,2.0,Defender,Full Back,9xfrrmf19uv4i69ge0kg1hh7u,7yx5dqhhphyvfisohikodajhv,Brentford FC,Brentford,Brentford,BRE,1.0,20.456,1.0,20.16,0.0,0.0,0.0,0.0,20.456,20.16,1.0,0.0,2.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,0.0,,,,,,,,,,472713.0,16.0,2.0,0.0,0.0,0.0,0.0,0.021,0.02,0.0,0.0,Aaron,Hickey,2002-06-10,24.25,94.0,2.0,Defender,Full Back,9xfrrmf19uv4i69ge0kg1hh7u,7yx5dqhhphyvfisohikodajhv,Brentford FC,Brentford,Brentford,BRE,472713.0,16.0,2.0,9.0,6.0,66.67,3.0,2.0,66.67,1.0,1.0,100.0,0.0,0.0,0.0,Aaron,Hickey,2002-06-10,24.25,94.0,2.0,Defender,Full Back,9xfrrmf19uv4i69ge0kg1hh7u,7yx5dqhhphyvfisohikodajhv,Brentford FC,Brentford,Brentford,BRE,472713,9xfrrmf19uv4i69ge0kg1hh7u,94,7yx5dqhhphyvfisohikodajhv
Aaron Wan-Bissaka,214590.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Wan-Bissaka,1997-11-26,28.79,7.0,29.0,Defender,Full Back,e1t5rgvs2hwnldts6vn8agzc9,b496gs285it6bheuikox6z9mj,Aston Villa FC,Aston Villa,Villa,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,,,,,,,,,,214590.0,12.0,1.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,Aaron,Wan-Bissaka,1997-11-26,28.79,7.0,29.0,Defender,Full Back,e1t5rgvs2hwnldts6vn8agzc9,b496gs285it6bheuikox6z9mj,Aston Villa FC,Aston Villa,Villa,AVL,214590.0,12.0,1.0,8.0,7.0,87.5,3.0,2.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Wan-Bissaka,1997-11-26,28.79,7.0,29.0,Defender,Full Back,e1t5rgvs2hwnldts6vn8agzc9,b496gs285it6bheuikox6z9mj,Aston Villa FC,Aston Villa,Villa,AVL,214590,e1t5rgvs2hwnldts6vn8agzc9,7,b496gs285it6bheuikox6z9mj
Abdoul Ouattara,572584.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoul,Ouattara,2005-10-22,20.88,40.0,42.0,Defender,Full Back,1gfomo3mo11cttdhprm1jtp0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,3.0,41.272,2.0,24.78,0.0,0.0,1.0,0.0,13.757,12.39,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,572584.0,27.0,2.0,1.0,1.0,6.67,0.0,0.002,0.002,0.0,0.0,Abdoul,Ouattara,2005-10-22,20.88,40.0,42.0,Defender,Full Back,1gfomo3mo11cttdhprm1jtp0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,572584.0,27.0,2.0,15.0,14.0,93.33,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoul,Ouattara,2005-10-22,20.88,40.0,42.0,Defender,Full Back,1gfomo3mo11cttdhprm1jtp0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,572584,1gfomo3mo11cttdhprm1jtp0,40,8b523ujgl21tbc01me65q0aoh
Abdukodir Khusanov,578153.0,2.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdukodir,Khusanov,2004-02-29,22.53,43.0,45.0,Defender,Central Defender,d7ofv9d9sbp263uo76cm2qxhw,a3nyxabgsqlnqfkeg41m6tnpp,Manchester City FC,Manchester City,Man City,MCI,27.0,299.166,13.0,143.955,0.0,0.0,0.0,0.0,11.08,11.073,6.0,3.0,9.0,1.0,1.0,8.0,7.0,87.5,3.0,3.0,100.0,,,,,,,,,,578153.0,179.0,2.0,0.0,0.0,0.0,0.0,0.043,0.042,0.0,0.0,Abdukodir,Khusanov,2004-02-29,22.53,43.0,45.0,Defender,Central Defender,d7ofv9d9sbp263uo76cm2qxhw,a3nyxabgsqlnqfkeg41m6tnpp,Manchester City FC,Manchester City,Man City,MCI,578153.0,179.0,2.0,173.0,165.0,95.38,29.0,24.0,82.76,2.0,0.0,0.0,0.0,0.0,0.0,Abdukodir,Khusanov,2004-02-29,22.53,43.0,45.0,Defender,Central Defender,d7ofv9d9sbp263uo76cm2qxhw,a3nyxabgsqlnqfkeg41m6tnpp,Manchester City FC,Manchester City,Man City,MCI,578153,d7ofv9d9sbp263uo76cm2qxhw,43,a3nyxabgsqlnqfkeg41m6tnpp
Abdul Fatawu,531442.0,2.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdul Fatawu,Issahaku,2004-03-08,22.5,40.0,7.0,Forward,Winger,6cx5c6bzp1hq6c1vui53mxzx0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,27.0,324.041,16.0,213.57,0.0,0.0,4.0,1.0,12.002,13.348,5.0,1.0,4.0,0.0,1.0,29.0,14.0,48.276,2.0,0.0,0.0,,,,,,,,,,531442.0,149.0,2.0,5.0,4.0,12.0,20.0,0.625,0.611,1.0,1.0,Abdul Fatawu,Issahaku,2004-03-08,22.5,40.0,7.0,Forward,Winger,6cx5c6bzp1hq6c1vui53mxzx0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,531442.0,149.0,2.0,25.0,15.0,60.0,10.0,4.0,40.0,7.0,3.0,42.86,1.0,0.0,0.0,Abdul Fatawu,Issahaku,2004-03-08,22.5,40.0,7.0,Forward,Winger,6cx5c6bzp1hq6c1vui53mxzx0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,531442,6cx5c6bzp1hq6c1vui53mxzx0,40,8b523ujgl21tbc01me65q0aoh
Adam Smith,54469.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam,Smith,1991-04-29,35.37,91.0,15.0,Defender,Full Back,80bmtj7l07ohb2h475w955n9,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,2.0,16.966,0.0,-9.66,0.0,0.0,0.0,0.0,8.483,0.0,3.0,3.0,3.0,0.0,5.0,11.0,6.0,54.545,4.0,2.0,50.0,,,,,,,,,,54469.0,180.0,2.0,1.0,1.0,2.0,0.0,0.026,0.026,0.0,0.0,Adam,Smith,1991-04-29,35.37,91.0,15.0,Defender,Full Back,80bmtj7l07ohb2h475w955n9,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,54469.0,180.0,2.0,51.0,41.0,80.39,15.0,9.0,60.0,2.0,1.0,50.0,0.0,0.0,0.0,Adam,Smith,1991-04-29,35.37,91.0,15.0,Defender,Full Back,80bmtj7l07ohb2h475w955n9,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,54469,80bmtj7l07ohb2h475w955n9,91,1pse9ta7a45pi2w2grjim70ge
Adam Wharton,496221.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam,Wharton,2004-02-06,22.59,31.0,20.0,Midfielder,Central Midfielder,asq9gj1a93bltsfd61i6xvqsq,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace FC,Crystal Palace,Palace,CRY,33.0,325.144,18.0,194.355,0.0,0.0,0.0,0.0,9.853,10.798,6.0,3.0,11.0,0.0,1.0,17.0,11.0,64.706,1.0,1.0,100.0,,,,,,,,,,496221.0,180.0,2.0,4.0,4.0,4.08,0.0,0.311,0.311,0.0,0.0,Adam,Wharton,2004-02-06,22.59,31.0,20.0,Midfielder,Central Midfielder,asq9gj1a93bltsfd61i6xvqsq,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace FC,Crystal Palace,Palace,CRY,496221.0,180.0,2.0,100.0,80.0,80.0,37.0,26.0,70.27,1.0,1.0,100.0,1.0,1.0,100.0,Adam,Wharton,2004-02-06,22.59,31.0,20.0,Midfielder,Central Midfielder,asq9gj1a93bltsfd61i6xvqsq,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace FC,Crystal Palace,Palace,CRY,496221,asq9gj1a93bltsfd61i6xvqsq,31,1c8m2ko0wxq1asfkuykurdr0y
Adrien Truffert,494521.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrien,Truffert,2001-11-20,24.8,91.0,3.0,Defender,Full Back,92qqdiryqd8juqdjq8585476y,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,16.0,155.309,8.0,53.76,0.0,0.0,1.0,0.0,9.707,6.72,4.0,2.0,13.0,1.0,8.0,13.0,7.0,53.846,5.0,2.0,40.0,,,,,,,,,,494521.0,180.0,2.0,2.0,2.0,2.9,0.0,0.073,0.073,0.0,0.0,Adrien,Truffert,2001-11-20,24.8,91.0,3.0,Defender,Full Back,92qqdiryqd8juqdjq8585476y,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,494521.0,180.0,2.0,70.0,63.0,90.0,19.0,16.0,84.21,3.0,0.0,0.0,0.0,0.0,0.0,Adrien,Truffert,2001-11-20,24.8,91.0,3.0,Defender,Full Back,92qqdiryqd8juqdjq8585476y,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,494521,92qqdiryqd8juqdjq8585476y,91,1pse9ta7a45pi2w2grjim70ge
Aladji Bamba,632794.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aladji,Bamba,2006-07-14,20.15,4.0,8.0,Midfielder,0,srzdmbirhvpjuok4mf7lj5zo,7vn2i2kd35zuetw6b38gw9jsz,Newcastle United FC,Newcastle United,Newcastle,NEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,2.0,1.0,50.0,,,,,,,,,,632794.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aladji,Bamba,2006-07-14,20.15,4.0,8.0,Midfielder,0,srzdmbirhvpjuok4mf7lj5zo,7vn2i2kd35zuetw6b38gw9jsz,Newcastle United FC,Newcastle United,Newcastle,NEW,632794.0,14.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aladji,Bamba,2006-07-14,20.15,4.0,8.0,Midfielder,0,srzdmbirhvpjuok4mf7lj5zo,7vn2i2kd35zuetw6b38gw9jsz,Newcastle United FC,Newcastle United,Newcastle,NEW,632794,srzdmbirhvpjuok4mf7lj5zo,4,7vn2i2kd35zuetw6b38gw9jsz
Alejandro Garnacho,493105.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alejandro,Garnacho,2004-07-01,22.19,7.0,17.0,Forward,Winger,e5eiuko5p1yms97xndrvcr0bu,b496gs285it6bheuikox6z9mj,Aston Villa FC,Aston Villa,Villa,AVL,2.0,19.834,0.0,-19.635,0.0,0.0,0.0,0.0,9.917,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,493105.0,16.0,2.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,Alejandro,Garnacho,2004-07-01,22.19,7.0,17.0,Forward,Winger,e5eiuko5p1yms97xndrvcr0bu,b496gs285it6bheuikox6z9mj,Aston Villa FC,Aston Villa,Villa,AVL,493105.0,16.0,2.0,7.0,7.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Alejandro,Garnacho,2004-07-01,22.19,7.0,17.0,Forward,Winger,e5eiuko5p1yms97xndrvcr0bu,b496gs285it6bheuikox6z9mj,Aston Villa FC,Aston Villa,Villa,AVL,493105,e5eiuko5p1yms97xndrvcr0bu,7,b496gs285it6bheuikox6z9mj
Alex Iwobi,153133.0,2.0,180.0,0.0,0.01,-0.01,1.0,0.0,0.0,0.01,Alex,Iwobi,1996-05-03,30.36,54.0,17.0,Forward,Second Striker,8kb5h8df97ju107n9ibigo1cl,hzqh7z0mdl3v7gwete66syxp,Fulham FC,Fulham,Fulham,FUL,47.0,463.087,16.0,85.26,0.0,0.0,0.0,0.0,9.853,5.329,2.0,3.0,8.0,0.0,1.0,8.0,3.0,37.5,1.0,0.0,0.0,,,,,,,,,,153133.0,180.0,2.0,2.0,1.0,0.67,50.0,0.441,0.284,0.0,0.0,Alex,Iwobi,1996-05-03,30.36,54.0,17.0,Forward,Second Striker,8kb5h8df97ju107n9ibigo1cl,hzqh7z0mdl3v7gwete66syxp,Fulham FC,Fulham,Fulham,FUL,153133.0,180.0,2.0,152.0,139.0,91.45,35.0,30.0,85.71,0.0,0.0,0.0,1.0,1.0,100.0,Alex,Iwobi,1996-05-03,30.36,54.0,17.0,Forward,Second Striker,8kb5h8df97ju107n9ibigo1cl,hzqh7z0mdl3v7gwete66syxp,Fulham FC,Fulham,Fulham,FUL,153133,8kb5h8df97ju107n9ibigo1cl,54,hzqh7z0mdl3v7gwete66syxp
