player,attack_player_id,attack_apps,attack_mins_played,attack_goals,attack_xg,attack_goals_vs_xg,attack_shots,attack_shots_on_target,attack_shot_conv,attack_xg_per_shot,attack_first_name,attack_last_name,attack_date_of_birth,attack_age,attack_team_id,attack_shirt_number,attack_squad_position,attack_squad_position_detailed,attack_player_uuid,attack_team_uuid,attack_contestantName,attack_contestantClubName,attack_contestantShortName,attack_contestantCode,carries_carries,carries_carry_distance,carries_progressive_carries,carries_progressive_distance,carries_shot_ending,carries_goal_ending,carries_chance_ending,carries_assist_ending,carries_dist_per_carry,carries_dist_per_progressive_carry,defending_tackles,defending_interceptions,defending_recoveries,defending_blocks,defending_clearances,defending_ground_duels,defending_ground_duels_won,defending_ground_duel_perc,defending_aerial_duels,defending_aerial_duels_won,defending_aerial_duel_perc,goalkeeping_team_mins,goalkeeping_team_mins_perc,goalkeeping_ogs,goalkeeping_goals_conceded,goalkeeping_saves_made,goalkeeping_save_perc,goalkeeping_goals_prevented,goalkeeping_goals_prevented_rate,goalkeeping_xgot_conceded,possession_chanceCreation_player_id,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_chanceCreation_first_name,possession_chanceCreation_last_name,possession_chanceCreation_date_of_birth,possession_chanceCreation_age,possession_chanceCreation_team_id,possession_chanceCreation_shirt_number,possession_chanceCreation_squad_position,possession_chanceCreation_squad_position_detailed,possession_chanceCreation_player_uuid,possession_chanceCreation_team_uuid,possession_chanceCreation_contestantName,possession_chanceCreation_contestantClubName,possession_chanceCreation_contestantShortName,possession_chanceCreation_contestantCode,possession_passing_player_id,possession_passing_mins_played,possession_passing_apps,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,possession_passing_first_name,possession_passing_last_name,possession_passing_date_of_birth,possession_passing_age,possession_passing_team_id,possession_passing_shirt_number,possession_passing_squad_position,possession_passing_squad_position_detailed,possession_passing_player_uuid,possession_passing_team_uuid,possession_passing_contestantName,possession_passing_contestantClubName,possession_passing_contestantShortName,possession_passing_contestantCode,opta_player_id,opta_player_uuid,opta_team_id,opta_team_uuid
Aaron Mayol,720320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Mayol,2008-03-04,18.51,191.0,33.0,Defender,0,720320,ba5e91hjacvma2sjvixn00pjo,Valencia CF,Valencia,Valencia,VAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,720320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Mayol,2008-03-04,18.51,191.0,33.0,Defender,0,720320,ba5e91hjacvma2sjvixn00pjo,Valencia CF,Valencia,Valencia,VAL,720320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Mayol,2008-03-04,18.51,191.0,33.0,Defender,0,720320,ba5e91hjacvma2sjvixn00pjo,Valencia CF,Valencia,Valencia,VAL,720320,720320,191,ba5e91hjacvma2sjvixn00pjo
Abde Ezzalzouli,500745.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abde,Ezzalzouli,2001-12-17,24.73,185.0,10.0,Forward,Winger,96cbv23es0gucmd2v0qvk3iwa,ah8dala7suqqkj04n2l8xz4zd,Real Betis Balompié,Real Betis,Betis,BET,4.0,45.347,2.0,23.415,0.0,0.0,0.0,0.0,11.337,11.708,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,,,,,,,,,,500745.0,16.0,1.0,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.0,Abde,Ezzalzouli,2001-12-17,24.73,185.0,10.0,Forward,Winger,96cbv23es0gucmd2v0qvk3iwa,ah8dala7suqqkj04n2l8xz4zd,Real Betis Balompié,Real Betis,Betis,BET,500745.0,16.0,1.0,13.0,13.0,100.0,8.0,8.0,100.0,5.0,0.0,0.0,0.0,0.0,0.0,Abde,Ezzalzouli,2001-12-17,24.73,185.0,10.0,Forward,Winger,96cbv23es0gucmd2v0qvk3iwa,ah8dala7suqqkj04n2l8xz4zd,Real Betis Balompié,Real Betis,Betis,BET,500745,96cbv23es0gucmd2v0qvk3iwa,185,ah8dala7suqqkj04n2l8xz4zd
Abde Rebbach,586866.0,3.0,250.0,0.0,0.04,-0.04,2.0,1.0,0.0,0.02,Abde,Rebbach,1998-08-11,28.08,173.0,21.0,Forward,Winger,1ttc96b92xjfx1ta3vdwya0dm,4dtdjgnpdq9uw4sdutti0vaar,Deportivo Alavés,Alavés,Alavés,ALA,38.0,534.029,21.0,345.765,1.0,0.0,0.0,0.0,14.053,16.465,7.0,4.0,14.0,0.0,4.0,29.0,13.0,44.828,4.0,4.0,100.0,,,,,,,,,,586866.0,250.0,3.0,0.0,0.0,0.0,0.0,0.034,0.028,0.0,0.0,Abde,Rebbach,1998-08-11,28.08,173.0,21.0,Forward,Winger,1ttc96b92xjfx1ta3vdwya0dm,4dtdjgnpdq9uw4sdutti0vaar,Deportivo Alavés,Alavés,Alavés,ALA,586866.0,250.0,3.0,72.0,52.0,72.22,24.0,12.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,Abde,Rebbach,1998-08-11,28.08,173.0,21.0,Forward,Winger,1ttc96b92xjfx1ta3vdwya0dm,4dtdjgnpdq9uw4sdutti0vaar,Deportivo Alavés,Alavés,Alavés,ALA,586866,1ttc96b92xjfx1ta3vdwya0dm,173,4dtdjgnpdq9uw4sdutti0vaar
Abdel Abqar,463001.0,2.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdel,Abqar,1999-03-10,27.5,1450.0,5.0,Defender,Central Defender,br4wylyaeqyxoss5of7r51boq,1n1j0wsl763lq7ee1k0c11c02,Getafe CF,Getafe,Getafe,GET,10.0,86.881,4.0,49.77,0.0,0.0,0.0,0.0,8.688,12.442,2.0,1.0,1.0,1.0,8.0,4.0,3.0,75.0,1.0,1.0,100.0,,,,,,,,,,463001.0,91.0,2.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,Abdel,Abqar,1999-03-10,27.5,1450.0,5.0,Defender,Central Defender,br4wylyaeqyxoss5of7r51boq,1n1j0wsl763lq7ee1k0c11c02,Getafe CF,Getafe,Getafe,GET,463001.0,91.0,2.0,32.0,22.0,68.75,10.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdel,Abqar,1999-03-10,27.5,1450.0,5.0,Defender,Central Defender,br4wylyaeqyxoss5of7r51boq,1n1j0wsl763lq7ee1k0c11c02,Getafe CF,Getafe,Getafe,GET,463001,br4wylyaeqyxoss5of7r51boq,1450,1n1j0wsl763lq7ee1k0c11c02
Abdoulaye Faye,631935.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoulaye,Faye,2004-09-22,21.96,176.0,4.0,Defender,Central Defender,8h4jv2n2b8w3hmn4oec3tvevo,6f27yvbqcngegwsg2ozxxdj4,Real Club Celta de Vigo,Celta de Vigo,Celta,CEL,4.0,26.731,1.0,-1.89,0.0,0.0,0.0,0.0,6.683,-1.89,1.0,1.0,2.0,0.0,6.0,3.0,1.0,33.333,0.0,0.0,0.0,,,,,,,,,,631935.0,45.0,1.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,Abdoulaye,Faye,2004-09-22,21.96,176.0,4.0,Defender,Central Defender,8h4jv2n2b8w3hmn4oec3tvevo,6f27yvbqcngegwsg2ozxxdj4,Real Club Celta de Vigo,Celta de Vigo,Celta,CEL,631935.0,45.0,1.0,33.0,32.0,96.97,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoulaye,Faye,2004-09-22,21.96,176.0,4.0,Defender,Central Defender,8h4jv2n2b8w3hmn4oec3tvevo,6f27yvbqcngegwsg2ozxxdj4,Real Club Celta de Vigo,Celta de Vigo,Celta,CEL,631935,8h4jv2n2b8w3hmn4oec3tvevo,176,6f27yvbqcngegwsg2ozxxdj4
Abel Bretones,498594.0,3.0,270.0,0.0,0.03,-0.03,2.0,0.0,0.0,0.02,Abel,Bretones,2000-08-21,26.05,450.0,23.0,Defender,Full Back,bvs3rixmobb9gje6kfvhgb52i,2l0ldgiwsgb8d6y3z0sfgjzyj,CA Osasuna,Osasuna,Osasuna,OSA,30.0,406.265,15.0,162.855,1.0,0.0,2.0,0.0,13.542,10.857,8.0,3.0,14.0,1.0,6.0,17.0,9.0,52.941,10.0,6.0,60.0,,,,,,,,,,498594.0,270.0,3.0,2.0,2.0,2.15,0.0,0.095,0.093,0.0,0.0,Abel,Bretones,2000-08-21,26.05,450.0,23.0,Defender,Full Back,bvs3rixmobb9gje6kfvhgb52i,2l0ldgiwsgb8d6y3z0sfgjzyj,CA Osasuna,Osasuna,Osasuna,OSA,498594.0,270.0,3.0,96.0,78.0,81.25,25.0,18.0,72.0,5.0,1.0,20.0,0.0,0.0,0.0,Abel,Bretones,2000-08-21,26.05,450.0,23.0,Defender,Full Back,bvs3rixmobb9gje6kfvhgb52i,2l0ldgiwsgb8d6y3z0sfgjzyj,CA Osasuna,Osasuna,Osasuna,OSA,498594,bvs3rixmobb9gje6kfvhgb52i,450,2l0ldgiwsgb8d6y3z0sfgjzyj
Abiel Osorio,572662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abiel,Osorio,2002-06-13,24.24,954.0,24.0,Forward,Striker,572662,4yg9ttzw0m51048doksv8uq5r,Elche CF,Elche,Elche,ELC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,572662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abiel,Osorio,2002-06-13,24.24,954.0,24.0,Forward,Striker,572662,4yg9ttzw0m51048doksv8uq5r,Elche CF,Elche,Elche,ELC,572662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abiel,Osorio,2002-06-13,24.24,954.0,24.0,Forward,Striker,572662,4yg9ttzw0m51048doksv8uq5r,Elche CF,Elche,Elche,ELC,572662,572662,954,4yg9ttzw0m51048doksv8uq5r
Adama Boiro,629738.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Boiro,2002-06-22,24.22,174.0,19.0,Defender,Full Back,5ayo0fp6wod7cqg71e38zdz4k,3czravw89omgc9o4s0w3l1bg5,Athletic Club,Athletic Club,Athletic,ATH,1.0,22.757,1.0,21.42,0.0,0.0,0.0,0.0,22.757,21.42,0.0,1.0,2.0,0.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,,,,,,,,,,629738.0,20.0,1.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,Adama,Boiro,2002-06-22,24.22,174.0,19.0,Defender,Full Back,5ayo0fp6wod7cqg71e38zdz4k,3czravw89omgc9o4s0w3l1bg5,Athletic Club,Athletic Club,Athletic,ATH,629738.0,20.0,1.0,8.0,7.0,87.5,3.0,2.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Boiro,2002-06-22,24.22,174.0,19.0,Defender,Full Back,5ayo0fp6wod7cqg71e38zdz4k,3czravw89omgc9o4s0w3l1bg5,Athletic Club,Athletic Club,Athletic,ATH,629738,5ayo0fp6wod7cqg71e38zdz4k,174,3czravw89omgc9o4s0w3l1bg5
Adama Timera,720618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Timera,2005-04-09,21.42,177.0,27.0,Defender,Central Defender,720618,c8llrezkm3b3op4afrou6b487,Reial Club Deportiu Espanyol de Barcelona,Espanyol,Espanyol,ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,720618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Timera,2005-04-09,21.42,177.0,27.0,Defender,Central Defender,720618,c8llrezkm3b3op4afrou6b487,Reial Club Deportiu Espanyol de Barcelona,Espanyol,Espanyol,ESP,720618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Timera,2005-04-09,21.42,177.0,27.0,Defender,Central Defender,720618,c8llrezkm3b3op4afrou6b487,Reial Club Deportiu Espanyol de Barcelona,Espanyol,Espanyol,ESP,720618,720618,177,c8llrezkm3b3op4afrou6b487
Ademola Lookman,219352.0,3.0,235.0,1.0,0.38,0.62,6.0,3.0,16.67,0.06,Ademola,Lookman,1997-10-20,28.89,175.0,11.0,Forward,Winger,8d04q3yp2kouwog0lj0s7ew2x,4ku8o6uf87yd8iecdalipo6wd,Club Atlético de Madrid,Atlético de Madrid,Atlético,ATM,23.0,223.967,10.0,47.88,0.0,0.0,0.0,0.0,9.738,4.788,3.0,0.0,8.0,0.0,0.0,19.0,10.0,52.632,1.0,0.0,0.0,,,,,,,,,,219352.0,235.0,3.0,2.0,2.0,2.99,0.0,0.244,0.244,0.0,0.0,Ademola,Lookman,1997-10-20,28.89,175.0,11.0,Forward,Winger,8d04q3yp2kouwog0lj0s7ew2x,4ku8o6uf87yd8iecdalipo6wd,Club Atlético de Madrid,Atlético de Madrid,Atlético,ATM,219352.0,235.0,3.0,68.0,54.0,79.41,27.0,19.0,70.37,2.0,0.0,0.0,1.0,0.0,0.0,Ademola,Lookman,1997-10-20,28.89,175.0,11.0,Forward,Winger,8d04q3yp2kouwog0lj0s7ew2x,4ku8o6uf87yd8iecdalipo6wd,Club Atlético de Madrid,Atlético de Madrid,Atlético,ATM,219352,8d04q3yp2kouwog0lj0s7ew2x,175,4ku8o6uf87yd8iecdalipo6wd
