player,attack_player_id,attack_apps,attack_mins_played,attack_goals,attack_xg,attack_goals_vs_xg,attack_shots,attack_shots_on_target,attack_shot_conv,attack_xg_per_shot,attack_first_name,attack_last_name,attack_date_of_birth,attack_age,attack_team_id,attack_shirt_number,attack_squad_position,attack_squad_position_detailed,attack_player_uuid,attack_team_uuid,attack_contestantName,attack_contestantClubName,attack_contestantShortName,attack_contestantCode,carries_carries,carries_carry_distance,carries_progressive_carries,carries_progressive_distance,carries_shot_ending,carries_goal_ending,carries_chance_ending,carries_assist_ending,carries_dist_per_carry,carries_dist_per_progressive_carry,defending_tackles,defending_interceptions,defending_recoveries,defending_blocks,defending_clearances,defending_ground_duels,defending_ground_duels_won,defending_ground_duel_perc,defending_aerial_duels,defending_aerial_duels_won,defending_aerial_duel_perc,goalkeeping_team_mins,goalkeeping_team_mins_perc,goalkeeping_ogs,goalkeeping_goals_conceded,goalkeeping_saves_made,goalkeeping_save_perc,goalkeeping_goals_prevented,goalkeeping_goals_prevented_rate,goalkeeping_xgot_conceded,possession_chanceCreation_player_id,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_chanceCreation_first_name,possession_chanceCreation_last_name,possession_chanceCreation_date_of_birth,possession_chanceCreation_age,possession_chanceCreation_team_id,possession_chanceCreation_shirt_number,possession_chanceCreation_squad_position,possession_chanceCreation_squad_position_detailed,possession_chanceCreation_player_uuid,possession_chanceCreation_team_uuid,possession_chanceCreation_contestantName,possession_chanceCreation_contestantClubName,possession_chanceCreation_contestantShortName,possession_chanceCreation_contestantCode,possession_passing_player_id,possession_passing_mins_played,possession_passing_apps,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,possession_passing_first_name,possession_passing_last_name,possession_passing_date_of_birth,possession_passing_age,possession_passing_team_id,possession_passing_shirt_number,possession_passing_squad_position,possession_passing_squad_position_detailed,possession_passing_player_uuid,possession_passing_team_uuid,possession_passing_contestantName,possession_passing_contestantClubName,possession_passing_contestantShortName,possession_passing_contestantCode,opta_player_id,opta_player_uuid,opta_team_id,opta_team_uuid
Abdallah Sima,516211.0,4.0,326.0,1.0,0.72,0.28,7.0,2.0,14.29,0.1,Abdallah,Sima,2001-06-17,25.27,142.0,19.0,Forward,Winger,36ylt0kjn7t0vajmelu4mbazu,3xedluek08t2ka7oypwuullcn,Racing Club de Lens,Lens,Lens,RCL,23.0,266.087,11.0,145.005,1.0,0.0,0.0,0.0,11.569,13.182,3.0,4.0,8.0,0.0,3.0,22.0,10.0,45.455,14.0,6.0,42.857,,,,,,,,,,516211.0,326.0,4.0,5.0,5.0,5.63,0.0,0.455,0.455,1.0,1.0,Abdallah,Sima,2001-06-17,25.27,142.0,19.0,Forward,Winger,36ylt0kjn7t0vajmelu4mbazu,3xedluek08t2ka7oypwuullcn,Racing Club de Lens,Lens,Lens,RCL,516211.0,326.0,4.0,74.0,53.0,71.62,40.0,22.0,55.0,3.0,3.0,100.0,0.0,0.0,0.0,Abdallah,Sima,2001-06-17,25.27,142.0,19.0,Forward,Winger,36ylt0kjn7t0vajmelu4mbazu,3xedluek08t2ka7oypwuullcn,Racing Club de Lens,Lens,Lens,RCL,516211,36ylt0kjn7t0vajmelu4mbazu,142,3xedluek08t2ka7oypwuullcn
Abdelhamid Aït Boudlal,619501.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdelhamid,Aït Boudlal,2006-04-16,20.44,150.0,48.0,Defender,Central Defender,85n9nt673fj0927h3lwthtus4,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,Rennes,Rennes,REN,31.0,315.261,16.0,168.315,0.0,0.0,0.0,0.0,10.17,10.52,6.0,6.0,10.0,4.0,12.0,10.0,6.0,60.0,7.0,7.0,100.0,,,,,,,,,,619501.0,180.0,2.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,Abdelhamid,Aït Boudlal,2006-04-16,20.44,150.0,48.0,Defender,Central Defender,85n9nt673fj0927h3lwthtus4,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,Rennes,Rennes,REN,619501.0,180.0,2.0,97.0,89.0,91.75,7.0,6.0,85.71,0.0,0.0,0.0,0.0,0.0,0.0,Abdelhamid,Aït Boudlal,2006-04-16,20.44,150.0,48.0,Defender,Central Defender,85n9nt673fj0927h3lwthtus4,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,Rennes,Rennes,REN,619501,85n9nt673fj0927h3lwthtus4,150,z1wbqtd0fz5t5eezjvrbld3h
Abner Vinícius,475344.0,3.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abner Vinícius,da Silva Santos,2000-05-27,26.33,143.0,16.0,Defender,Full Back,yhfujfdzpt7tymqdmt7i0mzu,121le8unjfzug3iu9pgkqa1c7,Lyon,Olympique Lyonnais,Lyon,OL,20.0,305.691,16.0,252.84,0.0,0.0,1.0,0.0,15.285,15.802,0.0,0.0,10.0,0.0,3.0,8.0,3.0,37.5,2.0,0.0,0.0,,,,,,,,,,475344.0,190.0,3.0,3.0,2.0,2.3,33.33,0.187,0.103,0.0,0.0,Abner Vinícius,da Silva Santos,2000-05-27,26.33,143.0,16.0,Defender,Full Back,yhfujfdzpt7tymqdmt7i0mzu,121le8unjfzug3iu9pgkqa1c7,Lyon,Olympique Lyonnais,Lyon,OL,475344.0,190.0,3.0,91.0,77.0,84.62,28.0,22.0,78.57,2.0,2.0,100.0,1.0,0.0,0.0,Abner Vinícius,da Silva Santos,2000-05-27,26.33,143.0,16.0,Defender,Full Back,yhfujfdzpt7tymqdmt7i0mzu,121le8unjfzug3iu9pgkqa1c7,Lyon,Olympique Lyonnais,Lyon,OL,475344,yhfujfdzpt7tymqdmt7i0mzu,143,121le8unjfzug3iu9pgkqa1c7
Aboubakar Nagida,634263.0,4.0,202.0,0.0,0.1,-0.1,2.0,0.0,0.0,0.05,Aboubakar,Nagida,2005-06-28,21.24,150.0,18.0,Defender,Full Back,7y2h0upi10c3mp7u2oqn9kq38,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,Rennes,Rennes,REN,27.0,351.608,13.0,198.87,1.0,0.0,0.0,0.0,13.023,15.298,9.0,7.0,16.0,1.0,10.0,29.0,14.0,48.276,5.0,0.0,0.0,,,,,,,,,,634263.0,202.0,4.0,2.0,2.0,2.11,0.0,0.224,0.223,0.0,0.0,Aboubakar,Nagida,2005-06-28,21.24,150.0,18.0,Defender,Full Back,7y2h0upi10c3mp7u2oqn9kq38,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,Rennes,Rennes,REN,634263.0,202.0,4.0,97.0,77.0,79.38,25.0,22.0,88.0,8.0,4.0,50.0,0.0,0.0,0.0,Aboubakar,Nagida,2005-06-28,21.24,150.0,18.0,Defender,Full Back,7y2h0upi10c3mp7u2oqn9kq38,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,Rennes,Rennes,REN,634263,7y2h0upi10c3mp7u2oqn9kq38,150,z1wbqtd0fz5t5eezjvrbld3h
Aboulaye Camara,750207.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aboulaye,Camara,2008-02-10,18.62,1395.0,38.0,Midfielder,0,9qh54nq2701u7jm8o3hq1nf9w,bx0cdmzr2gwr70ez72dorx82p,OGC Nice Côte d'Azur,Nice,Nice,NIC,4.0,33.027,1.0,17.535,0.0,0.0,0.0,0.0,8.257,17.535,1.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,,,,,,,,,,750207.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aboulaye,Camara,2008-02-10,18.62,1395.0,38.0,Midfielder,0,9qh54nq2701u7jm8o3hq1nf9w,bx0cdmzr2gwr70ez72dorx82p,OGC Nice Côte d'Azur,Nice,Nice,NIC,750207.0,5.0,1.0,6.0,5.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aboulaye,Camara,2008-02-10,18.62,1395.0,38.0,Midfielder,0,9qh54nq2701u7jm8o3hq1nf9w,bx0cdmzr2gwr70ez72dorx82p,OGC Nice Côte d'Azur,Nice,Nice,NIC,750207,9qh54nq2701u7jm8o3hq1nf9w,1395,bx0cdmzr2gwr70ez72dorx82p
Achraf Hakimi,223760.0,4.0,309.0,0.0,0.45,-0.45,8.0,1.0,0.0,0.06,Achraf,Hakimi,1998-11-04,27.89,149.0,2.0,Defender,Full Back,1vr896w03yky9kmu8x5tjkicp,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,Paris Saint-Germain,Paris SG,PSG,74.0,746.633,41.0,397.95,1.0,0.0,1.0,0.0,10.09,9.706,3.0,3.0,21.0,0.0,1.0,35.0,15.0,42.857,2.0,2.0,100.0,,,,,,,,,,223760.0,309.0,4.0,5.0,5.0,1.84,0.0,0.542,0.54,0.0,0.0,Achraf,Hakimi,1998-11-04,27.89,149.0,2.0,Defender,Full Back,1vr896w03yky9kmu8x5tjkicp,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,Paris Saint-Germain,Paris SG,PSG,223760.0,309.0,4.0,275.0,241.0,87.64,127.0,103.0,81.1,12.0,1.0,8.33,0.0,0.0,0.0,Achraf,Hakimi,1998-11-04,27.89,149.0,2.0,Defender,Full Back,1vr896w03yky9kmu8x5tjkicp,2b3mar72yy8d6uvat1ka6tn3r,Paris Saint-Germain FC,Paris Saint-Germain,Paris SG,PSG,223760,1vr896w03yky9kmu8x5tjkicp,149,2b3mar72yy8d6uvat1ka6tn3r
Adama Camara,624926.0,4.0,360.0,0.0,0.11,-0.11,1.0,0.0,0.0,0.11,Adama,Camara,1996-10-18,29.94,2338.0,17.0,Midfielder,Defensive Midfielder,7l1uizt2vz2a70aarov383xm1,8v00fx2zwhiwm05tqqkt122p5,Paris FC,Paris FC,Paris FC,PAR,25.0,234.942,6.0,51.87,0.0,0.0,0.0,0.0,9.398,8.645,11.0,4.0,15.0,0.0,14.0,23.0,16.0,69.565,6.0,2.0,33.333,,,,,,,,,,624926.0,360.0,4.0,2.0,2.0,1.2,0.0,0.067,0.066,0.0,0.0,Adama,Camara,1996-10-18,29.94,2338.0,17.0,Midfielder,Defensive Midfielder,7l1uizt2vz2a70aarov383xm1,8v00fx2zwhiwm05tqqkt122p5,Paris FC,Paris FC,Paris FC,PAR,624926.0,360.0,4.0,169.0,142.0,84.02,29.0,22.0,75.86,1.0,0.0,0.0,0.0,0.0,0.0,Adama,Camara,1996-10-18,29.94,2338.0,17.0,Midfielder,Defensive Midfielder,7l1uizt2vz2a70aarov383xm1,8v00fx2zwhiwm05tqqkt122p5,Paris FC,Paris FC,Paris FC,PAR,624926,7l1uizt2vz2a70aarov383xm1,2338,8v00fx2zwhiwm05tqqkt122p5
Adil Bourabaa,729203.0,4.0,313.0,2.0,1.16,0.84,6.0,2.0,33.33,0.19,Adil,Bourabaa,2004-11-30,21.81,920.0,11.0,Midfielder,Central Midfielder,7vw44wtfbj77tii550l3o7ndg,bj8hrmj01r3zit0x8r6qm2eu2,Le Mans FC,Le Mans,Le Mans,LEM,43.0,531.706,19.0,212.625,0.0,0.0,3.0,2.0,12.365,11.191,5.0,6.0,12.0,1.0,4.0,33.0,15.0,45.455,4.0,2.0,50.0,,,,,,,,,,729203.0,313.0,4.0,6.0,6.0,3.51,0.0,0.222,0.222,2.0,2.0,Adil,Bourabaa,2004-11-30,21.81,920.0,11.0,Midfielder,Central Midfielder,7vw44wtfbj77tii550l3o7ndg,bj8hrmj01r3zit0x8r6qm2eu2,Le Mans FC,Le Mans,Le Mans,LEM,729203.0,313.0,4.0,114.0,94.0,82.46,30.0,19.0,63.33,4.0,1.0,25.0,2.0,0.0,0.0,Adil,Bourabaa,2004-11-30,21.81,920.0,11.0,Midfielder,Central Midfielder,7vw44wtfbj77tii550l3o7ndg,bj8hrmj01r3zit0x8r6qm2eu2,Le Mans FC,Le Mans,Le Mans,LEM,729203,7vw44wtfbj77tii550l3o7ndg,920,bj8hrmj01r3zit0x8r6qm2eu2
Adrien Monfray,149588.0,4.0,360.0,0.0,0.58,-0.58,6.0,1.0,0.0,0.1,Adrien,Monfray,1990-12-20,35.77,154.0,6.0,Defender,0,9c649h97duf864wx0k6e3yn6d,3unkqo2g6ag99gd5ynz1j7vse,Espérance Sportive Troyes Aube Champagne,Troyes,Troyes,TRO,32.0,253.864,13.0,79.905,0.0,0.0,0.0,0.0,7.933,6.147,11.0,6.0,13.0,2.0,15.0,18.0,13.0,72.222,13.0,10.0,76.923,,,,,,,,,,149588.0,360.0,4.0,3.0,3.0,1.32,0.0,0.108,0.107,0.0,0.0,Adrien,Monfray,1990-12-20,35.77,154.0,6.0,Defender,0,9c649h97duf864wx0k6e3yn6d,3unkqo2g6ag99gd5ynz1j7vse,Espérance Sportive Troyes Aube Champagne,Troyes,Troyes,TRO,149588.0,360.0,4.0,233.0,199.0,85.41,53.0,36.0,67.92,1.0,0.0,0.0,0.0,0.0,0.0,Adrien,Monfray,1990-12-20,35.77,154.0,6.0,Defender,0,9c649h97duf864wx0k6e3yn6d,3unkqo2g6ag99gd5ynz1j7vse,Espérance Sportive Troyes Aube Champagne,Troyes,Troyes,TRO,149588,9c649h97duf864wx0k6e3yn6d,154,3unkqo2g6ag99gd5ynz1j7vse
Adrien Thomasson,115961.0,4.0,283.0,1.0,1.22,-0.22,4.0,1.0,25.0,0.3,Adrien,Thomasson,1993-12-10,32.79,150.0,28.0,Midfielder,0,c8u45gxriyq1rup5fpr30xrdh,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,Rennes,Rennes,REN,33.0,293.358,15.0,117.075,0.0,0.0,2.0,2.0,8.89,7.805,5.0,4.0,18.0,1.0,2.0,30.0,13.0,43.333,8.0,6.0,75.0,,,,,,,,,,115961.0,283.0,4.0,11.0,7.0,3.14,36.36,0.586,0.408,2.0,2.0,Adrien,Thomasson,1993-12-10,32.79,150.0,28.0,Midfielder,0,c8u45gxriyq1rup5fpr30xrdh,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,Rennes,Rennes,REN,115961.0,283.0,4.0,164.0,139.0,84.76,50.0,37.0,74.0,5.0,2.0,40.0,1.0,0.0,0.0,Adrien,Thomasson,1993-12-10,32.79,150.0,28.0,Midfielder,0,c8u45gxriyq1rup5fpr30xrdh,z1wbqtd0fz5t5eezjvrbld3h,Stade Rennais FC,Rennes,Rennes,REN,115961,c8u45gxriyq1rup5fpr30xrdh,150,z1wbqtd0fz5t5eezjvrbld3h
