name,playerId,teamId,teamName,age,height,weight,positionText,season
Cole Palmer,395692,15,Chelsea,24,185,76,Midfielder,2026_27
Jack Hinshelwood,469629,211,Brighton,21,181,76,Midfielder,2026_27
Vitaly Janelt,298689,189,Brentford,28,184,79,Midfielder,2026_27
Maxim De Cuyper,392647,211,Brighton,25,182,71,Defender,2026_27
Anton Stach,401073,19,Leeds,27,193,86,Midfielder,2026_27
Konstantinos Tzolakis,397331,214,Hull,23,193,0,Goalkeeper,2026_27
Semi Ajayi,247815,214,Hull,32,193,83,Defender,2026_27
Martin Ødegaard,247454,13,Arsenal,27,178,68,Midfielder,2026_27
Morgan Rogers,362824,15,Chelsea,24,187,80,Midfielder,2026_27
Jaka Bijol,360941,19,Leeds,27,190,85,Defender,2026_27
Keane Lewis-Potter,368512,189,Brentford,25,170,67,Forward,2026_27
Maxence Lacroix,401130,15,Chelsea,26,190,88,Defender,2026_27
João Pedro,373525,15,Chelsea,24,186,70,Forward,2026_27
Nobel Mendy,469508,214,Hull,21,187,78,Defender,2026_27
Kevin Schade,407260,189,Brentford,24,183,74,Midfielder,2026_27
Diego Gómez,446133,211,Brighton,23,185,77,Midfielder,2026_27
Mamadou Sangaré,442971,189,Brentford,24,181,72,Midfielder,2026_27
Kiernan Dewsbury-Hall,391256,31,Everton,27,178,80,Midfielder,2026_27
Michael Kayode,470031,189,Brentford,22,179,74,Defender,2026_27
Marc Guéhi,374631,167,Manchester City,26,183,80,Defender,2026_27
Iliman Ndiaye,366116,31,Everton,26,180,78,Forward,2026_27
Kai Havertz,326413,13,Arsenal,27,193,83,Forward,2026_27
Cody Gakpo,352825,26,Liverpool,27,193,78,Forward,2026_27
Emersonn,429556,165,Ipswich,22,186,72,Forward,2026_27
Kristoffer Ajer,321085,189,Brentford,28,198,92,Defender,2026_27
Mats Wieffer,445059,211,Brighton,26,189,78,Midfielder,2026_27
Dara O'Shea,362826,165,Ipswich,27,189,75,Defender,2026_27
Ben White,322036,13,Arsenal,28,186,76,Defender,2026_27
Bukayo Saka,367185,13,Arsenal,24,178,65,Forward,2026_27
Georginio Rutter,362433,211,Brighton,24,182,83,Forward,2026_27
John Egan,108632,214,Hull,33,185,75,Defender,2026_27
James Justin,301441,19,Leeds,28,183,80,Defender,2026_27
Rayan Cherki,386153,167,Manchester City,23,180,71,Midfielder,2026_27
Caoimhín Kelleher,322176,189,Brentford,27,188,74,Goalkeeper,2026_27
Joe Willock,342563,23,Newcastle,27,179,71,Midfielder,2026_27
Josko Gvardiol,402664,167,Manchester City,24,185,80,Defender,2026_27
Julio Enciso,417747,165,Ipswich,22,173,64,Midfielder,2026_27
Joe Rodon,302312,19,Leeds,28,193,88,Defender,2026_27
Anthony Elanga,413211,23,Newcastle,24,178,75,Forward,2026_27
Mathias Jensen,339674,189,Brentford,30,180,72,Midfielder,2026_27
Pascal Groß,71824,211,Brighton,35,181,78,Midfielder,2026_27
Christos Tzolis,399296,13,Arsenal,24,179,70,Forward,2026_27
Riccardo Calafiori,386519,13,Arsenal,24,188,86,Defender,2026_27
Jarrad Branthwaite,381045,31,Everton,24,195,87,Defender,2026_27
Thierno Barry,537713,31,Everton,23,195,82,Forward,2026_27
Timothy Castagne,141169,170,Fulham,30,185,80,Defender,2026_27
Jordan Pickford,110189,31,Everton,32,185,77,Goalkeeper,2026_27
Olivier Boscagli,260809,211,Brighton,28,181,68,Defender,2026_27
Gonzalo García,498798,170,Fulham,22,182,74,Forward,2026_27
Harrison Armstrong,535879,31,Everton,19,185,70,Midfielder,2026_27
Josh King,515865,170,Fulham,19,187,74,Midfielder,2026_27
Marcelino Núñez,417745,165,Ipswich,26,173,73,Midfielder,2026_27
Gianluigi Donnarumma,262515,167,Manchester City,27,196,90,Goalkeeper,2026_27
Regan Slater,349981,214,Hull,26,173,65,Midfielder,2026_27
Jack Clarke,363516,165,Ipswich,25,181,74,Forward,2026_27
Abdul Fatawu,430985,165,Ipswich,22,177,73,Forward,2026_27
Luka Vuskovic,533010,211,Brighton,19,193,86,Defender,2026_27
Ryan Giles,362831,214,Hull,26,179,72,Defender,2026_27
Andy Robertson,115726,30,Tottenham,32,178,64,Defender,2026_27
Ethan Ampadu,322418,19,Leeds,25,182,78,Midfielder,2026_27
Oliver McBurnie,138695,214,Hull,30,188,79,Forward,2026_27
Marcus Tavernier,344314,183,Bournemouth,27,178,70,Midfielder,2026_27
Lewis Dunk,86441,211,Brighton,34,192,88,Defender,2026_27
Anan Khalaili,444136,162,Crystal Palace,21,183,0,Forward,2026_27
Dominik Szoboszlai,369875,26,Liverpool,25,186,74,Midfielder,2026_27
Josh Acheampong,518604,15,Chelsea,20,190,75,Defender,2026_27
Matt Crooks,105742,214,Hull,32,191,72,Midfielder,2026_27
Murillo,445424,174,Nottingham Forest,24,180,75,Defender,2026_27
Cristhian Mosquera,425591,13,Arsenal,22,191,78,Defender,2026_27
Evanilson,384430,183,Bournemouth,26,183,80,Forward,2026_27
James Tarkowski,131464,31,Everton,33,185,81,Defender,2026_27
Djordje Petrovic,406564,183,Bournemouth,26,194,89,Goalkeeper,2026_27
Harry Maguire,99487,32,Manchester United,33,194,90,Defender,2026_27
Tyrique George,523597,31,Everton,20,181,75,Forward,2026_27
Chris Richards,395401,162,Crystal Palace,26,188,93,Defender,2026_27
Justin Kluivert,331579,183,Bournemouth,27,173,66,Forward,2026_27
James Trafford,404852,19,Leeds,23,197,83,Goalkeeper,2026_27
Tarik Muharemovic,439533,19,Leeds,23,192,84,Defender,2026_27
Myles Lewis-Skelly,467918,13,Arsenal,19,178,72,Defender,2026_27
Ola Aina,315543,174,Nottingham Forest,29,184,82,Defender,2026_27
Reinildo Mandava,361812,16,Sunderland,32,183,73,Defender,2026_27
Trai Hume,424514,16,Sunderland,24,180,75,Defender,2026_27
Marcos Senesi,328330,30,Tottenham,29,185,78,Defender,2026_27
Merlin Röhl,419945,31,Everton,24,192,75,Midfielder,2026_27
Granit Xhaka,89401,16,Sunderland,33,186,80,Midfielder,2026_27
Virgil van Dijk,95408,26,Liverpool,35,195,92,Defender,2026_27
Igor Jesus,397497,174,Nottingham Forest,25,180,73,Forward,2026_27
Nilson Angulo,443064,16,Sunderland,23,184,69,Forward,2026_27
Antonín Kinsky,457006,30,Tottenham,23,190,83,Goalkeeper,2026_27
Lewis Miley,474264,23,Newcastle,20,185,72,Midfielder,2026_27
Vitalii Mykolenko,345516,31,Everton,27,180,71,Defender,2026_27
Hayden Hackney,388651,31,Everton,24,178,70,Midfielder,2026_27
Dango Ouattara,422183,189,Brentford,24,177,71,Forward,2026_27
Elliot Stroud,614510,214,Hull,24,185,75,Midfielder,2026_27
Noah Okafor,376090,19,Leeds,26,185,85,Forward,2026_27
William Osula,416209,23,Newcastle,23,180,81,Forward,2026_27
Mohamed Belloumi,457802,214,Hull,24,174,66,Forward,2026_27
Noah Sadiki,437449,16,Sunderland,21,173,74,Midfielder,2026_27
Declan Rice,332325,13,Arsenal,27,188,76,Midfielder,2026_27
Phil Foden,331254,167,Manchester City,26,171,63,Midfielder,2026_27
Alexander Isak,299254,26,Liverpool,26,190,74,Forward,2026_27
Costinha,395954,211,Brighton,26,181,76,Defender,2026_27
Nikola Milenkovic,319785,174,Nottingham Forest,28,195,90,Defender,2026_27
Rúben Dias,313171,167,Manchester City,29,187,86,Defender,2026_27
Bobby Thomas,395615,17,Coventry,25,193,77,Defender,2026_27
David Raya,276366,13,Arsenal,30,183,80,Goalkeeper,2026_27
James McAtee,425576,174,Nottingham Forest,23,180,72,Midfielder,2026_27
Daichi Kamada,344166,162,Crystal Palace,30,180,72,Midfielder,2026_27
Lewie Coyle,301415,214,Hull,30,173,67,Defender,2026_27
Nathan Collins,372724,189,Brentford,25,193,83,Defender,2026_27
Adrien Truffert,398301,183,Bournemouth,24,176,72,Defender,2026_27
Thomas Meunier,104376,16,Sunderland,34,190,88,Defender,2026_27
Brenden Aaronson,371012,19,Leeds,25,177,69,Midfielder,2026_27
Igor Thiago,443784,189,Brentford,25,190,95,Forward,2026_27
Jacob Greaves,381161,165,Ipswich,25,185,70,Defender,2026_27
Sasa Lukic,297395,165,Ipswich,30,183,76,Midfielder,2026_27
Reece James,361330,15,Chelsea,26,180,92,Defender,2026_27
Víctor Muñoz,548106,26,Liverpool,23,173,70,Forward,2026_27
Jaidon Anthony,400610,189,Brentford,26,183,70,Forward,2026_27
Leif Davis,366211,165,Ipswich,26,182,70,Defender,2026_27
Abdukodir Khusanov,493206,167,Manchester City,22,186,83,Defender,2026_27
Jorrel Hato,467715,15,Chelsea,20,182,77,Defender,2026_27
Mathys Tel,422885,30,Tottenham,21,183,77,Forward,2026_27
Antoine Semenyo,357073,167,Manchester City,26,185,74,Forward,2026_27
Gabriel Magalhães,334087,13,Arsenal,28,190,92,Defender,2026_27
Luke Shaw,118244,32,Manchester United,31,178,80,Defender,2026_27
Pedro Neto,337916,15,Chelsea,26,174,78,Forward,2026_27
