name,playerId,teamId,teamName,age,height,weight,positionText,season
Igor Matanovic,407222,50,Freiburg,23,195,93,Forward,2026_27
Yuito Suzuki,472403,50,Freiburg,24,175,71,Midfielder,2026_27
Younes Ebnoutalib,476035,45,Eintracht Frankfurt,22,191,82,Forward,2026_27
Joshua Kimmich,283323,37,Bayern Munich,31,177,75,Midfielder,2026_27
Dayot Upamecano,327721,37,Bayern Munich,27,186,90,Defender,2026_27
Antonio Nusa,416030,7614,RB Leipzig,21,183,77,Midfielder,2026_27
Anton Kade,431281,1730,Augsburg,22,185,72,Midfielder,2026_27
Marius Wolf,312666,1730,Augsburg,31,188,81,Defender,2026_27
Josip Juranovic,271603,796,Union Berlin,31,173,68,Defender,2026_27
Lukas Petkov,406672,1134,Elversberg,25,183,76,Forward,2026_27
Konstantinos Karetsas,471855,44,Borussia Dortmund,18,173,65,Midfielder,2026_27
Aleksandar Pavlovic,481079,37,Bayern Munich,22,188,78,Midfielder,2026_27
Laurin Curda,486781,810,Paderborn,24,185,84,Defender,2026_27
Thijs Dallinga,379687,282,FC Koln,26,180,75,Forward,2026_27
Ozan Kabak,356743,1211,Hoffenheim,26,187,86,Defender,2026_27
Jeremiaha Maluze,568298,45,Eintracht Frankfurt,21,193,0,Defender,2026_27
Marco Grüll,385080,42,Werder Bremen,28,182,74,Forward,2026_27
Leopold Querfeld,427502,796,Union Berlin,22,190,83,Defender,2026_27
Michael Gregoritsch,84919,1730,Augsburg,32,193,91,Forward,2026_27
Michael Olise,371281,37,Bayern Munich,24,180,78,Midfielder,2026_27
Ridle Baku,356183,7614,RB Leipzig,28,176,72,Defender,2026_27
Finn Dahmen,353985,1730,Augsburg,28,186,80,Goalkeeper,2026_27
Fabian Rieder,404193,1730,Augsburg,24,179,74,Midfielder,2026_27
Rocco Reitz,401014,7614,RB Leipzig,24,176,75,Midfielder,2026_27
Willi Orbán,104917,7614,RB Leipzig,33,186,87,Defender,2026_27
Serhou Guirassy,236506,44,Borussia Dortmund,30,187,82,Forward,2026_27
Hennes Behrens,551088,1730,Augsburg,21,175,70,Defender,2026_27
Brajan Gruda,471784,7614,RB Leipzig,22,178,70,Forward,2026_27
Francis Onyeka,514447,1134,Elversberg,19,187,74,Midfielder,2026_27
Giannis Konstantelias,476927,44,Borussia Dortmund,23,176,0,Midfielder,2026_27
Adam Daghim,514499,1211,Hoffenheim,20,189,80,Forward,2026_27
Chrislain Matsima,398372,1730,Augsburg,24,193,81,Defender,2026_27
Calvin Brackelmann,445983,1730,Augsburg,27,196,86,Defender,2026_27
Nadiem Amiri,261021,219,Mainz 05,29,180,75,Midfielder,2026_27
Luis Díaz,377168,37,Bayern Munich,29,180,70,Forward,2026_27
Tjark Scheller,502544,810,Paderborn,24,192,85,Defender,2026_27
Jobe Bellingham,422365,44,Borussia Dortmund,20,188,73,Midfielder,2026_27
Castello Lukeba,415172,7614,RB Leipzig,23,184,73,Defender,2026_27
Dariusz Stalmach,552277,42,Werder Bremen,20,182,75,Midfielder,2026_27
Moritz Nicolas,322881,134,Borussia M.Gladbach,28,193,87,Goalkeeper,2026_27
Ismael Saibari,404776,37,Bayern Munich,25,185,81,Midfielder,2026_27
Cole Campbell,513605,1134,Elversberg,20,170,68,Forward,2026_27
Danny da Costa,94934,219,Mainz 05,33,187,87,Defender,2026_27
Gregor Kobel,336028,44,Borussia Dortmund,28,195,88,Goalkeeper,2026_27
Maarten Vandevoordt,365332,7614,RB Leipzig,24,192,80,Goalkeeper,2026_27
Daniel Svensson,418584,44,Borussia Dortmund,24,183,72,Defender,2026_27
Elias Baum,503382,45,Eintracht Frankfurt,20,180,77,Defender,2026_27
Han-Noah Massengo,365831,1730,Augsburg,25,178,70,Midfielder,2026_27
