Player,Team within selected timeframe,Age,Minutes played,Possessions won per 90,Defensive duels per 90,Defensive duels won %,Aerial duels per 90,Aerial duels won %,Sliding tackles per 90,Sliding tackles (PAdj),Shots blocked per 90,Interceptions per 90,Interceptions (PAdj),Fouls per 90,Yellow cards per 90,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Headed goals per 90,Shots per 90,Shots on target %,Goal conversion %,Assists per 90,Crosses per 90,Cross accuracy %,Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to box per 90,Dribbles attempted per 90,Dribble success rate %,Offensive duels per 90,Offensive duels won %,Touches in box per 90,Progressive carries per 90,Accelerations per 90,Passes received per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,Pass completion %,Forward passes per 90,Forward pass completion %,Backward passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short passes per 90,Short pass completion %,Long passes per 90,Long pass accuracy %,Average pass length (m),"Average long pass length, m",xA per 90,Shot assists per 90,Pre-assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,Pass completion (to final third) %,Passes to penalty box per 90,Pass completion (to penalty box) %,Through passes per 90,Through pass completion %,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,Progressive pass accuracy %,Goals conceded,Goals conceded per 90,Shots conceded,Shots conceded per 90,Clean sheets,Save percentage %,xG conceded,xG conceded per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,Direct free kicks oT %,Corners per 90,Penalties attempted,Penalty success rate %,Matches played,Duels per 90,Duels won %,Possession +/-,Forward pass ratio,xA per 100 passes,Chance creation ratio,"Inaccurate passes, %",Goals + Assists per 90,NPG+A per 90,xG+xA per 90,xG/Shot,Goals - xG per 90,Goals per xG,Assists - xA per 90,Assists per xA,Successful dribbles per 90,Shots on target per 90,Accurate crosses per 90,Offensive duels won per 90,Defensive duels won per 90,Aerial duels won per 90,Passes completed per 90,Forward passes completed per 90,Short passes completed per 90,Long passes completed per 90,Accurate passes to final third per 90,Accurate passes to penalty box per 90,Through passes completed per 90,Progressive passes completed per 90,Misplaced passes per 90,Saves per 90,Possessions lost per 90,Possessions won - lost per 90,Progressive actions per 90,Duels won per 90,Minutes per match,Backward pass ratio,Penalties scored,npxG per 90,npxG/Shot,npxG+xA per 90,Touches per 90,Progressive action rate,Progressive passes (PAdj),Ball-carrying frequency,xG per 100 touches,Shot frequency,Dribbles per 100 touches,Goals per 100 touches,position
R. Risser,Lens,21,3274,1.07,0.08,66.67,0.08,100.0,0.0,0.0,0.0,1.02,1.32,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,75.0,0.03,0.0,0.0,14.6,0.14,0.11,20.64,88.15,8.85,75.47,0.03,100.0,10.69,97.69,14.87,98.34,5.75,62.2,26.81,41.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,22.22,0.03,0.0,0.11,25.0,0.0,0.0,3.96,59.72,35,0.96,113,3.11,11,69.03,36.88,1.01,1.88,0.052,0.0,0.82,0.08,,,,0.0,0,0.0,33,0.27,80.0,-11.7,0.43,0.0,0.0,11.85,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.08,0.05,0.08,18.19,6.68,14.62,3.58,0.16,0.0,0.03,2.36,2.45,2.15,2.47,-1.4,3.96,0.22,99.21,0.0,0,0.0,,0.0,15.67,25.27,25.27,0.0,0.0,0.0,0.0,0.0,GK
M. Penders,Strasbourg,20,3274,0.8,0.03,0.0,0.25,100.0,0.0,0.0,0.0,0.8,1.05,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.0,0.0,0.0,25.7,0.25,0.05,34.8,93.05,14.05,84.93,0.05,100.0,18.03,98.63,28.42,98.65,6.38,68.1,23.81,45.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,53.85,0.14,20.0,0.25,11.11,0.0,0.0,5.31,70.47,47,1.29,157,4.32,8,70.06,41.27,1.13,-5.73,-0.158,0.03,1.1,0.25,,,,0.0,0,0.0,33,0.33,83.33,-6.73,0.4,0.0,0.0,6.95,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.02,0.0,0.25,32.38,11.93,28.04,4.34,0.77,0.03,0.03,3.74,2.42,3.03,2.44,-1.64,5.31,0.27,99.21,0.0,0,0.0,,0.0,26.5,20.04,20.04,0.0,0.0,0.0,0.0,0.0,GK
G. Restes,Toulouse,21,3238,1.33,0.11,50.0,0.5,88.89,0.0,0.0,0.0,1.28,1.41,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,80.0,0.0,0.0,0.0,11.79,0.06,0.19,18.01,87.35,9.23,78.31,0.03,0.0,7.84,97.52,11.98,97.68,6.0,67.13,30.19,49.32,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.67,58.33,0.08,0.0,0.22,25.0,0.0,0.0,4.89,78.41,45,1.25,130,3.61,9,65.38,39.76,1.11,-5.24,-0.146,0.0,1.45,0.5,,,,0.0,0,0.0,33,0.78,82.14,-12.47,0.51,0.0,0.0,12.65,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.11,0.06,0.44,15.73,7.23,11.7,4.03,0.97,0.0,0.06,3.83,2.28,2.36,2.31,-0.98,4.89,0.64,98.12,0.0,0,0.0,,0.0,13.12,37.27,37.27,0.0,0.0,0.0,0.0,0.0,GK
B. Samba,Rennes,32,3173,2.04,0.11,50.0,0.26,88.89,0.0,0.0,0.0,1.99,2.7,0.03,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,75.0,0.0,0.0,0.0,20.17,0.28,0.17,28.7,84.88,13.36,70.91,0.0,0.0,14.47,97.65,19.86,97.57,8.82,56.59,28.15,41.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,34.72,0.23,37.5,0.54,26.32,0.09,0.0,5.7,60.2,44,1.25,134,3.8,10,67.16,40.5,1.15,-3.5,-0.099,0.0,1.02,0.26,,,,0.0,0,0.0,32,0.54,78.95,-14.57,0.47,0.0,0.0,15.12,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.08,0.06,0.23,24.36,9.47,19.38,4.99,0.71,0.09,0.14,3.43,4.34,2.55,4.37,-2.33,5.7,0.43,99.16,0.0,0,0.0,,0.0,22.21,25.66,25.66,0.0,0.0,0.0,0.0,0.0,GK
B. Özer,Lille,26,3138,1.29,0.11,50.0,0.34,100.0,0.09,0.12,0.0,1.15,1.62,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,20.36,0.4,0.34,26.64,88.48,10.87,75.46,0.0,0.0,14.14,98.38,20.11,99.0,6.42,57.14,26.71,47.38,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.12,45.95,0.14,0.0,0.32,27.27,0.0,0.0,4.22,71.43,34,0.98,98,2.81,13,65.31,33.57,0.96,-0.43,-0.012,0.0,1.09,0.34,,,,0.0,0,0.0,32,0.75,92.31,-11.09,0.41,0.0,0.0,11.52,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.2,0.06,0.34,23.57,8.2,19.91,3.67,0.97,0.0,0.09,3.01,3.07,1.84,3.07,-1.78,4.22,0.69,98.06,0.0,0,0.0,,0.0,21.65,19.49,19.49,0.0,0.0,0.0,0.0,0.0,GK
Y. Mvogo,Lorient,31,3099,1.34,0.12,75.0,0.55,89.47,0.03,0.03,0.0,1.22,1.38,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,19.52,0.17,0.12,28.52,89.82,12.75,79.95,0.06,50.0,14.87,98.05,20.27,98.28,8.22,69.26,27.77,40.3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.07,51.35,0.06,0.0,0.17,16.67,0.0,0.0,5.26,64.09,43,1.25,121,3.51,6,64.46,39.38,1.14,-3.62,-0.105,0.0,1.74,0.55,,,,0.0,0,0.0,31,0.73,88.0,-9.79,0.45,0.0,0.0,10.18,0.0,0.0,0.0,,0.0,,0.0,,0.03,0.0,0.0,0.03,0.09,0.49,25.62,10.19,19.92,5.69,0.55,0.0,0.03,3.37,2.9,2.26,2.9,-1.56,5.26,0.64,99.97,0.0,0,0.0,,0.0,20.86,25.22,25.22,0.0,0.0,0.0,0.14,0.0,GK
A. Lopes,Nantes,35,3085,1.58,0.15,60.0,0.41,92.86,0.0,0.0,0.0,1.49,1.73,0.03,0.12,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.18,66.67,0.06,0.03,0.0,13.92,0.23,0.35,22.2,91.2,9.66,81.87,0.0,0.0,11.7,98.75,15.2,99.23,6.97,74.06,30.9,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,57.78,0.12,0.0,0.2,14.29,0.0,0.0,5.51,79.37,50,1.46,148,4.32,6,66.22,45.32,1.32,-4.68,-0.137,0.0,1.37,0.41,,,,0.0,0,0.0,31,0.85,82.76,-8.64,0.44,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,,0.0,,0.03,0.0,0.0,0.12,0.09,0.38,20.25,7.91,15.08,5.16,0.76,0.0,0.03,4.37,1.95,2.86,2.01,-0.43,5.54,0.7,99.52,0.0,0,0.0,0.0,0.0,15.5,35.74,35.55,0.19,0.0,0.39,0.19,0.0,GK
M. Diaw,Le Havre,32,2936,1.53,0.06,50.0,0.4,92.31,0.0,0.0,0.0,1.5,1.95,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,15.97,0.15,0.18,23.05,83.91,11.19,67.67,0.0,0.0,11.13,99.72,15.33,97.6,7.69,56.97,32.83,51.11,0.01,0.03,0.0,0.0,0.0,0.0,0.03,1.99,38.46,0.25,12.5,0.28,44.44,0.03,0.0,6.16,67.16,41,1.26,122,3.74,7,66.39,36.7,1.12,-4.3,-0.132,0.0,2.12,0.4,,,,0.0,0,0.0,30,0.52,88.24,-15.69,0.49,0.04,0.13,16.09,0.03,0.03,0.01,,0.0,,0.02,3.0,0.0,0.0,0.0,0.06,0.03,0.37,19.34,7.57,14.96,4.38,0.77,0.03,0.12,4.14,3.71,2.48,3.71,-2.18,6.16,0.46,97.87,0.0,0,0.0,,0.01,17.5,35.2,35.2,0.0,0.0,0.0,0.0,0.0,GK
D. Greif,Olympique Lyonnais,29,2928,1.72,0.06,50.0,0.31,90.0,0.03,0.04,0.0,1.66,2.37,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,16.44,0.31,0.15,25.54,90.49,11.37,80.54,0.03,100.0,13.03,98.58,18.78,98.85,6.76,67.27,26.87,45.58,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.6,55.77,0.18,33.33,0.31,40.0,0.09,0.0,4.58,70.47,37,1.14,118,3.63,11,68.64,36.85,1.13,-0.15,-0.005,0.0,0.95,0.31,,,,0.0,0,0.0,29,0.52,88.24,-9.04,0.45,0.0,0.0,9.51,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.09,0.03,0.28,23.11,9.16,18.56,4.55,0.89,0.06,0.12,3.23,2.43,2.49,2.43,-0.71,4.58,0.46,100.97,0.0,0,0.0,,0.0,18.16,25.22,25.22,0.0,0.0,0.0,0.0,0.0,GK
H. Koffi,Angers SCO,29,2913,1.58,0.12,75.0,0.62,85.0,0.0,0.0,0.0,1.48,1.49,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.25,87.5,0.0,0.0,0.0,13.1,0.12,0.43,21.38,86.27,11.25,75.82,0.0,0.0,9.24,98.33,14.06,96.48,7.29,66.95,30.38,44.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,30.43,0.0,0.0,0.09,33.33,0.0,0.0,5.04,65.03,36,1.11,166,5.13,10,78.31,47.0,1.45,11.0,0.34,0.0,2.01,0.62,,,,0.0,0,0.0,30,1.11,80.56,-13.37,0.53,0.0,0.0,13.73,0.0,0.0,0.0,,0.0,,0.0,,0.03,0.0,0.0,0.22,0.09,0.53,18.44,8.53,13.57,4.88,0.22,0.0,0.03,3.28,2.94,4.02,2.97,-1.39,5.04,0.89,97.1,0.0,0,0.0,,0.0,14.68,34.33,34.33,0.0,0.0,0.0,0.2,0.0,GK
