source,name,native_id,master_team
opta,Afonso Moreira,551191,Lyon
opta,Albert Grønbæk,494779,Genoa
opta,Arthur Vermeeren,578612,Marseille
opta,Badredine Bouanani,492949,Nice
opta,Bilal Nadir,546178,Marseille
opta,Brajan Gruda,513433,Brighton
opta,Christopher Nkunku,213198,AC Milan
opta,Edin Dzeko,42544,Fiorentina
opta,Fabian Rieder,449787,Rennes
opta,Facundo Medina,224868,Marseille
opta,Gideon Mensah,229670,Auxerre
opta,Junior Dina Ebimbe,438309,Brest
opta,Miguel Gutiérrez,248498,Napoli
opta,Niclas Füllkrug,91889,AC Milan
opta,Reigan Heskey,580921,Manchester City
opta,Robin Gosens,177901,Fiorentina
opta,Sebastiaan Bornauw,437738,Leeds
opta,Sheraldo Becker,173547,Osasuna
opta,Stefan Posch,191803,Como
opta,Terem Moffi,438398,Nice
opta,Thijs Dallinga,438590,Bologna
whoscored,Thijs Dallinga,379687,Bologna
whoscored,Fabian Rieder,404193,Rennes
whoscored,Brajan Gruda,471784,Brighton
whoscored,Miguel Gutiérrez,395788,Napoli
whoscored,Christopher Nkunku,300945,AC Milan
whoscored,Gideon Mensah,402749,Auxerre
whoscored,Albert Grønbæk,424809,Genoa
whoscored,Sebastiaan Bornauw,364235,Leeds
whoscored,Facundo Medina,330672,Marseille
whoscored,Terem Moffi,400505,Nice
whoscored,Arthur Vermeeren,445430,Marseille
whoscored,Bilal Nadir,422240,Marseille
whoscored,Afonso Moreira,478033,Lyon
whoscored,Robin Gosens,141726,Fiorentina
whoscored,Junior Dina Ebimbe,372927,Brest
whoscored,Edin Dzeko,24845,Fiorentina
whoscored,Niclas Füllkrug,104058,AC Milan
fotmob,Badredine Bouanani,1388070,Nice
fotmob,Edin Dzeko,15403,Fiorentina
fotmob,Robin Gosens,518346,Fiorentina
fotmob,Fabian Rieder,1161211,Rennes
fotmob,Terem Moffi,885005,Nice
fotmob,Sebastiaan Bornauw,922892,Leeds
fotmob,Albert Grønbæk,1133381,Genoa
fotmob,Bilal Nadir,1283407,Marseille
fotmob,Facundo Medina,812652,Marseille
fotmob,Miguel Gutiérrez,942379,Napoli
fotmob,Afonso Moreira,1367047,Lyon
fotmob,Gideon Mensah,771630,Auxerre
fotmob,Thijs Dallinga,885085,Bologna
fotmob,Reigan Heskey,1665352,Manchester City
fotmob,Niclas Füllkrug,276791,AC Milan
fotmob,Sheraldo Becker,495222,Osasuna
fotmob,Stefan Posch,557325,Como
fotmob,Christopher Nkunku,704523,AC Milan
fotmob,Arthur Vermeeren,1387389,Marseille
fotmob,Brajan Gruda,1430151,Brighton
