source,source_native_id,source_name,canonical_player_id,matched_to_master
opta,234369,Aarón Martín,234369,True
opta,604265,Abdou-Salam Konate,604265,True
opta,484743,Abdoulaye Ndiaye,484743,True
opta,578303,Adam Bakoune,opta_new_578303,False
opta,169107,Adam Marusic,169107,True
opta,484995,Adam Obert,484995,True
opta,662323,Adam Zulevic,opta_new_662323,False
opta,649948,Adrian Lahdo,649948,True
opta,609683,Adrian Przyborek,609683,True
opta,120743,Adrien Rabiot,opta_new_120743,False
opta,449926,Adrián Bernabé,449926,True
opta,484640,Akor Adams,opta_new_484640,False
opta,215147,Albert Gudmundsson,215147,True
opta,247014,Alberto Dossena,247014,True
opta,543173,Albion Rrahmani,opta_new_543173,False
opta,712678,Ale Gomes,opta_new_712678,False
opta,430847,Aleksa Terzic,opta_new_430847,False
opta,563722,Aleksandar Stankovic,opta_new_563722,False
opta,215977,Alessandro Bastoni,215977,True
opta,162330,Alessandro Deiola,162330,True
opta,666360,Alessandro Di Bitonto,opta_new_666360,False
opta,624931,Alessandro Marcandalli,624931,True
opta,620568,Alessandro Romano,620568,True
opta,643622,Alessio Cacciamani,opta_new_643622,False
opta,126551,Alessio Romagnoli,126551,True
opta,247099,Alessio Zerbin,247099,True
opta,610163,Alex Amorim,610163,True
opta,437746,Alexis Saelemaekers,437746,True
opta,208380,Alfonso Pedraza,opta_new_208380,False
opta,607395,Ali Dembélé,607395,True
opta,509026,Alieu Fadera,509026,True
opta,629450,Alieu Njie,629450,True
opta,539366,Alisson Santos,539366,True
opta,578315,Alphadjo Cissè,opta_new_578315,False
opta,577193,Alvin Okoro,opta_new_577193,False
opta,165196,Amir Rrahmani,165196,True
opta,515759,Andrea Cambiaso,515759,True
opta,501395,Andrea Carboni,opta_new_501395,False
opta,449739,Andrea Colpani,opta_new_449739,False
opta,485264,Andrea Ghion,485264,True
opta,635773,Andrea Luongo,opta_new_635773,False
opta,503696,Andy Diouf,opta_new_503696,False
opta,518531,Ange-Yoan Bonny,518531,True
opta,464965,Anouar El Azzouzi,opta_new_464965,False
opta,520025,Anthony Oyono,opta_new_520025,False
opta,588403,Antoine Hainaut,opta_new_588403,False
opta,462484,Antonino Gallo,462484,True
opta,538734,Antonio Raimondo,opta_new_538734,False
opta,563809,Antonio Vergara,563809,True
opta,229912,Ardian Ismajli,229912,True
opta,508855,Ardon Jashari,508855,True
opta,232917,Arijanet Muric,232917,True
opta,103076,Arkadiusz Milik,103076,True
opta,449431,Armand Laurienté,449431,True
opta,477386,Armel Bella-Kotchap,477386,True
opta,213294,Artem Dovbyk,213294,True
opta,606931,Arthur Atta,606931,True
opta,624877,Assane Diao,624877,True
opta,240996,Bartol Franjic,opta_new_240996,False
opta,561201,Benja Domínguez,561201,True
opta,202675,Benjamin Pavard,opta_new_202675,False
opta,541690,Benjamín Cremaschi,541690,True
opta,243568,Billy Gilmour,243568,True
opta,468488,Boulaye Dia,468488,True
opta,682910,Brando Mazzeo,opta_new_682910,False
opta,685714,Branimir Mlacic,685714,True
opta,428585,Bremer,428585,True
opta,496181,Brooke Norton-Cuffy,496181,True
opta,109511,Bryan Cristante,109511,True
opta,230843,Carlos Augusto,230843,True
opta,219252,Cas Odenthal,219252,True
opta,505187,Cesare Casadei,505187,True
opta,465716,Charles De Ketelaere,465716,True
opta,536474,Cher Ndour,536474,True
opta,660728,Christ Inao Oulaï,opta_new_660728,False
opta,631119,Christian Comotto,opta_new_631119,False
opta,577684,Christian Garofalo,opta_new_577684,False
opta,575886,Christian Ordóñez,575886,True
opta,176413,Christian Pulisic,176413,True
opta,436416,Christos Mandas,opta_new_436416,False
opta,200439,Ché Adams,200439,True
opta,246265,Corrie Ndaba,246265,True
opta,587833,Costantino Favasuli,opta_new_587833,False
opta,558973,Cristian Volpato,558973,True
opta,88432,Cristiano Biraghi,88432,True
opta,488253,Daniel Maldini,488253,True
opta,550093,Daniele Ghilardi,550093,True
opta,150710,Daniele Rugani,150710,True
opta,216257,Danilho Doekhi,opta_new_216257,False
opta,503566,Danilo Veiga,503566,True
opta,634416,Darryl Bakola,opta_new_634416,False
opta,235887,David Neres,235887,True
opta,577947,David Pejicic,577947,True
opta,520217,David Puczka,opta_new_520217,False
opta,482766,David Romero,opta_new_482766,False
opta,51940,David de Gea,51940,True
opta,586248,Davide Bartesaghi,586248,True
opta,235453,Davide Frattesi,235453,True
opta,105700,Davide Zappacosta,105700,True
opta,596959,Diego Mascardi,opta_new_596959,False
opta,491011,Diego Moreira,opta_new_491011,False
opta,185524,Djibril Sow,opta_new_185524,False
opta,218445,Dodô,218445,True
opta,577976,Dominik Drobnic,577976,True
opta,204646,Donyell Malen,204646,True
opta,230046,Douglas Luiz,opta_new_230046,False
opta,103086,Duván Zapata,103086,True
opta,654936,Eddy Kouadio,654936,True
opta,488616,Edoardo Corvi,488616,True
opta,147614,Edoardo Goldaniga,147614,True
opta,513353,Edoardo Iannoni,513353,True
opta,431128,Edon Zhegrova,opta_new_431128,False
opta,617551,Eivind Helland,617551,True
opta,476489,El Bilal Touré,opta_new_476489,False
opta,463912,Elia Caprile,463912,True
opta,225807,Eljif Elmas,225807,True
opta,634069,Eman Kospo,634069,True
opta,657750,Emanuele Lulli,657750,True
opta,430529,Emanuele Valeri,430529,True
opta,479401,Emil Holm,479401,True
opta,551286,Emirhan Ilkhan,551286,True
opta,449321,Enrico Delprato,449321,True
opta,208554,Enzo Ebosse,208554,True
opta,661006,Ethan Meichtry,opta_new_661006,False
opta,208553,Evan Ndicka,208553,True
opta,493115,Fabio Miretti,493115,True
opta,519635,Fedde Leysen,opta_new_519635,False
opta,147297,Federico Bernardeschi,147297,True
opta,617164,Federico Cassa,opta_new_617164,False
opta,665767,Federico Croci,opta_new_665767,False
opta,161919,Federico Dimarco,161919,True
opta,465626,Filip Stankovic,opta_new_465626,False
opta,244397,Filippo Delli Carri,opta_new_244397,False
opta,550264,Filippo Missori,550264,True
opta,508625,Filippo Terracciano,508625,True
opta,215814,Fisayo Dele-Bashiru,215814,True
opta,210159,Florian Grillitsch,opta_new_210159,False
opta,633952,Francesco Camarda,633952,True
opta,551444,Francesco Pio Esposito,551444,True
opta,465630,Francisco Conceição,465630,True
opta,505185,Franco Carboni,505185,True
opta,576550,Franco Mastantuono,opta_new_576550,False
opta,203325,Frank Anguissa,203325,True
opta,669708,Gabriel Kulla,opta_new_669708,False
opta,588664,Gabriele Bracaglia,opta_new_588664,False
opta,594346,Gabriele Calvani,opta_new_594346,False
opta,235584,Gabriele Zappa,235584,True
opta,465628,Gaetano Oristanio,465628,True
opta,480374,Gennaro Borrelli,480374,True
opta,226522,Giacomo Calò,opta_new_226522,False
opta,446969,Giacomo Raspadori,opta_new_446969,False
opta,427168,Gianluca Busio,opta_new_427168,False
opta,437780,Gianluca Gaetano,437780,True
opta,198374,Gianluca Mancini,198374,True
opta,195899,Gianluca Scamacca,195899,True
opta,558122,Giorgi Kvernadze,opta_new_558122,False
opta,493261,Giorgio Cittadini,opta_new_493261,False
opta,519394,Giorgio Scalvini,519394,True
opta,576812,Giovane,576812,True
opta,93661,Giovanni Di Lorenzo,93661,True
opta,511444,Giovanni Fabbian,511444,True
opta,166016,Giovanni Simeone,166016,True
opta,683686,Giulio Vinciati,683686,True
opta,508629,Giuseppe Aurelio,opta_new_508629,False
opta,449980,Gonçalo Ramos,opta_new_449980,False
opta,184254,Guglielmo Vicario,opta_new_184254,False
opta,449896,Gustav Isaksen,449896,True
opta,561812,Gustavo Varela,opta_new_561812,False
opta,561003,Gvidas Gineitis,561003,True
opta,111732,Hakan Çalhanoglu,111732,True
opta,157668,Harry Winks,opta_new_157668,False
opta,171099,Hassane Kamara,171099,True
opta,670530,Hjalte Lærke,opta_new_670530,False
opta,588753,Ibrahim Sulemana,588753,True
opta,632811,Idrissa Gueye,632811,True
opta,499207,Ilario Monterisi,opta_new_499207,False
opta,492199,Ilias Koutsoupias,opta_new_492199,False
opta,510565,Ivan Smolcic,510565,True
opta,572156,Ivan Sulev,572156,True
opta,592991,Jacobo Ramón,592991,True
opta,550095,Jacopo Fazzini,550095,True
opta,219155,Jakub Piotrowski,219155,True
opta,669929,Jamal Iddrissou,opta_new_669929,False
opta,491266,James Abankwah,opta_new_491266,False
opta,514410,Jamil Siebert,514410,True
opta,609659,Jan Ziólkowski,609659,True
opta,449722,Jay Idzes,449722,True
opta,495024,Jay Robinson,opta_new_495024,False
opta,201559,Jean Butez,201559,True
opta,219117,Jens Odgaard,219117,True
opta,160602,Jesper Karlström,160602,True
opta,638374,Jesús Rodríguez,638374,True
opta,217532,Jhon Lucumí,217532,True
opta,431026,Johan Vásquez,431026,True
opta,97299,John Stones,opta_new_97299,False
opta,241243,John Yeboah,opta_new_241243,False
opta,421821,Jonathan David,421821,True
opta,483365,Jonathan Rowe,opta_new_483365,False
opta,231188,Josep Martínez,231188,True
opta,618927,Joseph Liteta,618927,True
opta,487997,Josh Doig,487997,True
opta,437860,João Mário,437860,True
opta,585392,Joël Schingtienne,opta_new_585392,False
opta,614790,Juan Arizala,614790,True
opta,486797,Juan Cabal,486797,True
opta,433530,Juan Miranda,433530,True
opta,617160,Juan Rodríguez,617160,True
opta,432070,Junior Messias,432070,True
opta,220238,Jurgen Ekkelenkamp,220238,True
opta,184933,Justin Bijlow,184933,True
opta,135365,Jérémie Boga,opta_new_135365,False
opta,535554,Kaiki,opta_new_535554,False
opta,547103,Kenan Yildiz,547103,True
opta,441278,Kenneth Taylor,441278,True
opta,593271,Kerim Alajbegovic,opta_new_593271,False
opta,120002,Kevin Akpoguma,opta_new_120002,False
opta,509201,Kevin Carlos,opta_new_509201,False
opta,61366,Kevin De Bruyne,61366,True
opta,242887,Khéphren Thuram,242887,True
opta,520242,Kialonda Gaspar,520242,True
opta,492771,Kian Fitz-Jim,opta_new_492771,False
opta,470692,Kieron Bowie,470692,True
opta,241865,Kike Pérez,opta_new_241865,False
opta,612704,Kingstone Mutandwa,opta_new_612704,False
opta,477240,Konan N’Dri,477240,True
opta,248881,Koni De Winter,248881,True
opta,570164,Konstantinos Koulierakis,opta_new_570164,False
opta,639018,Kornel Lisman,opta_new_639018,False
opta,445043,Kristian Thorstvedt,445043,True
opta,617693,Lamine Fanne,opta_new_617693,False
opta,215047,Lassana Coulibaly,215047,True
opta,209737,Lautaro Martínez,209737,True
opta,462487,Lautaro Valenti,462487,True
opta,477529,Lazar Samardzic,477529,True
opta,568793,Lennon Miller,568793,True
opta,462026,Leo Østigård,462026,True
opta,631126,Leonardo Bovio,opta_new_631126,False
opta,84161,Leonardo Spinazzola,84161,True
opta,439492,Lewis Ferguson,439492,True
opta,428364,Lion Lauberbach,opta_new_428364,False
opta,235530,Lloyd Kelly,235530,True
opta,508878,Lorenzo Bernasconi,508878,True
opta,450025,Lorenzo Colombo,450025,True
opta,21125,Lorenzo De Silvestri,21125,True
opta,469130,Lorenzo Lucca,469130,True
opta,629287,Lorenzo Lucchesi,opta_new_629287,False
opta,547908,Lorenzo Palmisani,opta_new_547908,False
opta,578990,Luca Lipani,578990,True
opta,215983,Luca Ranieri,215983,True
opta,465158,Lucas da Cunha,465158,True
opta,550269,Luis Hasa,550269,True
opta,478270,Luis Henrique,478270,True
opta,167742,Luis Milla,opta_new_167742,False
opta,37055,Luka Modric,37055,True
opta,85288,Lukasz Skorupski,85288,True
opta,492443,Maduka Okoye,492443,True
opta,656992,Mamedi Doucouré,656992,True
opta,534913,Mandela Keita,534913,True
opta,640813,Manga Foe Ondoa,opta_new_640813,False
opta,475767,Manu Koné,475767,True
opta,211975,Manuel Akanji,211975,True
opta,156323,Manuel Lazzari,156323,True
opta,171387,Manuel Locatelli,171387,True
opta,120670,Marc Oliver Kempf,120670,True
opta,458059,Marco Brescianini,458059,True
opta,462537,Marco Carnesecchi,462537,True
opta,650842,Marco Libra,opta_new_650842,False
opta,450444,Marcus Pedersen,450444,True
opta,205880,Marcus Thuram,205880,True
opta,626942,Mariano Troilo,626942,True
opta,421634,Marin Pongracic,421634,True
opta,466064,Mario Gila,466064,True
opta,213431,Mario Hermoso,213431,True
opta,474900,Mario Mitaj,opta_new_474900,False
opta,164570,Mario Pasalic,164570,True
opta,549738,Marko Farji,opta_new_549738,False
opta,82428,Marten de Roon,82428,True
opta,522476,Martin Baturina,522476,True
opta,485066,Martin Vitík,485066,True
opta,524463,Mateo Pellegrino,524463,True
opta,598561,Mathis Mout,opta_new_598561,False
opta,214966,Mathías Olivera,214966,True
opta,521472,Matija Frigan,opta_new_521472,False
opta,466149,Matteo Cancellieri,466149,True
opta,576530,Matteo Cichella,opta_new_576530,False
opta,628209,Matteo Dagasso,opta_new_628209,False
opta,215979,Matteo Gabbia,215979,True
opta,647151,Matteo Palma,647151,True
opta,153776,Matteo Politano,153776,True
opta,588222,Matteo Prati,588222,True
opta,476933,Mattia Felici,476933,True
opta,577694,Mattia Liberali,opta_new_577694,False
opta,667790,Mattia Pellini,667790,True
opta,157008,Mattia Zaccagni,157008,True
opta,511505,Matías Soulé,511505,True
opta,219296,Maxence Caqueret,219296,True
opta,449470,Michel Adopo,449470,True
opta,488006,Mikael Ellertsson,488006,True
opta,129487,Mike Maignan,129487,True
opta,625459,Mikel Amondarain,opta_new_625459,False
opta,228531,Mile Svilar,228531,True
opta,242058,Moise Kean,242058,True
opta,445733,Morten Frendrup,445733,True
opta,482769,Máximo Perrone,482769,True
opta,212667,Mërgim Vojvoda,212667,True
opta,489209,Nadir Zortea,489209,True
opta,221586,Nahuel Molina,opta_new_221586,False
opta,545286,Neil El Aynaoui,545286,True
opta,62398,Nemanja Matic,62398,True
opta,617559,Nesta Elphege,617559,True
opta,602122,Niccolò Fortini,602122,True
opta,614866,Niccolò Pisilli,614866,True
opta,221800,Nicholas Pierini,221800,True
opta,231004,Nico González,opta_new_231004,False
opta,551493,Nico Paz,551493,True
opta,466147,Nicola Zalewski,466147,True
opta,516018,Nicolas Galazzi,opta_new_516018,False
opta,171384,Nicolò Barella,171384,True
opta,539223,Nicolò Bertola,539223,True
opta,483264,Nicolò Cambiaghi,483264,True
opta,549167,Nicolò Cavuoti,549167,True
opta,226270,Nicolò Fagioli,226270,True
opta,450024,Nicolò Rovella,450024,True
opta,245414,Nicolò Zaniolo,245414,True
opta,233723,Nikola Krstovic,233723,True
opta,218373,Nikola Moro,218373,True
opta,509685,Nikola Stulic,509685,True
opta,180151,Nikola Vlasic,180151,True
opta,421002,Noa Lang,421002,True
opta,437626,Nuno Tavares,437626,True
opta,208540,Odilon Kossounou,208540,True
opta,245018,Oier Zarraga,245018,True
opta,551214,Olaf Gorter,551214,True
opta,497891,Oliver Provstgaard,497891,True
opta,494784,Oliver Sørensen,494784,True
opta,487828,Omari Forson,opta_new_487828,False
opta,491445,Omri Gandelman,491445,True
opta,566980,Oumar Ngom,566980,True
opta,432649,Oumar Solet,432649,True
opta,633419,Ousmane Diallo,opta_new_633419,False
opta,543215,Oussama El Azzouzi,opta_new_543215,False
opta,598675,Paco Esteban,opta_new_598675,False
opta,209353,Patrick Cutrone,209353,True
opta,588203,Patrick Nuamah,opta_new_588203,False
opta,588118,Patrizio Masini,588118,True
opta,687995,Paul Mendy,687995,True
opta,120638,Paulo Dybala,120638,True
opta,204214,Pervis Estupiñán,204214,True
opta,530193,Petar Ratkov,530193,True
opta,581229,Petar Sucic,581229,True
opta,466041,Pierre Kalulu,466041,True
opta,628413,Pietro Comuzzo,628413,True
opta,126440,Piotr Zielinski,126440,True
opta,248755,Pontus Almqvist,248755,True
opta,625908,Rachid Kouda,opta_new_625908,False
opta,493125,Radu Dragusin,opta_new_493125,False
opta,488040,Rafa Marín,opta_new_488040,False
opta,500047,Rafa Obrador,500047,True
opta,562061,Rahim Alhassane,562061,True
opta,247693,Randal Kolo Muani,opta_new_247693,False
opta,209330,Raoul Bellanova,209330,True
opta,587803,Raphael Kofler,opta_new_587803,False
opta,497894,Rasmus Højlund,497894,True
opta,585579,Reda Belahyane,585579,True
opta,552173,Redouane Halhal,opta_new_552173,False
opta,620509,Relja Obric,620509,True
opta,681438,Ricardo Bordon,opta_new_681438,False
opta,176490,Ricardo Mangas,opta_new_176490,False
opta,679547,Riccardo Cassano,679547,True
opta,515593,Riccardo Ciervo,opta_new_515593,False
opta,223966,Riccardo Orsolini,223966,True
opta,513537,Richie Sagrado,opta_new_513537,False
opta,148435,Ridgeciano Haps,opta_new_148435,False
opta,226267,Roberto Piccoli,226267,True
opta,631000,Robinio Vaz,opta_new_631000,False
opta,593207,Rodrigo Mora,opta_new_593207,False
opta,182514,Rolando Mandragora,182514,True
opta,556998,Romano Floriani Mussolini,556998,True
opta,228564,Romano Schmid,opta_new_228564,False
opta,126187,Ruben Loftus-Cheek,126187,True
opta,570983,Saba Goglichidze,570983,True
opta,546761,Sadik Fofana,546761,True
opta,433521,Sam Beukema,433521,True
opta,218328,Samuel Chukwueze,218328,True
opta,613692,Samuel Wiafe,opta_new_613692,False
opta,241711,Samuele Birindelli,opta_new_241711,False
opta,450023,Samuele Ricci,450023,True
opta,191794,Sandi Lovric,191794,True
opta,235740,Sandro Kulenovic,235740,True
opta,662133,Sankhoun Diawara,opta_new_662133,False
opta,536690,Santiago Castro,536690,True
opta,482466,Santiago Pierotti,482466,True
