source,name,native_id,master_team
opta,Adrien Rabiot,120743,Marseille
opta,Akor Adams,484640,Sevilla
opta,Alfonso Pedraza,208380,Villarreal
opta,Andy Diouf,503696,Lens
opta,Arthur Theate,465189,Eintracht Frankfurt
opta,Benjamin Pavard,202675,Marseille
opta,Curtis Jones,206915,Liverpool
opta,Danilho Doekhi,216257,Union Berlin
opta,Darryl Bakola,634416,Marseille
opta,Diego Moreira,491011,Strasbourg
opta,Djibril Sow,185524,Sevilla
opta,Douglas Luiz,230046,Aston Villa
opta,Edon Zhegrova,431128,Lille
opta,Eray Cömert,220327,Valencia
opta,Franco Mastantuono,576550,Real Madrid
opta,Giacomo Raspadori,446969,Atletico Madrid
opta,Gonçalo Ramos,449980,Paris Saint-Germain
opta,Guglielmo Vicario,184254,Tottenham
opta,John Stones,97299,Manchester City
opta,Jonathan Rowe,483365,Marseille
opta,Jérémie Boga,135365,Nice
opta,Kevin Akpoguma,120002,Hoffenheim
opta,Kevin Carlos,509201,Nice
opta,Leonardo Balerdi,446682,Marseille
opta,Luis Milla,167742,Getafe
opta,Nahuel Molina,221586,Atletico Madrid
opta,Nico González,231004,Atletico Madrid
opta,Oussama El Azzouzi,543215,Auxerre
opta,Radu Dragusin,493125,Tottenham
opta,Rafa Marín,488040,Villarreal
opta,Randal Kolo Muani,247693,Tottenham
opta,Robinio Vaz,631000,Marseille
opta,Romano Schmid,228564,Bremen
opta,Thierry Correia,222629,Valencia
opta,Trevoh Chalobah,180736,Chelsea
opta,Unai Gómez,619506,Athletic Club
opta,Valde,669473,Real Madrid
opta,Willem Geubbels,242894,Paris FC
opta,Willy Kambwala,518466,Villarreal
opta,Yan Couto,468236,Borussia Dortmund
whoscored,Nico González,345322,Atletico Madrid
whoscored,Andy Diouf,415415,Lens
whoscored,Luis Milla,279320,Getafe
whoscored,Trevoh Chalobah,353292,Chelsea
whoscored,Douglas Luiz,337883,Aston Villa
whoscored,Guglielmo Vicario,147863,Tottenham
whoscored,Benjamin Pavard,259648,Marseille
whoscored,Adrien Rabiot,116609,Marseille
whoscored,Giacomo Raspadori,371497,Atletico Madrid
whoscored,Darryl Bakola,525813,Marseille
whoscored,Gonçalo Ramos,395802,Paris Saint-Germain
whoscored,Danilho Doekhi,303076,Union Berlin
whoscored,Rafa Marín,430301,Villarreal
whoscored,John Stones,101374,Manchester City
whoscored,Eray Cömert,301034,Valencia
whoscored,Nahuel Molina,303728,Atletico Madrid
whoscored,Unai Gómez,480619,Athletic Club
whoscored,Akor Adams,408616,Sevilla
whoscored,Yan Couto,421975,Borussia Dortmund
whoscored,Randal Kolo Muani,333542,Tottenham
whoscored,Jérémie Boga,280766,Nice
whoscored,Alfonso Pedraza,276489,Villarreal
whoscored,Valde,555515,Real Madrid
whoscored,Oussama El Azzouzi,443980,Auxerre
whoscored,Romano Schmid,383847,Bremen
whoscored,Djibril Sow,317630,Sevilla
whoscored,Thierry Correia,367180,Valencia
whoscored,Radu Dragusin,400097,Tottenham
whoscored,Curtis Jones,355354,Liverpool
whoscored,Franco Mastantuono,514810,Real Madrid
whoscored,Kevin Carlos,400295,Nice
whoscored,Willem Geubbels,345987,Paris FC
fotmob,Nahuel Molina,726345,Atletico Madrid
fotmob,Radu Dragusin,1203661,Tottenham
fotmob,Franco Mastantuono,1607566,Real Madrid
fotmob,Robinio Vaz,1705134,Marseille
fotmob,Giacomo Raspadori,951743,Atletico Madrid
fotmob,Darryl Bakola,1641041,Marseille
fotmob,Alfonso Pedraza,629594,Villarreal
fotmob,Danilho Doekhi,724196,Union Berlin
fotmob,Jonathan Rowe,1113694,Marseille
fotmob,Oussama El Azzouzi,1283469,Auxerre
fotmob,Kevin Akpoguma,353519,Hoffenheim
fotmob,Guglielmo Vicario,538501,Tottenham
fotmob,Jérémie Boga,643229,Nice
fotmob,Romano Schmid,749488,Bremen
fotmob,Douglas Luiz,787350,Aston Villa
fotmob,Randal Kolo Muani,823825,Tottenham
fotmob,Edon Zhegrova,862616,Lille
fotmob,Djibril Sow,707970,Sevilla
fotmob,Rafa Marín,1313884,Villarreal
fotmob,John Stones,263653,Manchester City
fotmob,Benjamin Pavard,611223,Marseille
fotmob,Andy Diouf,1254297,Lens
fotmob,Kevin Carlos,1166344,Nice
fotmob,Adrien Rabiot,352879,Marseille
fotmob,Gonçalo Ramos,940087,Paris Saint-Germain
fotmob,Diego Moreira,1342754,Strasbourg
fotmob,Luis Milla,638090,Getafe
fotmob,Trevoh Chalobah,793907,Chelsea
fotmob,Yan Couto,1109171,Borussia Dortmund
fotmob,Unai Gómez,1436270,Athletic Club
fotmob,Willem Geubbels,883824,Paris FC
fotmob,Akor Adams,958640,Sevilla
fotmob,Thierry Correia,992052,Valencia
fotmob,Arthur Theate,1173250,Eintracht Frankfurt
fotmob,Curtis Jones,933768,Liverpool
fotmob,Leonardo Balerdi,958464,Marseille
fotmob,Willy Kambwala,1344550,Villarreal
fotmob,Eray Cömert,705484,Valencia
