name,team,opta_id
Antonio Sivera,Alaves,176245.0
Augusto Batalla,Rayo Vallecano,173209.0
Dani Cárdenas,Rayo Vallecano,491436.0
David Soria,Getafe,175204.0
Ionut Radu,Celta Vigo,215531.0
Jan Oblak,Atletico Madrid,81352.0
Joan García,Barcelona,449928.0
Julen Agirrezabala,Valencia,470508.0
Leo Román,Mallorca,500755.0
Luiz Júnior,Villarreal,514664.0
Marko Dmitrovic,Espanyol,94618.0
Mathew Ryan,Levante,131897.0
Matías Dituro,Elche,98448.0
Odysseas Vlachodimos,Sevilla,111452.0
Sergio Herrera,Osasuna,138039.0
Stole Dimitrievski,Valencia,94878.0
Thibaut Courtois,Real Madrid,60772.0
Unai Simón,Athletic Club,212769.0
Álex Remiro,Real Sociedad,197316.0
Álvaro Valles,Real Betis,472194.0
