canonical_id,name,team,status,opta_id,whoscored_id,fotmob_id
516211,Abdallah Sima,Lens,existing,516211.0,404201.0,1189856.0
619501,Abdelhamid Aït Boudlal,Rennes,existing,619501.0,539085.0,1581722.0
475344,Abner Vinícius,Lyon,existing,475344.0,379228.0,1060604.0
634263,Aboubakar Nagida,Rennes,existing,634263.0,502951.0,
223760,Achraf Hakimi,Paris Saint-Germain,existing,223760.0,320834.0,770881.0
624926,Adama Camara,Paris FC,existing,624926.0,511559.0,1513317.0
115961,Adrien Thomasson,Lens,existing,115961.0,113747.0,317062.0
154043,Ainsley Maitland-Niles,Lyon,existing,154043.0,,604089.0
250182,Aiyegun Tosin,Lorient,existing,250182.0,405227.0,841395.0
161950,Aleksandr Golovin,Monaco,existing,161950.0,244560.0,586388.0
616227,Alexis Vossah,Toulouse,existing,616227.0,574367.0,1791727.0
512253,Alexsandro Ribeiro,Lille,existing,512253.0,438897.0,1186553.0
218244,Amadou Haidara,Lens,existing,218244.0,298837.0,688830.0
247400,Amine Gouiri,Marseille,existing,247400.0,348654.0,844437.0
229608,Amine Harit,Marseille,existing,229608.0,322668.0,780815.0
532112,Amine Sbaï,Angers,existing,532112.0,467223.0,1242587.0
466404,Andrew Omobamidele,Strasbourg,existing,466404.0,399490.0,1050822.0
622024,Andrija Bulatovic,Lens,existing,622024.0,538927.0,1634789.0
209041,Angel Gomes,Marseille,existing,209041.0,338497.0,848667.0
634346,Anthony Bermont,Lens,existing,634346.0,514544.0,1573544.0
59957,Anthony Lopes,Nantes,existing,59957.0,71833.0,167035.0
489887,Anthony Rouault,Rennes,existing,489887.0,,1079554.0
538452,Antoine Mendy,Nice,existing,538452.0,415277.0,1254147.0
422215,Arnaud Bodart,Lille,existing,,,841705.0
235050,Arnaud Nordin,Rennes,existing,235050.0,328288.0,770340.0
651819,Arsène Kouassi,Lorient,existing,651819.0,556058.0,1640832.0
606371,Arthur Avom,Lorient,existing,606371.0,468190.0,1565010.0
548831,Axel Camblan,Brest,existing,548831.0,423356.0,1289641.0
41189,Axel Witsel,Girona,existing,41189.0,25191.0,39591.0
219268,Ayumu Seko,Le Havre,existing,219268.0,457079.0,857120.0
465681,Bandiougou Fadiga,Lorient,existing,465681.0,,1184013.0
737638,Bané Diatta,Angers,existing,737638.0,619609.0,1958964.0
55948,Benjamin André,Lille,existing,55948.0,43415.0,148830.0
534317,Beraldo,Paris Saint-Germain,existing,534317.0,440085.0,1255209.0
424992,Berke Özer,Lille,existing,424992.0,361843.0,815912.0
437670,Billal Brahimi,Nice,existing,437670.0,,961770.0
194188,Bingourou Kamara,Lorient,existing,,,564571.0
619372,Brad-Hamilton Mantsounga,Nice,existing,619372.0,,1842657.0
546635,Bradley Locko,Brest,existing,546635.0,422187.0,1285784.0
174969,Branco van den Boomen,Angers,existing,174969.0,139299.0,505059.0
102836,Brice Samba,Rennes,existing,102836.0,105198.0,279714.0
432711,CJ Egan-Riley,Marseille,existing,432711.0,425574.0,1187227.0
180182,Calvin Verdonk,Lille,existing,180182.0,271086.0,622137.0
209171,Carlens Arcus,Angers,existing,209171.0,313385.0,634110.0
492373,Charlie Cresswell,Toulouse,existing,492373.0,400646.0,1186444.0
578500,Christian Mawissa,Monaco,existing,578500.0,,1406428.0
189781,Clinton Mata,Lyon,existing,189781.0,364214.0,266105.0
584863,Clément Akpa,Auxerre,existing,584863.0,511380.0,1388678.0
168568,Corentin Tolisso,Lyon,existing,168568.0,134894.0,473852.0
446090,Cristian Cásseres,Toulouse,existing,446090.0,360502.0,845943.0
725822,Daniel Semedo,Lorient,existing,725822.0,,1882686.0
209049,Danny Namaso,Auxerre,existing,209049.0,342857.0,817724.0
664882,Daren Mosengo,Le Havre,existing,664882.0,,1667649.0
212701,Denis Zakaria,Monaco,existing,212701.0,252419.0,598355.0
228760,Derek Cornelius,Marseille,existing,228760.0,371029.0,847629.0
544821,Dermane Karim,Lorient,existing,544821.0,438297.0,1276315.0
550090,Diego Coppola,Paris FC,existing,550090.0,429683.0,1321562.0
476887,Dilane Bakwa,Strasbourg,existing,476887.0,402130.0,1079539.0
658332,Djibril Coulibaly,Nice,existing,658332.0,549160.0,1763598.0
102747,Djibril Sidibé,Toulouse,existing,102747.0,10454.0,242156.0
212873,Dominik Greif,Lyon,existing,212873.0,383094.0,651910.0
570810,Désiré Doué,Paris Saint-Germain,existing,570810.0,433183.0,1339208.0
697407,Elikya Legros,Auxerre,existing,697407.0,577894.0,1690114.0
477724,Elye Wahi,Nice,existing,477724.0,407661.0,1213430.0
692877,Elías Legendre,Rennes,existing,692877.0,,1858591.0
109533,Emerson,Marseille,existing,109533.0,101955.0,267371.0
606929,Emmanuel Biumla,Angers,existing,606929.0,,1428420.0
