source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1300329,Calvin Brackelmann,FC Augsburg,fc augsburg,augsburg,new_2026_0
opta,585070,Calvin Brackelmann,Augsburg,augsburg,augsburg,new_2026_0
whoscored,445983,Calvin Brackelmann,Augsburg,augsburg,augsburg,new_2026_0
fotmob,1161211,Fabian Rieder,FC Augsburg,fc augsburg,augsburg,new_2026_1
opta,449787,Fabian Rieder,Augsburg,augsburg,augsburg,new_2026_1
whoscored,404193,Fabian Rieder,Augsburg,augsburg,augsburg,new_2026_1
fotmob,1479742,Joane Gadou,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_10
opta,592891,Joane Gadou,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_10
whoscored,513664,Joane Gadou,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_10
fotmob,658444,Tom Baack,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_100
whoscored,306961,Tom Baack,Paderborn,paderborn,paderborn,new_2026_100
fotmob,1701615,Clemens Lippmann,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_101
whoscored,625161,Clemens Lippmann,Paderborn,paderborn,paderborn,new_2026_101
fotmob,659046,Markus Schubert,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_102
fotmob,950822,Oliver Batista Meier,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_103
fotmob,1580112,Deniz Zeitler,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_104
fotmob,1801952,Niklas Mohr,SC Paderborn 07,sc paderborn 07,paderborn,new_2026_105
fotmob,1387389,Arthur Vermeeren,RB Leipzig,rb leipzig,rb leipzig,new_2026_106
opta,578612,Arthur Vermeeren,RB Leipzig,rb leipzig,rb leipzig,new_2026_106
whoscored,445430,Arthur Vermeeren,RB Leipzig,rb leipzig,rb leipzig,new_2026_106
fotmob,1430151,Brajan Gruda,RB Leipzig,rb leipzig,rb leipzig,new_2026_107
opta,513433,Brajan Gruda,RB Leipzig,rb leipzig,rb leipzig,new_2026_107
whoscored,471784,Brajan Gruda,RB Leipzig,rb leipzig,rb leipzig,new_2026_107
fotmob,704523,Christopher Nkunku,RB Leipzig,rb leipzig,rb leipzig,new_2026_108
opta,213198,Christopher Nkunku,RB Leipzig,rb leipzig,rb leipzig,new_2026_108
whoscored,300945,Christopher Nkunku,RB Leipzig,rb leipzig,rb leipzig,new_2026_108
fotmob,287894,Loris Karius,FC Schalke 04,fc schalke 04,schalke 04,new_2026_109
whoscored,107176,Loris Karius,Schalke 04,schalke 04,schalke 04,new_2026_109
fotmob,792429,Joey Veerman,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_11
opta,231653,Joey Veerman,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_11
whoscored,382556,Joey Veerman,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_11
fotmob,725655,Nikola Katic,FC Schalke 04,fc schalke 04,schalke 04,new_2026_110
whoscored,363666,Nikola Katic,Schalke 04,schalke 04,schalke 04,new_2026_110
fotmob,1249185,Soufian El-Faouzi,FC Schalke 04,fc schalke 04,schalke 04,new_2026_111
whoscored,414038,Soufiane El-Faouzi,Schalke 04,schalke 04,schalke 04,new_2026_111
fotmob,1047664,Adil Aouchiche,FC Schalke 04,fc schalke 04,schalke 04,new_2026_112
whoscored,382491,Adil Aouchiche,Schalke 04,schalke 04,schalke 04,new_2026_112
fotmob,794619,Hasan Kuruçay,FC Schalke 04,fc schalke 04,schalke 04,new_2026_113
whoscored,435993,Hasan Kuruçay,Schalke 04,schalke 04,schalke 04,new_2026_113
fotmob,1659420,Vitalie Becker,FC Schalke 04,fc schalke 04,schalke 04,new_2026_114
whoscored,531850,Vitalie Becker,Schalke 04,schalke 04,schalke 04,new_2026_114
fotmob,861668,Dejan Ljubicic,FC Schalke 04,fc schalke 04,schalke 04,new_2026_115
whoscored,363662,Dejan Ljubicic,Schalke 04,schalke 04,schalke 04,new_2026_115
fotmob,860056,Moussa Sylla,FC Schalke 04,fc schalke 04,schalke 04,new_2026_116
whoscored,344041,Moussa Sylla,Schalke 04,schalke 04,schalke 04,new_2026_116
fotmob,785739,Timo Becker,FC Schalke 04,fc schalke 04,schalke 04,new_2026_117
whoscored,323169,Timo Becker,Schalke 04,schalke 04,schalke 04,new_2026_117
fotmob,1755657,Mertcan Ayhan,FC Schalke 04,fc schalke 04,schalke 04,new_2026_118
whoscored,560433,Mertcan Ayhan,Schalke 04,schalke 04,schalke 04,new_2026_118
fotmob,518346,Robin Gosens,FC Schalke 04,fc schalke 04,schalke 04,new_2026_119
whoscored,141726,Robin Gosens,Schalke 04,schalke 04,schalke 04,new_2026_119
fotmob,1750565,Kauã Prates,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_12
opta,685487,Kauã Prates,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_12
whoscored,551822,Kauã Prates,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_12
whoscored,372927,Junior Dina Ebimbe,Schalke 04,schalke 04,schalke 04,new_2026_120
fotmob,15403,Edin Dzeko,FC Schalke 04,fc schalke 04,schalke 04,new_2026_121
whoscored,24845,Edin Dzeko,Schalke 04,schalke 04,schalke 04,new_2026_121
fotmob,820974,Ron Schallenberg,FC Schalke 04,fc schalke 04,schalke 04,new_2026_122
whoscored,401089,Ron Schallenberg,Schalke 04,schalke 04,schalke 04,new_2026_122
fotmob,560976,Janik Bachmann,FC Schalke 04,fc schalke 04,schalke 04,new_2026_123
fotmob,1155066,Satoshi Tanaka,FC Schalke 04,fc schalke 04,schalke 04,new_2026_124
fotmob,1842512,Luca Vozar,FC Schalke 04,fc schalke 04,schalke 04,new_2026_125
fotmob,1388070,Badredine Bouanani,VfB Stuttgart,vfb stuttgart,stuttgart,new_2026_126
opta,492949,Badredine Bouanani,Stuttgart,stuttgart,stuttgart,new_2026_126
opta,179612,Fabian Bredlow,Stuttgart,stuttgart,stuttgart,new_2026_127
whoscored,142529,Fabian Bredlow,VfB Stuttgart,vfb stuttgart,stuttgart,new_2026_127
fotmob,659086,Marius Funk,VfB Stuttgart,vfb stuttgart,stuttgart,new_2026_128
fotmob,783585,Emmanuel Latte Lath,1. FC Union Berlin,1 fc union berlin,union berlin,new_2026_129
opta,233581,Emmanuel Latte Lath,Union Berlin,union berlin,union berlin,new_2026_129
whoscored,323242,Emmanuel Latte Lath,Union Berlin,union berlin,union berlin,new_2026_129
fotmob,1536436,Konstantinos Karetsas,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_13
opta,609068,Konstantinos Karetsas,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_13
whoscored,471855,Konstantinos Karetsas,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_13
fotmob,767800,Felix Uduokhai,1. FC Union Berlin,1 fc union berlin,union berlin,new_2026_130
opta,221693,Felix Uduokhai,Union Berlin,union berlin,union berlin,new_2026_130
fotmob,1231677,Zeno Van Den Bosch,1. FC Union Berlin,1 fc union berlin,union berlin,new_2026_131
opta,531858,Zeno Van den Bosch,Union Berlin,union berlin,union berlin,new_2026_131
whoscored,410525,Zeno Van den Bosch,Union Berlin,union berlin,union berlin,new_2026_131
whoscored,536128,Filippo Mane,Borussia Dortmund,borussia dortmund,borussia dortmund,new_2026_14
whoscored,454351,David Herold,Borussia M.Gladbach,borussia mgladbach,borussia mgladbach,new_2026_15
whoscored,643385,Mathieu Nguefack,Borussia M.Gladbach,borussia mgladbach,borussia mgladbach,new_2026_16
whoscored,369525,Ko Itakura,Borussia M.Gladbach,borussia mgladbach,borussia mgladbach,new_2026_17
whoscored,411101,Daiki Hashioka,Borussia M.Gladbach,borussia mgladbach,borussia mgladbach,new_2026_18
whoscored,284451,Isac Lidberg,Borussia M.Gladbach,borussia mgladbach,borussia mgladbach,new_2026_19
fotmob,1049799,Nathanaël Mbuku,FC Augsburg,fc augsburg,augsburg,new_2026_2
opta,476892,Nathanaël Mbuku,Augsburg,augsburg,augsburg,new_2026_2
fotmob,878296,Daiki Hashioka,Borussia Mönchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_20
opta,209293,Daiki Hashioka,Borussia Monchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_20
fotmob,1356589,David Herold,Borussia Mönchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_21
opta,493326,David Herold,Borussia Monchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_21
fotmob,1301517,Enzo Leopold,Borussia Mönchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_22
opta,543919,Enzo Leopold,Borussia Monchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_22
fotmob,655095,Isac Lidberg,Borussia Mönchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_23
opta,193806,Isac Lidberg,Borussia Monchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_23
fotmob,1660228,Jan Leszczynski,Borussia Mönchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_24
opta,626569,Jan Leszczynski,Borussia Monchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_24
fotmob,620917,Ko Itakura,Borussia Mönchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_25
opta,210906,Ko Itakura,Borussia Monchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_25
fotmob,1975572,Mathieu Nguefack,Borussia Mönchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_26
opta,648805,Mathieu Nguefack,Borussia Monchengladbach,borussia monchengladbach,borussia monchengladbach,new_2026_26
fotmob,726956,Cedric Itten,SV Werder Bremen,sv werder bremen,bremen,new_2026_27
opta,198383,Cedric Itten,Bremen,bremen,bremen,new_2026_27
whoscored,312582,Cedric Itten,Werder Bremen,werder bremen,bremen,new_2026_27
fotmob,1315344,Chuki,SV Werder Bremen,sv werder bremen,bremen,new_2026_28
opta,587669,Chuki,Bremen,bremen,bremen,new_2026_28
whoscored,506115,Chuki,Werder Bremen,werder bremen,bremen,new_2026_28
fotmob,1276988,Dariusz Stalmach,SV Werder Bremen,sv werder bremen,bremen,new_2026_29
opta,545189,Dariusz Stalmach,Bremen,bremen,bremen,new_2026_29
whoscored,552277,Dariusz Stalmach,Werder Bremen,werder bremen,bremen,new_2026_29
opta,183364,Seol Young-Woo,Augsburg,augsburg,augsburg,new_2026_3
whoscored,477549,Seol Young-Woo,Augsburg,augsburg,augsburg,new_2026_3
fotmob,869326,Ludovit Reis,SV Werder Bremen,sv werder bremen,bremen,new_2026_30
opta,433051,Ludovit Reis,Bremen,bremen,bremen,new_2026_30
whoscored,343436,Ludovit Reis,Werder Bremen,werder bremen,bremen,new_2026_30
fotmob,276791,Niclas Füllkrug,SV Werder Bremen,sv werder bremen,bremen,new_2026_31
opta,91889,Niclas Füllkrug,Bremen,bremen,bremen,new_2026_31
whoscored,104058,Niclas Füllkrug,Werder Bremen,werder bremen,bremen,new_2026_31
fotmob,1810868,Paul Erevbenagie,SV Werder Bremen,sv werder bremen,bremen,new_2026_32
opta,627418,Paul Erevbenagie,Bremen,bremen,bremen,new_2026_32
fotmob,450739,Alexander Schlager,SV Werder Bremen,sv werder bremen,bremen,new_2026_33
fotmob,1671553,Jeremiaha Maluze,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_34
opta,700073,Jeremiaha Maluze,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_34
whoscored,568298,Jeremiaha Maluze,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_34
fotmob,1690128,Malik Pimpong,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_35
opta,687059,Malik Pimpong,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_35
whoscored,606459,Malik Pimpong,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_35
fotmob,1596359,Noël Aséko,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_36
opta,549875,Noël Aséko,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_36
fotmob,1738366,Otávio,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_37
opta,694362,Otávio,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_37
whoscored,557907,Otávio,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_37
fotmob,1126768,Raphael Onyedika,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_38
opta,503548,Raphael Onyedika,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_38
whoscored,425338,Raphael Onyedika,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_38
whoscored,605344,Keita Kosugi,Eintracht Frankfurt,eintracht frankfurt,eintracht frankfurt,new_2026_39
fotmob,1132818,Young-Woo Seol,FC Augsburg,fc augsburg,augsburg,new_2026_4
fotmob,1093782,Lukas Petkov,SV 07 Elversberg,sv 07 elversberg,elversberg,new_2026_40
whoscored,406672,Lukas Petkov,Elversberg,elversberg,elversberg,new_2026_40
fotmob,1603681,Francis Onyeka,SV 07 Elversberg,sv 07 elversberg,elversberg,new_2026_41
whoscored,514447,Francis Onyeka,Elversberg,elversberg,elversberg,new_2026_41
whoscored,549132,David Mokwa,Elversberg,elversberg,elversberg,new_2026_42
fotmob,458602,Jan Gyamerah,SV 07 Elversberg,sv 07 elversberg,elversberg,new_2026_43
whoscored,132011,Jan Gyamerah,Elversberg,elversberg,elversberg,new_2026_43
fotmob,1280560,Lukas Pinckert,SV 07 Elversberg,sv 07 elversberg,elversberg,new_2026_44
whoscored,446537,Lukas Pinckert,Elversberg,elversberg,elversberg,new_2026_44
fotmob,1245692,Lasse Günther,SV 07 Elversberg,sv 07 elversberg,elversberg,new_2026_45
whoscored,425057,Lasse Günther,Elversberg,elversberg,elversberg,new_2026_45
fotmob,1077911,Maximilian Rohr,SV 07 Elversberg,sv 07 elversberg,elversberg,new_2026_46
whoscored,419916,Maximilian Rohr,Elversberg,elversberg,elversberg,new_2026_46
fotmob,962113,Lukasz Poreba,SV 07 Elversberg,sv 07 elversberg,elversberg,new_2026_47
whoscored,424465,Lukasz Poreba,Elversberg,elversberg,elversberg,new_2026_47
fotmob,1285926,Nicolas Kristof,SV 07 Elversberg,sv 07 elversberg,elversberg,new_2026_48
whoscored,446532,Nicolas Kristof,Elversberg,elversberg,elversberg,new_2026_48
fotmob,1366338,Felix Keidel,SV 07 Elversberg,sv 07 elversberg,elversberg,new_2026_49
whoscored,438493,Felix Keidel,Elversberg,elversberg,elversberg,new_2026_49
fotmob,1367047,Afonso Moreira,Bayer 04 Leverkusen,bayer 04 leverkusen,bayer leverkusen,new_2026_5
opta,551191,Afonso Moreira,Bayer Leverkusen,bayer leverkusen,bayer leverkusen,new_2026_5
whoscored,478033,Afonso Moreira,Bayer Leverkusen,bayer leverkusen,bayer leverkusen,new_2026_5
