source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1175969,Hugo Novoa,Alavés,alaves,alaves,new_2026_0
opta,493055,Hugo Novoa,Alaves,alaves,alaves,new_2026_0
fotmob,1184663,Miguel Rodríguez,Alavés,alaves,alaves,new_2026_1
opta,494932,Miguel Rodríguez,Alaves,alaves,alaves,new_2026_1
whoscored,546572,Mikel Rodríguez,Deportivo Alaves,deportivo alaves,alaves,new_2026_1
fotmob,1355668,Álvaro Djaló,Athletic Club,athletic club,athletic club,new_2026_10
opta,588171,Álvaro Djaló,Athletic Club,athletic club,athletic club,new_2026_10
whoscored,444806,Álvaro Djaló,Athletic Club,athletic club,athletic club,new_2026_10
fotmob,1237455,Pablo Campos,Levante,levante,levante,new_2026_100
fotmob,2141143,Ihor Galdin,Levante,levante,levante,new_2026_101
fotmob,1108863,David Larrubia,Málaga,malaga,malaga,new_2026_102
whoscored,448303,David Larrubia,Malaga,malaga,malaga,new_2026_102
fotmob,1317624,Dani Lorenzo,Málaga,malaga,malaga,new_2026_103
whoscored,448294,Dani Lorenzo,Malaga,malaga,malaga,new_2026_103
fotmob,1717331,Rafita,Málaga,malaga,malaga,new_2026_104
whoscored,508349,Rafita,Malaga,malaga,malaga,new_2026_104
fotmob,1668274,Carlos Puga,Málaga,malaga,malaga,new_2026_105
whoscored,447938,Carlos Puga,Malaga,malaga,malaga,new_2026_105
fotmob,1209421,Carlos Dotor,Málaga,malaga,malaga,new_2026_106
whoscored,461527,Carlos Dotor,Malaga,malaga,malaga,new_2026_106
fotmob,516803,Einar Galilea,Málaga,malaga,malaga,new_2026_107
whoscored,141497,Einar Galilea,Malaga,malaga,malaga,new_2026_107
fotmob,1669622,Chupe,Málaga,malaga,malaga,new_2026_108
whoscored,541868,Chupe,Malaga,malaga,malaga,new_2026_108
fotmob,616538,Alfonso Herrero,Málaga,malaga,malaga,new_2026_109
whoscored,261509,Alfonso Herrero,Malaga,malaga,malaga,new_2026_109
fotmob,288406,Alejandro Grimaldo,Atlético de Madrid,atletico de madrid,atletico madrid,new_2026_11
opta,106004,Alejandro Grimaldo,Atletico Madrid,atletico madrid,atletico madrid,new_2026_11
whoscored,107252,Alejandro Grimaldo,Atletico Madrid,atletico madrid,atletico madrid,new_2026_11
fotmob,1669619,Izan Merino,Málaga,malaga,malaga,new_2026_110
whoscored,508035,Izan Merino,Malaga,malaga,malaga,new_2026_110
fotmob,951739,Joaquín Muñoz,Málaga,malaga,malaga,new_2026_111
whoscored,366204,Joaquín Muñoz,Malaga,malaga,malaga,new_2026_111
fotmob,1220748,Haitam Abaida,Málaga,malaga,malaga,new_2026_112
whoscored,448292,Haitam Abaida,Malaga,malaga,malaga,new_2026_112
whoscored,402092,José Salinas,Malaga,malaga,malaga,new_2026_113
fotmob,1260010,Ángel Recio,Málaga,malaga,malaga,new_2026_114
whoscored,511043,Ángel Recio,Malaga,malaga,malaga,new_2026_114
fotmob,1434474,Rafa Rodríguez,Málaga,malaga,malaga,new_2026_115
whoscored,471958,Rafa Rodríguez,Malaga,malaga,malaga,new_2026_115
fotmob,1098594,Julen Lobete,Málaga,malaga,malaga,new_2026_116
whoscored,391317,Julen Lobete,Malaga,malaga,malaga,new_2026_116
fotmob,722830,Eneko Jauregi,Málaga,malaga,malaga,new_2026_117
whoscored,463425,Eneko Jauregi,Malaga,malaga,malaga,new_2026_117
fotmob,940608,Juan Cruz,Málaga,malaga,malaga,new_2026_118
whoscored,357786,Juan Cruz,Malaga,malaga,malaga,new_2026_118
fotmob,1082957,Ramón Enríquez,Málaga,malaga,malaga,new_2026_119
whoscored,448289,Ramón Enríquez,Malaga,malaga,malaga,new_2026_119
fotmob,1297989,Arnau Ortiz,Atlético de Madrid,atletico de madrid,atletico madrid,new_2026_12
opta,552095,Arnau Ortiz,Atletico Madrid,atletico madrid,atletico madrid,new_2026_12
whoscored,444251,Arnau Ortiz,Atletico Madrid,atletico madrid,atletico madrid,new_2026_12
fotmob,1256463,Álex Pastor,Málaga,malaga,malaga,new_2026_120
fotmob,1426161,Carlos López,Málaga,malaga,malaga,new_2026_121
fotmob,1810991,Joseph Otu,Málaga,malaga,malaga,new_2026_122
fotmob,1839193,Juan Fernandez,Málaga,malaga,malaga,new_2026_123
fotmob,1752349,Asier Bonel,Osasuna,osasuna,osasuna,new_2026_124
opta,647953,Asier Bonel,Osasuna,osasuna,osasuna,new_2026_124
fotmob,1242139,Jonathan Dubasin,Osasuna,osasuna,osasuna,new_2026_125
opta,523079,Jonathan Dubasin,Osasuna,osasuna,osasuna,new_2026_125
whoscored,447853,Jonathan Dubasin,Osasuna,osasuna,osasuna,new_2026_125
fotmob,1603025,Rockson Yeboah,Osasuna,osasuna,osasuna,new_2026_126
opta,627127,Rockson Yeboah,Osasuna,osasuna,osasuna,new_2026_126
fotmob,1682298,Unai Santos,Osasuna,osasuna,osasuna,new_2026_127
opta,672686,Unai Santos,Osasuna,osasuna,osasuna,new_2026_127
fotmob,574624,Enrique Barja,Osasuna,osasuna,osasuna,new_2026_128
fotmob,1187734,Flavien Boyomo,Osasuna,osasuna,osasuna,new_2026_129
fotmob,789066,Cristian Romero,Atlético de Madrid,atletico de madrid,atletico madrid,new_2026_13
opta,221632,Cristian Romero,Atletico Madrid,atletico madrid,atletico madrid,new_2026_13
fotmob,1762938,Rafa Fernández,Osasuna,osasuna,osasuna,new_2026_130
whoscored,413758,Pablo Ramón,Racing Santander,racing santander,racing santander,new_2026_131
fotmob,889229,Iñigo Vicente,Racing de Santander,racing de santander,racing santander,new_2026_132
whoscored,402137,Iñigo Vicente,Racing Santander,racing santander,racing santander,new_2026_132
fotmob,1670161,Jorge Salinas,Racing de Santander,racing de santander,racing santander,new_2026_133
whoscored,541900,Jorge Salinas,Racing Santander,racing santander,racing santander,new_2026_133
fotmob,1791769,Sergio Martínez,Racing de Santander,racing de santander,racing santander,new_2026_134
whoscored,586240,Sergio Martínez,Racing Santander,racing santander,racing santander,new_2026_134
fotmob,1640985,Yassir Zabiri,Racing de Santander,racing de santander,racing santander,new_2026_135
whoscored,538158,Yassir Zabiri,Racing Santander,racing santander,racing santander,new_2026_135
whoscored,423973,Manu Hernando,Racing Santander,racing santander,racing santander,new_2026_136
fotmob,899195,Andrés Martin,Racing de Santander,racing de santander,racing santander,new_2026_137
whoscored,422961,Andrés Martín,Racing Santander,racing santander,racing santander,new_2026_137
fotmob,1331597,Gustavo Puerta,Racing de Santander,racing de santander,racing santander,new_2026_138
whoscored,472904,Gustavo Puerta,Racing Santander,racing santander,racing santander,new_2026_138
fotmob,150649,Sergio Canales,Racing de Santander,racing de santander,racing santander,new_2026_139
whoscored,44189,Sergio Canales,Racing Santander,racing santander,racing santander,new_2026_139
fotmob,1692877,Jorge Castillo,Atlético de Madrid,atletico de madrid,atletico madrid,new_2026_14
opta,593184,Jorge Castillo,Atletico Madrid,atletico madrid,atletico madrid,new_2026_14
fotmob,1199649,Álvaro Mantilla,Racing de Santander,racing de santander,racing santander,new_2026_140
whoscored,448397,Álvaro Mantilla,Racing Santander,racing santander,racing santander,new_2026_140
fotmob,1644302,Pedro Felipe,Racing de Santander,racing de santander,racing santander,new_2026_141
whoscored,478316,Pedro Felipe,Racing Santander,racing santander,racing santander,new_2026_141
fotmob,1212179,Facundo González,Racing de Santander,racing de santander,racing santander,new_2026_142
whoscored,444264,Facu González,Racing Santander,racing santander,racing santander,new_2026_142
fotmob,1363232,Maguette Gueye,Racing de Santander,racing de santander,racing santander,new_2026_143
whoscored,485481,Maguette Gueye,Racing Santander,racing santander,racing santander,new_2026_143
fotmob,670031,Asier Villalibre,Racing de Santander,racing de santander,racing santander,new_2026_144
whoscored,331171,Asier Villalibre,Racing Santander,racing santander,racing santander,new_2026_144
fotmob,1225417,Juan Carlos Arana,Racing de Santander,racing de santander,racing santander,new_2026_145
whoscored,431570,Juan Carlos Arana,Racing Santander,racing santander,racing santander,new_2026_145
fotmob,1396089,Matteo Prati,Racing de Santander,racing de santander,racing santander,new_2026_146
whoscored,447544,Matteo Prati,Racing Santander,racing santander,racing santander,new_2026_146
fotmob,1693550,Diego Díaz,Racing de Santander,racing de santander,racing santander,new_2026_147
whoscored,545956,Diego Díaz,Racing Santander,racing santander,racing santander,new_2026_147
fotmob,1065640,Giorgi Guliashvili,Racing de Santander,racing de santander,racing santander,new_2026_148
whoscored,460461,Giorgi Guliashvili,Racing Santander,racing santander,racing santander,new_2026_148
fotmob,730982,Hugo Pérez,Racing de Santander,racing de santander,racing santander,new_2026_149
fotmob,1842329,Jorge Domínguez,Atlético de Madrid,atletico de madrid,atletico madrid,new_2026_15
opta,710911,Jorge Domínguez,Atletico Madrid,atletico madrid,atletico madrid,new_2026_15
whoscored,641096,Jorge Domínguez,Atletico Madrid,atletico madrid,atletico madrid,new_2026_15
fotmob,863169,Manu,Racing de Santander,racing de santander,racing santander,new_2026_150
fotmob,1168852,Íñigo Sainz-Maza,Racing de Santander,racing de santander,racing santander,new_2026_151
fotmob,1441736,Simon Eriksson,Racing de Santander,racing de santander,racing santander,new_2026_152
fotmob,1553409,Jorge Castellanos,Racing de Santander,racing de santander,racing santander,new_2026_153
fotmob,1910947,Carlos Sanchez,Racing de Santander,racing de santander,racing santander,new_2026_154
fotmob,1938902,Andres Vallecillo,Racing de Santander,racing de santander,racing santander,new_2026_155
fotmob,2156233,Hugo Perez,Racing de Santander,racing de santander,racing santander,new_2026_156
opta,747880,Gnangoro,Rayo Vallecano,rayo vallecano,rayo vallecano,new_2026_157
