source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1668963,Federico Cassa,Atalanta,atalanta,atalanta,new_2026_0
opta,617164,Federico Cassa,Atalanta,atalanta,atalanta,new_2026_0
fotmob,951743,Giacomo Raspadori,Atalanta,atalanta,atalanta,new_2026_1
opta,446969,Giacomo Raspadori,Atalanta,atalanta,atalanta,new_2026_1
whoscored,371497,Giacomo Raspadori,Atalanta,atalanta,atalanta,new_2026_1
fotmob,1165232,Giuseppe Aurelio,Cagliari,cagliari,cagliari,new_2026_10
opta,508629,Giuseppe Aurelio,Cagliari,cagliari,cagliari,new_2026_10
whoscored,395932,Giuseppe Aurelio,Cagliari,cagliari,cagliari,new_2026_10
fotmob,352879,Adrien Rabiot,Milan,milan,milan,new_2026_100
opta,120743,Adrien Rabiot,AC Milan,ac milan,milan,new_2026_100
whoscored,116609,Adrien Rabiot,AC Milan,ac milan,milan,new_2026_100
fotmob,1445650,Alphadjo Cissè,Milan,milan,milan,new_2026_101
opta,578315,Alphadjo Cissè,AC Milan,ac milan,milan,new_2026_101
whoscored,475622,Alphadjo Cissè,AC Milan,ac milan,milan,new_2026_101
fotmob,1787535,Christian Comotto,Milan,milan,milan,new_2026_102
opta,631119,Christian Comotto,AC Milan,ac milan,milan,new_2026_102
fotmob,1342754,Diego Moreira,Milan,milan,milan,new_2026_103
opta,491011,Diego Moreira,AC Milan,ac milan,milan,new_2026_103
fotmob,940087,Gonçalo Ramos,Milan,milan,milan,new_2026_104
opta,449980,Gonçalo Ramos,AC Milan,ac milan,milan,new_2026_104
whoscored,395802,Gonçalo Ramos,AC Milan,ac milan,milan,new_2026_104
fotmob,1669433,Sankhoun Diawara,Milan,milan,milan,new_2026_105
opta,662133,Sankhoun Diawara,AC Milan,ac milan,milan,new_2026_105
fotmob,1642393,Lorenzo Torriani,Milan,milan,milan,new_2026_106
fotmob,2022740,Leo Paul Bouyer,Milan,milan,milan,new_2026_107
fotmob,1585676,Gustavo Varela,Monza,monza,monza,new_2026_108
whoscored,527501,Gustavo Varela,Monza,monza,monza,new_2026_108
fotmob,824655,Ricardo Mangas,Monza,monza,monza,new_2026_109
whoscored,389108,Ricardo Mangas,Monza,monza,monza,new_2026_109
fotmob,528453,Harry Winks,Cagliari,cagliari,cagliari,new_2026_11
opta,157668,Harry Winks,Cagliari,cagliari,cagliari,new_2026_11
whoscored,143990,Harry Winks,Cagliari,cagliari,cagliari,new_2026_11
fotmob,937462,Andrea Colpani,Monza,monza,monza,new_2026_110
whoscored,356733,Andrea Colpani,Monza,monza,monza,new_2026_110
fotmob,814284,Filippo Delli Carri,Monza,monza,monza,new_2026_111
whoscored,331063,Filippo Delli Carri,Monza,monza,monza,new_2026_111
fotmob,1425693,Adam Bakoune,Monza,monza,monza,new_2026_112
whoscored,468675,Adam Bakoune,Monza,monza,monza,new_2026_112
fotmob,1190023,Omari Forson,Monza,monza,monza,new_2026_113
whoscored,491385,Omari Forson,Monza,monza,monza,new_2026_113
whoscored,511708,Manga Foe Ondoa,Monza,monza,monza,new_2026_114
fotmob,1123969,Andrea Carboni,Monza,monza,monza,new_2026_115
whoscored,390493,Andrea Carboni,Monza,monza,monza,new_2026_115
fotmob,799497,Samuele Birindelli,Monza,monza,monza,new_2026_116
whoscored,328785,Samuele Birindelli,Monza,monza,monza,new_2026_116
fotmob,1524139,Lorenzo Lucchesi,Monza,monza,monza,new_2026_117
whoscored,497047,Lorenzo Lucchesi,Monza,monza,monza,new_2026_117
fotmob,1453338,Jay Robinson,Monza,monza,monza,new_2026_118
whoscored,538255,Jay Robinson,Monza,monza,monza,new_2026_118
fotmob,1879542,Mathis Mout,Monza,monza,monza,new_2026_119
whoscored,605289,Mathis Mout,Monza,monza,monza,new_2026_119
fotmob,1166344,Kevin Carlos,Cagliari,cagliari,cagliari,new_2026_12
opta,509201,Kevin Carlos,Cagliari,cagliari,cagliari,new_2026_12
whoscored,400295,Kevin Carlos,Cagliari,cagliari,cagliari,new_2026_12
fotmob,737339,Dany Mota,Monza,monza,monza,new_2026_120
whoscored,315287,Dany Mota,Monza,monza,monza,new_2026_120
fotmob,1189402,Nicolas Galazzi,Monza,monza,monza,new_2026_121
whoscored,423516,Nicolas Galazzi,Monza,monza,monza,new_2026_121
fotmob,955947,Demba Thiam,Monza,monza,monza,new_2026_122
whoscored,362543,Demba Thiam,Monza,monza,monza,new_2026_122
fotmob,917464,Semuel Pizzignacco,Monza,monza,monza,new_2026_123
whoscored,351408,Semuel Pizzignacco,Monza,monza,monza,new_2026_123
fotmob,899649,Valentin Antov,Monza,monza,monza,new_2026_124
fotmob,1577900,Foe Ondoa,Monza,monza,monza,new_2026_125
fotmob,1668173,Solomon Loubao,Monza,monza,monza,new_2026_126
fotmob,1804416,Aljaz Strajnar,Monza,monza,monza,new_2026_127
fotmob,2155256,Aleksandr Ballabio,Monza,monza,monza,new_2026_128
fotmob,1415623,Leonardo Colombo,Monza,monza,monza,new_2026_129
fotmob,1498718,Kingstone Mutandwa,Cagliari,cagliari,cagliari,new_2026_13
opta,612704,Kingstone Mutandwa,Cagliari,cagliari,cagliari,new_2026_13
whoscored,484359,Kingstone Mutandwa,Cagliari,cagliari,cagliari,new_2026_13
fotmob,1830782,Christian Garofalo,Napoli,napoli,napoli,new_2026_130
opta,577684,Christian Garofalo,Napoli,napoli,napoli,new_2026_130
fotmob,1403328,Costantino Favasuli,Napoli,napoli,napoli,new_2026_131
opta,587833,Costantino Favasuli,Napoli,napoli,napoli,new_2026_131
fotmob,1313884,Rafa Marín,Napoli,napoli,napoli,new_2026_132
opta,488040,Rafa Marín,Napoli,napoli,napoli,new_2026_132
whoscored,430301,Rafa Marín,Napoli,napoli,napoli,new_2026_132
fotmob,517068,Nikita Contini,Napoli,napoli,napoli,new_2026_133
fotmob,1233748,David Romero,Parma,parma,parma,new_2026_134
opta,482766,David Romero,Parma,parma,parma,new_2026_134
whoscored,411021,David Romero,Parma Calcio 1913,parma calcio 1913,parma,new_2026_134
fotmob,1054114,El Bilal Touré,Parma,parma,parma,new_2026_135
opta,476489,El Bilal Touré,Parma,parma,parma,new_2026_135
whoscored,391527,El Bilal Touré,Parma Calcio 1913,parma calcio 1913,parma,new_2026_135
fotmob,1190371,Matija Frigan,Parma,parma,parma,new_2026_136
opta,521472,Matija Frigan,Parma,parma,parma,new_2026_136
fotmob,1684415,Ousmane Diallo,Parma,parma,parma,new_2026_137
opta,633419,Ousmane Diallo,Parma,parma,parma,new_2026_137
whoscored,574054,Ousmane Diallo,Parma Calcio 1913,parma calcio 1913,parma,new_2026_137
fotmob,1439776,Rachid Kouda,Parma,parma,parma,new_2026_138
opta,625908,Rachid Kouda,Parma,parma,parma,new_2026_138
whoscored,494399,Rachid Kouda,Parma Calcio 1913,parma calcio 1913,parma,new_2026_138
fotmob,1843609,Simone Lontani,Parma,parma,parma,new_2026_139
opta,631127,Simone Lontani,Parma,parma,parma,new_2026_139
whoscored,643601,Simone Lontani,Parma Calcio 1913,parma calcio 1913,parma,new_2026_139
fotmob,1396084,Raphael Kofler,Cagliari,cagliari,cagliari,new_2026_14
opta,587803,Raphael Kofler,Cagliari,cagliari,cagliari,new_2026_14
whoscored,447561,Raphael Kofler,Cagliari,cagliari,cagliari,new_2026_14
fotmob,1797278,Thomás de Martis,Parma,parma,parma,new_2026_140
opta,659246,Thomás de Martis,Parma,parma,parma,new_2026_140
whoscored,605995,Dominik Drobnic,Parma Calcio 1913,parma calcio 1913,parma,new_2026_141
whoscored,599855,Abdou-Salam Konate,Parma Calcio 1913,parma calcio 1913,parma,new_2026_142
fotmob,935380,Enrico Del Prato,Parma,parma,parma,new_2026_143
fotmob,1519035,Giovanni Daffara,Parma,parma,parma,new_2026_144
fotmob,1997571,Alessandro Mazzocchi,Parma,parma,parma,new_2026_145
fotmob,958464,Leonardo Balerdi,Roma,roma,roma,new_2026_146
opta,446682,Leonardo Balerdi,Roma,roma,roma,new_2026_146
fotmob,726345,Nahuel Molina,Roma,roma,roma,new_2026_147
opta,221586,Nahuel Molina,Roma,roma,roma,new_2026_147
whoscored,303728,Nahuel Molina,Roma,roma,roma,new_2026_147
fotmob,1705134,Robinio Vaz,Roma,roma,roma,new_2026_148
opta,631000,Robinio Vaz,Roma,roma,roma,new_2026_148
fotmob,1525065,Rodrigo Mora,Roma,roma,roma,new_2026_149
opta,593207,Rodrigo Mora,Roma,roma,roma,new_2026_149
whoscored,532725,Rodrigo Mora,Roma,roma,roma,new_2026_149
fotmob,1210653,Riccardo Ciervo,Cagliari,cagliari,cagliari,new_2026_15
opta,515593,Riccardo Ciervo,Cagliari,cagliari,cagliari,new_2026_15
whoscored,407149,Riccardo Ciervo,Cagliari,cagliari,cagliari,new_2026_15
whoscored,578592,Emanuele Lulli,Roma,roma,roma,new_2026_150
fotmob,553849,Pierluigi Gollini,Roma,roma,roma,new_2026_151
fotmob,1016132,Manu Koné,Roma,roma,roma,new_2026_152
