playerId,playerName,teamId,h_a,matchId,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,passTotal
76662.0,Jan Oblak,63,h,1993898,4,6,18,0,32
80764.0,Koke,63,h,1993898,8,3,51,5,70
141497.0,Einar Galilea,69,a,1993898,2,5,40,4,51
254582.0,Marcos Llorente,63,h,1993898,1,0,30,2,35
261509.0,Alfonso Herrero,69,a,1993898,9,15,23,0,50
299451.0,Ademola Lookman,63,h,1993898,0,0,17,6,23
357786.0,Juan Cruz,69,a,1993898,0,0,8,0,8
362779.0,Dávid Hancko,63,h,1993898,7,3,84,1,96
366204.0,Joaquín Muñoz,69,a,1993898,1,2,17,3,24
367008.0,Robin Le Normand,63,h,1993898,1,1,27,1,31
367780.0,Lee Kang-In,63,h,1993898,0,1,13,0,15
395242.0,Álex Baena,63,h,1993898,1,1,15,3,23
402092.0,José Salinas,69,a,1993898,0,1,6,4,15
403647.0,Morten Hjulmand,63,h,1993898,0,0,10,1,11
422918.0,Giuliano Simeone,63,h,1993898,0,0,17,7,24
427360.0,Carlos Martín,63,h,1993898,1,1,14,4,22
434138.0,Pablo Barrios,63,h,1993898,3,1,48,6,58
444251.0,Arnau Ortiz,63,h,1993898,0,0,5,2,10
447938.0,Carlos Puga,69,a,1993898,1,1,22,3,36
448289.0,Ramón Enríquez,69,a,1993898,1,0,21,2,24
448294.0,Dani Lorenzo,69,a,1993898,2,1,47,0,50
448303.0,David Larrubia,69,a,1993898,0,0,21,2,23
461527.0,Carlos Dotor,69,a,1993898,1,1,22,3,27
463425.0,Eneko Jauregi,69,a,1993898,0,0,3,1,4
463938.0,Rodrigo Mendoza,63,h,1993898,1,1,19,1,22
471958.0,Rafa Rodríguez,69,a,1993898,0,1,10,0,11
498163.0,Dani Martinez,63,h,1993898,1,4,46,4,69
508035.0,Izan Merino,69,a,1993898,1,2,42,2,47
508349.0,Rafita,69,a,1993898,2,1,32,4,49
511043.0,Ángel Recio,69,a,1993898,3,6,47,1,57
541868.0,Chupe,69,a,1993898,0,0,11,7,18
641096.0,Jorge Domínguez,63,h,1993898,0,0,13,0,15
