canonical_id,name,team,opta_id,whoscored_id,fotmob_id,has_fotmob,has_whoscored,goals,xg,shots,shots_on_target,np_xg,assists,xa,chances_created,passes,successful_passes,tackles,interceptions,recoveries,blocks,clearances,ground_duels,ground_duels_won,aerial_duels,aerial_duels_won,fouls_commited,pens_conceded,offsides,goals_conceded,saves_made,goals_prevented,xgot_conceded,np_goals,np_shots,np_shots_on_target,ogs,goals_vs_xg,shot_conv,xg_per_shot,np_goals_vs_xg,np_shot_conv,np_xg_per_shot,pass_perc,ground_duel_perc,aerial_duel_perc,chances_per_100_pass,save_perc,goals_prevented_rate,yellows,reds,through_balls,successful_through_balls,op_crosses,successful_op_crosses,op_chances_created,op_assists,through_ball_perc,cross_perc,chances_sp_op_ratio,total_final_third_passes,successful_final_third_passes,ft_pass_perc,carries_STILL_COMBINED_R1R2,carry_distance_STILL_COMBINED_R1R2,progressive_carries_STILL_COMBINED_R1R2,progressive_distance_STILL_COMBINED_R1R2,shot_ending_STILL_COMBINED_R1R2,goal_ending_STILL_COMBINED_R1R2,chance_ending_STILL_COMBINED_R1R2,assist_ending_STILL_COMBINED_R1R2,dist_per_carry_STILL_COMBINED_R1R2,dist_per_progressive_carry_STILL_COMBINED_R1R2,op_xa_STILL_COMBINED_R1R2
586866,Abde Rebbach,Alaves,586866,447835,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,25.0,382.312,12.0,229.53,1.0,0.0,0.0,0.0,15.292,19.128,0.022
463001,Abdel Abqar,Getafe,463001,409740,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,2.0,22.22222222222222,10.0,86.881,4.0,49.77,0.0,0.0,0.0,0.0,8.688,12.442,0.001
new_2026_22,Abdoulaye Faye,Celta de Vigo,631935,,1555492,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498594,Abel Bretones,Osasuna,498594,461771,1323398,True,True,0.0,0.04,1.0,0.0,0.04,0.0,0.03,1.0,45.0,41.0,2.0,1.0,6.0,0.0,3.0,5.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.04,0.0,0.04,-0.04,0.0,0.04,91.11111111111111,40.0,50.0,2.2222222222222223,,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,0.0,0.0,5.0,4.0,80.0,10.0,134.361,5.0,77.175,0.0,0.0,1.0,0.0,13.436,15.435,0.064
629738,Adama Boiro,Athletic Club,629738,515307,1331249,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,87.5,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,2.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720618,Adama Timera,Espanyol,720618,,1876774,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219352,Ademola Lookman,Atletico Madrid,219352,299451,690516,True,True,0.0,0.15,2.0,2.0,0.15,0.0,0.01,0.0,23.0,17.0,1.0,0.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-0.15,0.0,0.075,-0.15,0.0,0.075,73.91304347826086,28.57142857142857,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13.0,119.237,6.0,35.805,0.0,0.0,0.0,0.0,9.172,5.968,0.212
465599,Adrià Alti,Villarreal,465599,448041,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,50.0,,3.0,3.0,100.0,2.0,24.359,1.0,15.855,0.0,0.0,0.0,0.0,12.18,15.855,0.025
437808,Adrián de la Fuente,Levante,437808,383780,952528,True,True,0.0,0.06,1.0,0.0,0.06,0.0,0.02,0.0,69.0,63.0,2.0,1.0,4.0,1.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.06,0.0,0.06,-0.06,0.0,0.06,91.30434782608695,66.66666666666666,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,16.0,12.0,75.0,43.0,476.744,30.0,330.75,0.0,0.0,0.0,0.0,11.087,11.025,0.273
472145,Aihen Muñoz,Real Sociedad,472145,367583,999159,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,25.264,3.0,21.525,0.0,0.0,0.0,0.0,8.421,7.175,0.017
484702,Aimar Oroz,Osasuna,484702,395321,1054786,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,83.33333333333334,50.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,100.0,3.0,26.308,3.0,24.465,0.0,0.0,1.0,0.0,8.769,8.155,0.021
551482,Aitor Mañas,Alaves,551482,514695,1553663,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,50.0,40.0,25.0,25.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,1.0,7.309,1.0,7.14,0.0,0.0,0.0,0.0,7.309,7.14,0.001
440593,Aitor Paredes,Athletic Club,440593,402663,1191407,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,20.0,236.118,12.0,160.23,0.0,0.0,0.0,0.0,11.806,13.352,0.021
new_2026_75,Alberto Calatrava,Levante,645746,,2141153,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
