canonical_id,name,team,fotmob_id,carries_STILL_COMBINED_R1R2,carry_distance_STILL_COMBINED_R1R2,progressive_carries_STILL_COMBINED_R1R2,progressive_distance_STILL_COMBINED_R1R2,shot_ending_STILL_COMBINED_R1R2,goal_ending_STILL_COMBINED_R1R2,chance_ending_STILL_COMBINED_R1R2,assist_ending_STILL_COMBINED_R1R2,dist_per_carry_STILL_COMBINED_R1R2,dist_per_progressive_carry_STILL_COMBINED_R1R2,op_xa_STILL_COMBINED_R1R2,touches_r1,minutes_r1,touches_r2,minutes_r2,weight_r1,imputation_source,carries_imputed_r1,carries_imputed_r2,carry_distance_imputed_r1,carry_distance_imputed_r2,progressive_carries_imputed_r1,progressive_carries_imputed_r2,progressive_distance_imputed_r1,progressive_distance_imputed_r2,shot_ending_imputed_r1,shot_ending_imputed_r2,goal_ending_imputed_r1,goal_ending_imputed_r2,chance_ending_imputed_r1,chance_ending_imputed_r2,assist_ending_imputed_r1,assist_ending_imputed_r2,dist_per_carry_imputed_r1,dist_per_carry_imputed_r2,dist_per_progressive_carry_imputed_r1,dist_per_progressive_carry_imputed_r2,op_xa_imputed_r1,op_xa_imputed_r2
586866,Abde Rebbach,Alaves,,25.0,382.312,12.0,229.53,1.0,0.0,0.0,0.0,15.292,19.128,0.022,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,12.5,12.5,191.156,191.156,6.0,6.0,114.765,114.765,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.646,7.646,9.564,9.564,0.011,0.011
463001,Abdel Abqar,Getafe,,10.0,86.881,4.0,49.77,0.0,0.0,0.0,0.0,8.688,12.442,0.001,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,5.0,5.0,43.4405,43.4405,2.0,2.0,24.885,24.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.344,4.344,6.221,6.221,0.0005,0.0005
new_2026_22,Abdoulaye Faye,Celta de Vigo,1555492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498594,Abel Bretones,Osasuna,1323398,10.0,134.361,5.0,77.175,0.0,0.0,1.0,0.0,13.436,15.435,0.064,59.0,90.0,59.0,90.0,0.5,touches,5.0,5.0,67.1805,67.1805,2.5,2.5,38.5875,38.5875,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.718,6.718,7.7175,7.7175,0.032,0.032
629738,Adama Boiro,Athletic Club,1331249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,0.0,0.0,1.0,touches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720618,Adama Timera,Espanyol,1876774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219352,Ademola Lookman,Atletico Madrid,690516,13.0,119.237,6.0,35.805,0.0,0.0,0.0,0.0,9.172,5.968,0.212,33.0,90.0,23.0,79.0,0.5892857142857143,touches,7.660714285714286,5.339285714285714,70.26466071428571,48.972339285714284,3.5357142857142856,2.4642857142857144,21.099375000000002,14.705625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.404928571428572,3.7670714285714286,3.516857142857143,2.451142857142857,0.12492857142857143,0.08707142857142856
465599,Adrià Alti,Villarreal,,2.0,24.359,1.0,15.855,0.0,0.0,0.0,0.0,12.18,15.855,0.025,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,1.0,1.0,12.1795,12.1795,0.5,0.5,7.9275,7.9275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09,6.09,7.9275,7.9275,0.0125,0.0125
437808,Adrián de la Fuente,Levante,952528,43.0,476.744,30.0,330.75,0.0,0.0,0.0,0.0,11.087,11.025,0.273,84.0,90.0,83.0,90.0,0.5029940119760479,touches,21.628742514970057,21.371257485029943,239.799377245509,236.94462275449104,15.089820359281436,14.910179640718564,166.36526946107784,164.38473053892216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.576694610778443,5.510305389221557,5.545508982035928,5.479491017964072,0.1373173652694611,0.13568263473053893
472145,Aihen Muñoz,Real Sociedad,999159,3.0,25.264,3.0,21.525,0.0,0.0,0.0,0.0,8.421,7.175,0.017,0.0,0.0,15.0,18.0,0.0,touches,0.0,3.0,0.0,25.264,0.0,3.0,0.0,21.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.421,0.0,7.175,0.0,0.017
484702,Aimar Oroz,Osasuna,1054786,3.0,26.308,3.0,24.465,0.0,0.0,1.0,0.0,8.769,8.155,0.021,9.0,8.0,29.0,72.0,0.23684210526315788,touches,0.7105263157894737,2.2894736842105265,6.230842105263157,20.077157894736843,0.7105263157894737,2.2894736842105265,5.794342105263158,18.67065789473684,0.0,0.0,0.0,0.0,0.23684210526315788,0.7631578947368421,0.0,0.0,2.0768684210526316,6.692131578947369,1.9314473684210525,6.223552631578947,0.004973684210526316,0.016026315789473687
551482,Aitor Mañas,Alaves,1553663,1.0,7.309,1.0,7.14,0.0,0.0,0.0,0.0,7.309,7.14,0.001,15.0,57.0,0.0,0.0,1.0,touches,1.0,0.0,7.309,0.0,1.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.309,0.0,7.14,0.0,0.001,0.0
440593,Aitor Paredes,Athletic Club,1191407,20.0,236.118,12.0,160.23,0.0,0.0,0.0,0.0,11.806,13.352,0.021,0.0,0.0,85.0,74.0,0.0,touches,0.0,20.0,0.0,236.118,0.0,12.0,0.0,160.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.806,0.0,13.352,0.0,0.021
new_2026_75,Alberto Calatrava,Levante,2141153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513956,Alberto Moleiro,Villarreal,1184694,17.0,177.291,11.0,111.825,0.0,0.0,1.0,0.0,10.429,10.166,0.192,35.0,56.0,48.0,60.0,0.42168674698795183,touches,7.168674698795181,9.831325301204819,74.76126506024097,102.52973493975902,4.63855421686747,6.36144578313253,47.15512048192772,64.66987951807229,0.0,0.0,0.0,0.0,0.42168674698795183,0.5783132530120482,0.0,0.0,4.39777108433735,6.03122891566265,4.286867469879518,5.879132530120482,0.08096385542168676,0.11103614457831325
654780,Alberto Risco,Getafe,1637438,4.0,43.99,2.0,19.845,0.0,0.0,0.0,0.0,10.998,9.922,0.002,13.0,24.0,4.0,1.0,0.7647058823529411,touches,3.0588235294117645,0.9411764705882355,33.63941176470588,10.35058823529412,1.5294117647058822,0.47058823529411775,15.175588235294116,4.669411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.410235294117646,2.5877647058823534,7.587411764705882,2.3345882352941185,0.0015294117647058822,0.00047058823529411777
199250,Aleix Febas,Elche,671686,19.0,200.136,8.0,89.25,0.0,0.0,0.0,0.0,10.533,11.156,0.048,0.0,0.0,73.0,77.0,0.0,touches,0.0,19.0,0.0,200.136,0.0,8.0,0.0,89.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.533,0.0,11.156,0.0,0.048
244273,Alejandro Catena,Osasuna,814663,10.0,118.973,7.0,79.905,0.0,0.0,1.0,0.0,11.897,11.415,0.032,103.0,90.0,73.0,90.0,0.5852272727272727,touches,5.852272727272727,4.147727272727273,69.62624431818182,49.34675568181818,4.096590909090909,2.903409090909091,46.76258522727272,33.14241477272728,0.0,0.0,0.0,0.0,0.5852272727272727,0.4147727272727273,0.0,0.0,6.9624488636363635,4.934551136363637,6.680369318181818,4.734630681818182,0.018727272727272728,0.013272727272727273
new_2026_8,Alejandro Grimaldo,Atlético de Madrid,288406,17.0,180.428,10.0,85.995,1.0,0.0,0.0,0.0,10.613,8.6,0.033,0.0,0.0,76.0,90.0,0.0,touches,0.0,17.0,0.0,180.428,0.0,10.0,0.0,85.995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.613,0.0,8.6,0.0,0.033
631986,Alejandro Rego,Athletic Club,1425769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483116,Alemão,Rayo Vallecano,924300,1.0,5.49,0.0,-4.2,0.0,0.0,0.0,0.0,5.49,0.0,0.002,10.0,25.0,0.0,0.0,1.0,touches,1.0,0.0,5.49,0.0,0.0,0.0,-4.2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.002,0.0
195385,Alex Berenguer,Athletic Club,574629,24.0,316.326,14.0,137.445,2.0,0.0,0.0,0.0,13.18,9.817,0.049,21.0,30.0,85.0,90.0,0.19811320754716982,touches,4.754716981132075,19.245283018867923,62.66835849056604,253.65764150943397,2.7735849056603774,11.226415094339622,27.229669811320754,110.21533018867923,0.39622641509433965,1.6037735849056602,0.0,0.0,0.0,0.0,0.0,0.0,2.6111320754716982,10.5688679245283,1.944877358490566,7.872122641509433,0.009707547169811322,0.03929245283018868
484917,Alex Freeman,Villarreal,1338696,1.0,9.062,1.0,8.505,0.0,0.0,0.0,0.0,9.062,8.505,0.0,5.0,2.0,0.0,0.0,1.0,touches,1.0,0.0,9.062,0.0,1.0,0.0,8.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.062,0.0,8.505,0.0,0.0,0.0
627656,Alex Lebarbier,Real Sociedad,1426185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634254,Alex Marchal,Real Sociedad,1721611,5.0,50.827,3.0,36.12,0.0,0.0,0.0,0.0,10.165,12.04,0.066,0.0,0.0,17.0,32.0,0.0,touches,0.0,5.0,0.0,50.827,0.0,3.0,0.0,36.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.165,0.0,12.04,0.0,0.066
643319,Alex Panach,Valencia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new_2026_138,Alexis Ciria,Real Madrid,1707940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631382,Ali Houary,Elche,1670281,25.0,254.625,9.0,68.46,1.0,0.0,1.0,0.0,10.185,7.607,0.046,62.0,81.0,47.0,64.0,0.5688073394495413,touches,14.220183486238533,10.779816513761467,144.83256880733947,109.79243119266054,5.1192660550458715,3.880733944954128,38.94055045871559,29.5194495412844,0.5688073394495413,0.4311926605504587,0.0,0.0,0.5688073394495413,0.4311926605504587,0.0,0.0,5.793302752293578,4.391697247706422,4.326917431192661,3.280082568807339,0.0261651376146789,0.0198348623853211
new_2026_152,Aliou Dieng,Valencia CF,723148,4.0,30.977,3.0,15.855,0.0,0.0,0.0,0.0,7.744,5.285,0.002,6.0,2.0,11.0,21.0,0.35294117647058826,touches,1.411764705882353,2.5882352941176467,10.933058823529413,20.043941176470586,1.0588235294117647,1.941176470588235,5.595882352941177,10.259117647058822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7331764705882353,5.010823529411764,1.865294117647059,3.419705882352941,0.0007058823529411765,0.0012941176470588234
471138,Ander Barrenetxea,Real Sociedad,1002618,13.0,156.332,6.0,106.575,1.0,0.0,0.0,0.0,12.026,17.762,0.037,15.0,24.0,27.0,58.0,0.35714285714285715,touches,4.642857142857143,8.357142857142856,55.832857142857144,100.49914285714284,2.142857142857143,3.8571428571428568,38.0625,68.51249999999999,0.35714285714285715,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,4.295,7.730999999999999,6.343571428571429,11.41842857142857,0.013214285714285713,0.02378571428571428
431644,Ander Guevara,Alaves,873827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.0,1.0,0.0,0.0,1.0,touches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
135363,Andreas Christensen,Barcelona,449232,15.0,139.705,9.0,62.475,0.0,0.0,0.0,0.0,9.314,6.942,0.005,0.0,0.0,89.0,90.0,0.0,touches,0.0,15.0,0.0,139.705,0.0,9.0,0.0,62.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.314,0.0,6.942,0.0,0.005
466543,Andrei Ratiu,Rayo Vallecano,970578,24.0,352.201,15.0,214.725,0.0,0.0,0.0,0.0,14.675,14.315,0.021,58.0,90.0,57.0,90.0,0.5043478260869565,touches,12.104347826086956,11.895652173913044,177.63180869565218,174.56919130434784,7.565217391304348,7.434782608695652,108.29608695652173,106.42891304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.401304347826087,7.273695652173914,7.219739130434782,7.095260869565218,0.010591304347826087,0.010408695652173915
247636,André Almeida,Valencia,777028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562922,Andrés Castrín,Sevilla,,13.0,117.03,5.0,66.57,0.0,0.0,1.0,0.0,9.002,13.314,0.009,0.0,0.0,0.0,0.0,0.5,even_split_fallback_no_data,6.5,6.5,58.515,58.515,2.5,2.5,33.285,33.285,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,4.501,4.501,6.657,6.657,0.0045,0.0045
