player,attack_player_id,attack_apps,attack_mins_played,attack_goals,attack_xg,attack_goals_vs_xg,attack_shots,attack_shots_on_target,attack_shot_conv,attack_xg_per_shot,attack_first_name,attack_last_name,attack_date_of_birth,attack_age,attack_team_id,attack_shirt_number,attack_squad_position,attack_squad_position_detailed,attack_player_uuid,attack_team_uuid,attack_contestantName,attack_contestantClubName,attack_contestantShortName,attack_contestantCode,carries_carries,carries_carry_distance,carries_progressive_carries,carries_progressive_distance,carries_shot_ending,carries_goal_ending,carries_chance_ending,carries_assist_ending,carries_dist_per_carry,carries_dist_per_progressive_carry,defending_tackles,defending_interceptions,defending_recoveries,defending_blocks,defending_clearances,defending_ground_duels,defending_ground_duels_won,defending_ground_duel_perc,defending_aerial_duels,defending_aerial_duels_won,defending_aerial_duel_perc,goalkeeping_team_mins,goalkeeping_team_mins_perc,goalkeeping_ogs,goalkeeping_goals_conceded,goalkeeping_saves_made,goalkeeping_save_perc,goalkeeping_goals_prevented,goalkeeping_goals_prevented_rate,goalkeeping_xgot_conceded,possession_chanceCreation_player_id,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_chanceCreation_first_name,possession_chanceCreation_last_name,possession_chanceCreation_date_of_birth,possession_chanceCreation_age,possession_chanceCreation_team_id,possession_chanceCreation_shirt_number,possession_chanceCreation_squad_position,possession_chanceCreation_squad_position_detailed,possession_chanceCreation_player_uuid,possession_chanceCreation_team_uuid,possession_chanceCreation_contestantName,possession_chanceCreation_contestantClubName,possession_chanceCreation_contestantShortName,possession_chanceCreation_contestantCode,possession_passing_player_id,possession_passing_mins_played,possession_passing_apps,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,possession_passing_first_name,possession_passing_last_name,possession_passing_date_of_birth,possession_passing_age,possession_passing_team_id,possession_passing_shirt_number,possession_passing_squad_position,possession_passing_squad_position_detailed,possession_passing_player_uuid,possession_passing_team_uuid,possession_passing_contestantName,possession_passing_contestantClubName,possession_passing_contestantShortName,possession_passing_contestantCode,opta_player_id,opta_player_uuid
Aaron Hickey,472713.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Hickey,2002-06-10,24.23,94.0,2.0,Defender,Full Back,9xfrrmf19uv4i69ge0kg1hh7u,7yx5dqhhphyvfisohikodajhv,Brentford FC,Brentford,Brentford,BRE,1.0,20.456,1.0,20.16,0.0,0.0,0.0,0.0,20.456,20.16,0.0,0.0,2.0,0.0,0.0,3.0,1.0,33.333,0.0,0.0,0.0,,,,,,,,,,472713.0,14.0,1.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,Aaron,Hickey,2002-06-10,24.23,94.0,2.0,Defender,Full Back,9xfrrmf19uv4i69ge0kg1hh7u,7yx5dqhhphyvfisohikodajhv,Brentford FC,Brentford,Brentford,BRE,472713.0,14.0,1.0,5.0,3.0,60.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Hickey,2002-06-10,24.23,94.0,2.0,Defender,Full Back,9xfrrmf19uv4i69ge0kg1hh7u,7yx5dqhhphyvfisohikodajhv,Brentford FC,Brentford,Brentford,BRE,472713,9xfrrmf19uv4i69ge0kg1hh7u
Abdoul Ouattara,572584.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoul,Ouattara,2005-10-22,20.86,40.0,42.0,Defender,Full Back,1gfomo3mo11cttdhprm1jtp0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,1.0,9.178,1.0,9.135,0.0,0.0,1.0,0.0,9.178,9.135,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,572584.0,10.0,1.0,1.0,1.0,33.33,0.0,0.001,0.001,0.0,0.0,Abdoul,Ouattara,2005-10-22,20.86,40.0,42.0,Defender,Full Back,1gfomo3mo11cttdhprm1jtp0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,572584.0,10.0,1.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoul,Ouattara,2005-10-22,20.86,40.0,42.0,Defender,Full Back,1gfomo3mo11cttdhprm1jtp0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,572584,1gfomo3mo11cttdhprm1jtp0
Abdukodir Khusanov,578153.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdukodir,Khusanov,2004-02-29,22.51,43.0,45.0,Defender,Central Defender,d7ofv9d9sbp263uo76cm2qxhw,a3nyxabgsqlnqfkeg41m6tnpp,Manchester City FC,Manchester City,Man City,MCI,17.0,211.758,7.0,100.905,0.0,0.0,0.0,0.0,12.456,14.415,2.0,1.0,6.0,0.0,1.0,2.0,2.0,100.0,2.0,2.0,100.0,,,,,,,,,,578153.0,90.0,1.0,0.0,0.0,0.0,0.0,0.023,0.023,0.0,0.0,Abdukodir,Khusanov,2004-02-29,22.51,43.0,45.0,Defender,Central Defender,d7ofv9d9sbp263uo76cm2qxhw,a3nyxabgsqlnqfkeg41m6tnpp,Manchester City FC,Manchester City,Man City,MCI,578153.0,90.0,1.0,92.0,89.0,96.74,16.0,15.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,Abdukodir,Khusanov,2004-02-29,22.51,43.0,45.0,Defender,Central Defender,d7ofv9d9sbp263uo76cm2qxhw,a3nyxabgsqlnqfkeg41m6tnpp,Manchester City FC,Manchester City,Man City,MCI,578153,d7ofv9d9sbp263uo76cm2qxhw
Abdul Fatawu,531442.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdul Fatawu,Issahaku,2004-03-08,22.48,40.0,7.0,Forward,Winger,6cx5c6bzp1hq6c1vui53mxzx0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,13.0,140.679,9.0,111.825,0.0,0.0,2.0,0.0,10.821,12.425,4.0,1.0,2.0,0.0,0.0,16.0,10.0,62.5,2.0,0.0,0.0,,,,,,,,,,531442.0,66.0,1.0,2.0,2.0,20.0,0.0,0.405,0.405,0.0,0.0,Abdul Fatawu,Issahaku,2004-03-08,22.48,40.0,7.0,Forward,Winger,6cx5c6bzp1hq6c1vui53mxzx0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,531442.0,66.0,1.0,10.0,5.0,50.0,5.0,1.0,20.0,5.0,2.0,40.0,0.0,0.0,0.0,Abdul Fatawu,Issahaku,2004-03-08,22.48,40.0,7.0,Forward,Winger,6cx5c6bzp1hq6c1vui53mxzx0,8b523ujgl21tbc01me65q0aoh,Ipswich Town FC,Ipswich Town,Ipswich,IPS,531442,6cx5c6bzp1hq6c1vui53mxzx0
Adam Smith,54469.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam,Smith,1991-04-29,35.35,91.0,15.0,Defender,Full Back,80bmtj7l07ohb2h475w955n9,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,7.0,4.0,57.143,3.0,1.0,33.333,,,,,,,,,,54469.0,90.0,1.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,Adam,Smith,1991-04-29,35.35,91.0,15.0,Defender,Full Back,80bmtj7l07ohb2h475w955n9,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,54469.0,90.0,1.0,17.0,13.0,76.47,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,Adam,Smith,1991-04-29,35.35,91.0,15.0,Defender,Full Back,80bmtj7l07ohb2h475w955n9,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,54469,80bmtj7l07ohb2h475w955n9
Adam Wharton,496221.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam,Wharton,2004-02-06,22.57,31.0,20.0,Midfielder,Central Midfielder,asq9gj1a93bltsfd61i6xvqsq,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace FC,Crystal Palace,Palace,CRY,26.0,258.928,15.0,186.06,0.0,0.0,0.0,0.0,9.959,12.404,2.0,3.0,8.0,0.0,1.0,10.0,5.0,50.0,0.0,0.0,0.0,,,,,,,,,,496221.0,90.0,1.0,2.0,2.0,2.78,0.0,0.243,0.243,0.0,0.0,Adam,Wharton,2004-02-06,22.57,31.0,20.0,Midfielder,Central Midfielder,asq9gj1a93bltsfd61i6xvqsq,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace FC,Crystal Palace,Palace,CRY,496221.0,90.0,1.0,74.0,60.0,81.08,32.0,22.0,68.75,0.0,0.0,0.0,1.0,1.0,100.0,Adam,Wharton,2004-02-06,22.57,31.0,20.0,Midfielder,Central Midfielder,asq9gj1a93bltsfd61i6xvqsq,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace FC,Crystal Palace,Palace,CRY,496221,asq9gj1a93bltsfd61i6xvqsq
Adrien Truffert,494521.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrien,Truffert,2001-11-20,24.78,91.0,3.0,Defender,Full Back,92qqdiryqd8juqdjq8585476y,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,6.0,49.482,3.0,17.22,0.0,0.0,0.0,0.0,8.247,5.74,2.0,0.0,7.0,1.0,4.0,8.0,3.0,37.5,2.0,1.0,50.0,,,,,,,,,,494521.0,90.0,1.0,0.0,0.0,0.0,0.0,0.004,0.003,0.0,0.0,Adrien,Truffert,2001-11-20,24.78,91.0,3.0,Defender,Full Back,92qqdiryqd8juqdjq8585476y,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,494521.0,90.0,1.0,27.0,23.0,85.19,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrien,Truffert,2001-11-20,24.78,91.0,3.0,Defender,Full Back,92qqdiryqd8juqdjq8585476y,1pse9ta7a45pi2w2grjim70ge,AFC Bournemouth,Bournemouth,Bournemouth,BOU,494521,92qqdiryqd8juqdjq8585476y
Aladji Bamba,632794.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aladji,Bamba,2006-07-14,20.13,4.0,8.0,Midfielder,0,srzdmbirhvpjuok4mf7lj5zo,7vn2i2kd35zuetw6b38gw9jsz,Newcastle United FC,Newcastle United,Newcastle,NEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,2.0,1.0,50.0,,,,,,,,,,632794.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aladji,Bamba,2006-07-14,20.13,4.0,8.0,Midfielder,0,srzdmbirhvpjuok4mf7lj5zo,7vn2i2kd35zuetw6b38gw9jsz,Newcastle United FC,Newcastle United,Newcastle,NEW,632794.0,14.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aladji,Bamba,2006-07-14,20.13,4.0,8.0,Midfielder,0,srzdmbirhvpjuok4mf7lj5zo,7vn2i2kd35zuetw6b38gw9jsz,Newcastle United FC,Newcastle United,Newcastle,NEW,632794,srzdmbirhvpjuok4mf7lj5zo
Alejandro Garnacho,493105.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alejandro,Garnacho,2004-07-01,22.17,7.0,17.0,Forward,Winger,e5eiuko5p1yms97xndrvcr0bu,b496gs285it6bheuikox6z9mj,Aston Villa FC,Aston Villa,Villa,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,493105.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alejandro,Garnacho,2004-07-01,22.17,7.0,17.0,Forward,Winger,e5eiuko5p1yms97xndrvcr0bu,b496gs285it6bheuikox6z9mj,Aston Villa FC,Aston Villa,Villa,AVL,493105.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alejandro,Garnacho,2004-07-01,22.17,7.0,17.0,Forward,Winger,e5eiuko5p1yms97xndrvcr0bu,b496gs285it6bheuikox6z9mj,Aston Villa FC,Aston Villa,Villa,AVL,493105,e5eiuko5p1yms97xndrvcr0bu
Alex Iwobi,153133.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Iwobi,1996-05-03,30.34,54.0,17.0,Forward,Second Striker,8kb5h8df97ju107n9ibigo1cl,hzqh7z0mdl3v7gwete66syxp,Fulham FC,Fulham,Fulham,FUL,35.0,352.587,13.0,72.555,0.0,0.0,0.0,0.0,10.074,5.581,1.0,3.0,6.0,0.0,0.0,4.0,1.0,25.0,0.0,0.0,0.0,,,,,,,,,,153133.0,90.0,1.0,0.0,0.0,0.0,0.0,0.039,0.019,0.0,0.0,Alex,Iwobi,1996-05-03,30.34,54.0,17.0,Forward,Second Striker,8kb5h8df97ju107n9ibigo1cl,hzqh7z0mdl3v7gwete66syxp,Fulham FC,Fulham,Fulham,FUL,153133.0,90.0,1.0,92.0,83.0,90.22,18.0,14.0,77.78,0.0,0.0,0.0,0.0,0.0,0.0,Alex,Iwobi,1996-05-03,30.34,54.0,17.0,Forward,Second Striker,8kb5h8df97ju107n9ibigo1cl,hzqh7z0mdl3v7gwete66syxp,Fulham FC,Fulham,Fulham,FUL,153133,8kb5h8df97ju107n9ibigo1cl
