player,attack_player_id,attack_apps,attack_mins_played,attack_goals,attack_xg,attack_goals_vs_xg,attack_shots,attack_shots_on_target,attack_shot_conv,attack_xg_per_shot,attack_first_name,attack_last_name,attack_date_of_birth,attack_age,attack_team_id,attack_shirt_number,attack_squad_position,attack_squad_position_detailed,attack_player_uuid,attack_team_uuid,attack_contestantName,attack_contestantClubName,attack_contestantShortName,attack_contestantCode,carries_carries,carries_carry_distance,carries_progressive_carries,carries_progressive_distance,carries_shot_ending,carries_goal_ending,carries_chance_ending,carries_assist_ending,carries_dist_per_carry,carries_dist_per_progressive_carry,defending_tackles,defending_interceptions,defending_recoveries,defending_blocks,defending_clearances,defending_ground_duels,defending_ground_duels_won,defending_ground_duel_perc,defending_aerial_duels,defending_aerial_duels_won,defending_aerial_duel_perc,goalkeeping_team_mins,goalkeeping_team_mins_perc,goalkeeping_ogs,goalkeeping_goals_conceded,goalkeeping_saves_made,goalkeeping_save_perc,goalkeeping_goals_prevented,goalkeeping_goals_prevented_rate,goalkeeping_xgot_conceded,possession_chanceCreation_player_id,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_chanceCreation_first_name,possession_chanceCreation_last_name,possession_chanceCreation_date_of_birth,possession_chanceCreation_age,possession_chanceCreation_team_id,possession_chanceCreation_shirt_number,possession_chanceCreation_squad_position,possession_chanceCreation_squad_position_detailed,possession_chanceCreation_player_uuid,possession_chanceCreation_team_uuid,possession_chanceCreation_contestantName,possession_chanceCreation_contestantClubName,possession_chanceCreation_contestantShortName,possession_chanceCreation_contestantCode,possession_passing_player_id,possession_passing_mins_played,possession_passing_apps,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,possession_passing_first_name,possession_passing_last_name,possession_passing_date_of_birth,possession_passing_age,possession_passing_team_id,possession_passing_shirt_number,possession_passing_squad_position,possession_passing_squad_position_detailed,possession_passing_player_uuid,possession_passing_team_uuid,possession_passing_contestantName,possession_passing_contestantClubName,possession_passing_contestantShortName,possession_passing_contestantCode,opta_player_id,opta_player_uuid
Abde Rebbach,586866.0,2.0,179.0,0.0,0.04,-0.04,2.0,1.0,0.0,0.02,Abde,Rebbach,1998-08-11,28.06,173.0,21.0,Forward,Winger,1ttc96b92xjfx1ta3vdwya0dm,4dtdjgnpdq9uw4sdutti0vaar,Deportivo Alavés,Alavés,Alavés,ALA,25.0,382.312,12.0,229.53,1.0,0.0,0.0,0.0,15.292,19.128,5.0,3.0,10.0,0.0,3.0,18.0,10.0,55.556,3.0,3.0,100.0,,,,,,,,,,586866.0,179.0,2.0,0.0,0.0,0.0,0.0,0.028,0.022,0.0,0.0,Abde,Rebbach,1998-08-11,28.06,173.0,21.0,Forward,Winger,1ttc96b92xjfx1ta3vdwya0dm,4dtdjgnpdq9uw4sdutti0vaar,Deportivo Alavés,Alavés,Alavés,ALA,586866.0,179.0,2.0,48.0,35.0,72.92,18.0,10.0,55.56,5.0,0.0,0.0,0.0,0.0,0.0,Abde,Rebbach,1998-08-11,28.06,173.0,21.0,Forward,Winger,1ttc96b92xjfx1ta3vdwya0dm,4dtdjgnpdq9uw4sdutti0vaar,Deportivo Alavés,Alavés,Alavés,ALA,586866,1ttc96b92xjfx1ta3vdwya0dm
Abdel Abqar,463001.0,2.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdel,Abqar,1999-03-10,27.48,1450.0,5.0,Defender,Central Defender,br4wylyaeqyxoss5of7r51boq,1n1j0wsl763lq7ee1k0c11c02,Getafe CF,Getafe,Getafe,GET,10.0,86.881,4.0,49.77,0.0,0.0,0.0,0.0,8.688,12.442,2.0,1.0,1.0,1.0,8.0,4.0,3.0,75.0,1.0,1.0,100.0,,,,,,,,,,463001.0,91.0,2.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,Abdel,Abqar,1999-03-10,27.48,1450.0,5.0,Defender,Central Defender,br4wylyaeqyxoss5of7r51boq,1n1j0wsl763lq7ee1k0c11c02,Getafe CF,Getafe,Getafe,GET,463001.0,91.0,2.0,32.0,22.0,68.75,10.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdel,Abqar,1999-03-10,27.48,1450.0,5.0,Defender,Central Defender,br4wylyaeqyxoss5of7r51boq,1n1j0wsl763lq7ee1k0c11c02,Getafe CF,Getafe,Getafe,GET,463001,br4wylyaeqyxoss5of7r51boq
Abdoulaye Faye,631935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoulaye,Faye,2004-09-22,21.94,176.0,4.0,Defender,Central Defender,631935,6f27yvbqcngegwsg2ozxxdj4,Real Club Celta de Vigo,Celta de Vigo,Celta,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,631935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoulaye,Faye,2004-09-22,21.94,176.0,4.0,Defender,Central Defender,631935,6f27yvbqcngegwsg2ozxxdj4,Real Club Celta de Vigo,Celta de Vigo,Celta,CEL,631935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abdoulaye,Faye,2004-09-22,21.94,176.0,4.0,Defender,Central Defender,631935,6f27yvbqcngegwsg2ozxxdj4,Real Club Celta de Vigo,Celta de Vigo,Celta,CEL,631935,631935
Abel Bretones,498594.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abel,Bretones,2000-08-21,26.03,450.0,23.0,Defender,Full Back,bvs3rixmobb9gje6kfvhgb52i,2l0ldgiwsgb8d6y3z0sfgjzyj,CA Osasuna,Osasuna,Osasuna,OSA,10.0,134.361,5.0,77.175,0.0,0.0,1.0,0.0,13.436,15.435,1.0,1.0,4.0,0.0,3.0,4.0,1.0,25.0,6.0,4.0,66.667,,,,,,,,,,498594.0,90.0,1.0,1.0,1.0,3.13,0.0,0.064,0.064,0.0,0.0,Abel,Bretones,2000-08-21,26.03,450.0,23.0,Defender,Full Back,bvs3rixmobb9gje6kfvhgb52i,2l0ldgiwsgb8d6y3z0sfgjzyj,CA Osasuna,Osasuna,Osasuna,OSA,498594.0,90.0,1.0,33.0,24.0,72.73,11.0,7.0,63.64,3.0,1.0,33.33,0.0,0.0,0.0,Abel,Bretones,2000-08-21,26.03,450.0,23.0,Defender,Full Back,bvs3rixmobb9gje6kfvhgb52i,2l0ldgiwsgb8d6y3z0sfgjzyj,CA Osasuna,Osasuna,Osasuna,OSA,498594,bvs3rixmobb9gje6kfvhgb52i
Adama Boiro,629738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Boiro,2002-06-22,24.2,174.0,19.0,Defender,Full Back,629738,3czravw89omgc9o4s0w3l1bg5,Athletic Club,Athletic Club,Athletic,ATH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,629738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Boiro,2002-06-22,24.2,174.0,19.0,Defender,Full Back,629738,3czravw89omgc9o4s0w3l1bg5,Athletic Club,Athletic Club,Athletic,ATH,629738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Boiro,2002-06-22,24.2,174.0,19.0,Defender,Full Back,629738,3czravw89omgc9o4s0w3l1bg5,Athletic Club,Athletic Club,Athletic,ATH,629738,629738
Adama Timera,720618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Timera,2005-04-09,21.4,177.0,27.0,Forward,0,720618,c8llrezkm3b3op4afrou6b487,Reial Club Deportiu Espanyol de Barcelona,Espanyol,Espanyol,ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,720618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Timera,2005-04-09,21.4,177.0,27.0,Forward,0,720618,c8llrezkm3b3op4afrou6b487,Reial Club Deportiu Espanyol de Barcelona,Espanyol,Espanyol,ESP,720618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adama,Timera,2005-04-09,21.4,177.0,27.0,Forward,0,720618,c8llrezkm3b3op4afrou6b487,Reial Club Deportiu Espanyol de Barcelona,Espanyol,Espanyol,ESP,720618,720618
Ademola Lookman,219352.0,2.0,169.0,0.0,0.17,-0.17,3.0,2.0,0.0,0.06,Ademola,Lookman,1997-10-20,28.87,175.0,11.0,Forward,Winger,8d04q3yp2kouwog0lj0s7ew2x,4ku8o6uf87yd8iecdalipo6wd,Club Atlético de Madrid,Atlético de Madrid,Atlético,ATM,13.0,119.237,6.0,35.805,0.0,0.0,0.0,0.0,9.172,5.968,2.0,0.0,4.0,0.0,0.0,12.0,6.0,50.0,1.0,0.0,0.0,,,,,,,,,,219352.0,169.0,2.0,2.0,2.0,5.71,0.0,0.212,0.212,0.0,0.0,Ademola,Lookman,1997-10-20,28.87,175.0,11.0,Forward,Winger,8d04q3yp2kouwog0lj0s7ew2x,4ku8o6uf87yd8iecdalipo6wd,Club Atlético de Madrid,Atlético de Madrid,Atlético,ATM,219352.0,169.0,2.0,36.0,29.0,80.56,16.0,11.0,68.75,2.0,0.0,0.0,1.0,0.0,0.0,Ademola,Lookman,1997-10-20,28.87,175.0,11.0,Forward,Winger,8d04q3yp2kouwog0lj0s7ew2x,4ku8o6uf87yd8iecdalipo6wd,Club Atlético de Madrid,Atlético de Madrid,Atlético,ATM,219352,8d04q3yp2kouwog0lj0s7ew2x
Adrià Alti,465599.0,2.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrià,Alti,2001-03-28,25.43,180.0,2.0,Defender,Full Back,9p87liko3b1jjpjmi19135y0a,1r541mega6d838hi0p44sv0h2,RC Deportivo de A Coruña,Deportivo de A Coruña,Deportivo,DEP,2.0,24.359,1.0,15.855,0.0,0.0,0.0,0.0,12.18,15.855,3.0,0.0,3.0,0.0,1.0,11.0,5.0,45.455,1.0,1.0,100.0,,,,,,,,,,465599.0,133.0,2.0,1.0,1.0,4.0,0.0,0.05,0.025,0.0,0.0,Adrià,Alti,2001-03-28,25.43,180.0,2.0,Defender,Full Back,9p87liko3b1jjpjmi19135y0a,1r541mega6d838hi0p44sv0h2,RC Deportivo de A Coruña,Deportivo de A Coruña,Deportivo,DEP,465599.0,133.0,2.0,26.0,23.0,88.46,10.0,9.0,90.0,2.0,1.0,50.0,0.0,0.0,0.0,Adrià,Alti,2001-03-28,25.43,180.0,2.0,Defender,Full Back,9p87liko3b1jjpjmi19135y0a,1r541mega6d838hi0p44sv0h2,RC Deportivo de A Coruña,Deportivo de A Coruña,Deportivo,DEP,465599,9p87liko3b1jjpjmi19135y0a
Adrián de la Fuente,437808.0,2.0,180.0,0.0,0.22,-0.22,2.0,0.0,0.0,0.11,Adrián,de la Fuente,1999-02-26,27.52,855.0,4.0,Defender,Central Defender,49230s4p4daocrftccqqbeqjt,4grc9qgcvusllap8h5j6gc5h5,Levante UD,Levante,Levante,LEV,43.0,476.744,30.0,330.75,0.0,0.0,0.0,0.0,11.087,11.025,2.0,2.0,8.0,1.0,6.0,8.0,4.0,50.0,2.0,1.0,50.0,,,,,,,,,,437808.0,180.0,2.0,0.0,0.0,0.0,0.0,0.464,0.273,0.0,0.0,Adrián,de la Fuente,1999-02-26,27.52,855.0,4.0,Defender,Central Defender,49230s4p4daocrftccqqbeqjt,4grc9qgcvusllap8h5j6gc5h5,Levante UD,Levante,Levante,LEV,437808.0,180.0,2.0,140.0,120.0,85.71,38.0,22.0,57.89,4.0,0.0,0.0,1.0,1.0,100.0,Adrián,de la Fuente,1999-02-26,27.52,855.0,4.0,Defender,Central Defender,49230s4p4daocrftccqqbeqjt,4grc9qgcvusllap8h5j6gc5h5,Levante UD,Levante,Levante,LEV,437808,49230s4p4daocrftccqqbeqjt
Aihen Muñoz,472145.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aihen,Muñoz,1997-08-16,29.05,188.0,3.0,Defender,Wing Back,bj929w5yi7lnz36jxsi5qnq7e,63f5h8t5e9qm1fqmvfkb23ghh,Real Sociedad de Fútbol,Real Sociedad,Real Sociedad,RSO,3.0,25.264,3.0,21.525,0.0,0.0,0.0,0.0,8.421,7.175,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,,,,,,,,,,472145.0,18.0,1.0,0.0,0.0,0.0,0.0,0.017,0.017,0.0,0.0,Aihen,Muñoz,1997-08-16,29.05,188.0,3.0,Defender,Wing Back,bj929w5yi7lnz36jxsi5qnq7e,63f5h8t5e9qm1fqmvfkb23ghh,Real Sociedad de Fútbol,Real Sociedad,Real Sociedad,RSO,472145.0,18.0,1.0,7.0,6.0,85.71,2.0,1.0,50.0,2.0,1.0,50.0,0.0,0.0,0.0,Aihen,Muñoz,1997-08-16,29.05,188.0,3.0,Defender,Wing Back,bj929w5yi7lnz36jxsi5qnq7e,63f5h8t5e9qm1fqmvfkb23ghh,Real Sociedad de Fútbol,Real Sociedad,Real Sociedad,RSO,472145,bj929w5yi7lnz36jxsi5qnq7e
