source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1157237,Christos Tzolis,Arsenal,arsenal,arsenal,new_2026_0
opta,439509,Christos Tzolis,Arsenal,arsenal,arsenal,new_2026_0
whoscored,399296,Christos Tzolis,Arsenal,arsenal,arsenal,new_2026_0
fotmob,1254234,Ethan Nwaneri,Arsenal,arsenal,arsenal,new_2026_1
opta,499175,Ethan Nwaneri,Arsenal,arsenal,arsenal,new_2026_1
fotmob,1185211,Mamadou Sangaré,Brentford,brentford,brentford,new_2026_10
opta,513545,Mamadou Sangaré,Brentford,brentford,brentford,new_2026_10
whoscored,442971,Mamadou Sangaré,Brentford,brentford,brentford,new_2026_10
fotmob,1186978,Lukás Hornícek,Newcastle United,newcastle united,newcastle,new_2026_100
opta,470551,Lukás Hornícek,Newcastle,newcastle,newcastle,new_2026_100
whoscored,415682,Lukás Hornícek,Newcastle,newcastle,newcastle,new_2026_100
fotmob,1643770,Sean Steur,Newcastle United,newcastle united,newcastle,new_2026_101
opta,636852,Sean Steur,Newcastle,newcastle,newcastle,new_2026_101
whoscored,552573,Sean Steur,Newcastle,newcastle,newcastle,new_2026_101
fotmob,1438570,Ewen Jaouen,Newcastle United,newcastle united,newcastle,new_2026_102
fotmob,1425182,Ousmane Diomande,Nottingham Forest,nottingham forest,nottingham forest,new_2026_103
opta,568420,Ousmane Diomande,Nottingham Forest,nottingham forest,nottingham forest,new_2026_103
fotmob,620027,Xaver Schlager,Nottingham Forest,nottingham forest,nottingham forest,new_2026_104
opta,204561,Xaver Schlager,Nottingham Forest,nottingham forest,nottingham forest,new_2026_104
whoscored,262856,Xaver Schlager,Nottingham Forest,nottingham forest,nottingham forest,new_2026_104
fotmob,277771,Thomas Meunier,Sunderland,sunderland,sunderland,new_2026_105
opta,93605,Thomas Meunier,Sunderland,sunderland,sunderland,new_2026_105
whoscored,104376,Thomas Meunier,Sunderland,sunderland,sunderland,new_2026_105
fotmob,966027,Conor Gallagher,Tottenham Hotspur,tottenham hotspur,tottenham,new_2026_106
opta,232787,Conor Gallagher,Tottenham,tottenham,tottenham,new_2026_106
whoscored,375621,Conor Gallagher,Tottenham,tottenham,tottenham,new_2026_106
fotmob,1407250,Mikey Moore,Tottenham Hotspur,tottenham hotspur,tottenham,new_2026_107
opta,499721,Mikey Moore,Tottenham,tottenham,tottenham,new_2026_107
whoscored,526481,Mikey Moore,Tottenham,tottenham,tottenham,new_2026_107
fotmob,1079456,Costinha,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_11
opta,451490,Costinha,Brighton,brighton,brighton,new_2026_11
whoscored,395954,Costinha,Brighton,brighton,brighton,new_2026_11
fotmob,1215410,Ibrahim Osman,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_12
opta,612855,Ibrahim Osman,Brighton,brighton,brighton,new_2026_12
whoscored,519755,Ibrahim Osman,Brighton,brighton,brighton,new_2026_12
opta,611695,Malick Yalcouyé,Brighton,brighton,brighton,new_2026_13
whoscored,533015,Malick Yalcouyé,Brighton,brighton,brighton,new_2026_13
fotmob,951921,Michael Svoboda,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_14
opta,454490,Michael Svoboda,Brighton,brighton,brighton,new_2026_14
fotmob,1252132,Promise David,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_15
opta,538007,Promise David,Brighton,brighton,brighton,new_2026_15
fotmob,1782648,Zadok Yohanna,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_16
opta,700308,Zadok Yohanna,Brighton,brighton,brighton,new_2026_16
whoscored,623567,Zadok Yohanna,Brighton,brighton,brighton,new_2026_16
fotmob,1602352,Malick Junior Yalcouyé,Brighton and Hove Albion,brighton and hove albion,brighton,new_2026_17
fotmob,1530314,Geovany Quenda,Chelsea,chelsea,chelsea,new_2026_18
opta,593117,Geovany Quenda,Chelsea,chelsea,chelsea,new_2026_18
whoscored,509068,Geovany Quenda,Chelsea,chelsea,chelsea,new_2026_18
fotmob,988805,Pep Chavarría,Chelsea,chelsea,chelsea,new_2026_19
opta,498444,Pep Chavarría,Chelsea,chelsea,chelsea,new_2026_19
whoscored,448468,Pep Chavarría,Chelsea,chelsea,chelsea,new_2026_19
fotmob,1553189,Luka Lynch,Aston Villa,aston villa,aston villa,new_2026_2
opta,571380,Luka Lynch,Aston Villa,aston villa,aston villa,new_2026_2
fotmob,1272440,Valentín Barco,Chelsea,chelsea,chelsea,new_2026_20
opta,543158,Valentín Barco,Chelsea,chelsea,chelsea,new_2026_20
fotmob,1319972,Mike Penders,Chelsea,chelsea,chelsea,new_2026_21
fotmob,1161885,Bobby Thomas,Coventry City,coventry city,coventry,new_2026_22
whoscored,395615,Bobby Thomas,Coventry,coventry,coventry,new_2026_22
fotmob,845985,Victor Torp,Coventry City,coventry city,coventry,new_2026_23
whoscored,409424,Victor Torp,Coventry,coventry,coventry,new_2026_23
fotmob,776184,Brandon Thomas-Asante,Coventry City,coventry city,coventry,new_2026_24
whoscored,331235,Brandon Thomas-Asante,Coventry,coventry,coventry,new_2026_24
fotmob,1030830,Jack Rudoni,Coventry City,coventry city,coventry,new_2026_25
whoscored,381107,Jack Rudoni,Coventry,coventry,coventry,new_2026_25
fotmob,1187236,Carl Rushworth,Coventry City,coventry city,coventry,new_2026_26
whoscored,421944,Carl Rushworth,Coventry,coventry,coventry,new_2026_26
fotmob,982284,Ellis Simms,Coventry City,coventry city,coventry,new_2026_27
whoscored,396483,Ellis Simms,Coventry,coventry,coventry,new_2026_27
fotmob,1257648,Aurèle Amenda,Coventry City,coventry city,coventry,new_2026_28
whoscored,450271,Aurèle Amenda,Coventry,coventry,coventry,new_2026_28
fotmob,478357,Matt Grimes,Coventry City,coventry city,coventry,new_2026_29
whoscored,138584,Matt Grimes,Coventry,coventry,coventry,new_2026_29
fotmob,1051097,Matteo Ruggeri,Aston Villa,aston villa,aston villa,new_2026_3
opta,487992,Matteo Ruggeri,Aston Villa,aston villa,aston villa,new_2026_3
whoscored,402046,Matteo Ruggeri,Aston Villa,aston villa,aston villa,new_2026_3
fotmob,775355,Gustavo Hamer,Coventry City,coventry city,coventry,new_2026_30
whoscored,332143,Gustavo Hamer,Coventry,coventry,coventry,new_2026_30
fotmob,759814,Jay Dasilva,Coventry City,coventry city,coventry,new_2026_31
whoscored,318767,Jay Dasilva,Coventry,coventry,coventry,new_2026_31
fotmob,1615927,Caleb Yirenkyi,Coventry City,coventry city,coventry,new_2026_32
whoscored,561984,Caleb Yirenkyi,Coventry,coventry,coventry,new_2026_32
fotmob,1074750,Milan van Ewijk,Coventry City,coventry city,coventry,new_2026_33
whoscored,379760,Milan van Ewijk,Coventry,coventry,coventry,new_2026_33
fotmob,302783,Ben Wilson,Coventry City,coventry city,coventry,new_2026_34
