source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1175969,Hugo Novoa,Alavés,alaves,alaves,new_2026_0
opta,493055,Hugo Novoa,Alaves,alaves,alaves,new_2026_0
fotmob,1184663,Miguel Rodríguez,Alavés,alaves,alaves,new_2026_1
opta,494932,Miguel Rodríguez,Alaves,alaves,alaves,new_2026_1
whoscored,546572,Mikel Rodríguez,Deportivo Alaves,deportivo alaves,alaves,new_2026_1
fotmob,1327006,Johaneko Louisjean,Athletic Club,athletic club,athletic club,new_2026_10
opta,564923,Johaneko Louis-Jean,Athletic Club,athletic club,athletic club,new_2026_10
whoscored,431668,Johaneko Louis-Jean,Athletic Club,athletic club,athletic club,new_2026_10
fotmob,1697367,Mohamed Hamdoune,Getafe,getafe,getafe,new_2026_100
opta,639184,Mohamed Hamdoune,Getafe,getafe,getafe,new_2026_100
fotmob,765693,Orel Mangala,Getafe,getafe,getafe,new_2026_101
opta,179519,Orel Mangala,Getafe,getafe,getafe,new_2026_101
whoscored,344073,Orel Mangala,Getafe,getafe,getafe,new_2026_101
fotmob,1179368,Saba Sazonov,Getafe,getafe,getafe,new_2026_102
opta,492977,Saba Sazonov,Getafe,getafe,getafe,new_2026_102
whoscored,410988,Saba Sazonov,Getafe,getafe,getafe,new_2026_102
fotmob,1694764,Oscar Lopez,Getafe,getafe,getafe,new_2026_103
opta,679262,Óscar López,Getafe,getafe,getafe,new_2026_103
whoscored,546268,Óscar López,Getafe,getafe,getafe,new_2026_103
whoscored,523331,Alberto Risco,Getafe,getafe,getafe,new_2026_104
whoscored,544767,Jean Valou,Getafe,getafe,getafe,new_2026_105
fotmob,956921,Abdelkabir Abqar,Getafe,getafe,getafe,new_2026_106
fotmob,1178641,Jirí Letácek,Getafe,getafe,getafe,new_2026_107
fotmob,1669215,Diego Ferrer,Getafe,getafe,getafe,new_2026_108
fotmob,2141153,Alberto Calatrava,Levante,levante,levante,new_2026_109
opta,645746,Alberto Calatrava,Levante,levante,levante,new_2026_109
fotmob,1585726,Peio Canales,Athletic Club,athletic club,athletic club,new_2026_11
opta,632023,Peio Canales,Athletic Club,athletic club,athletic club,new_2026_11
whoscored,536242,Peio Canales,Athletic Club,athletic club,athletic club,new_2026_11
fotmob,1695701,Axel Tape,Levante,levante,levante,new_2026_110
opta,669592,Axel Tape,Levante,levante,levante,new_2026_110
fotmob,210683,Aïssa Mandi,Levante,levante,levante,new_2026_111
opta,86813,Aïssa Mandi,Levante,levante,levante,new_2026_111
whoscored,90115,Aïssa Mandi,Levante,levante,levante,new_2026_111
fotmob,1481503,Dani Requena,Levante,levante,levante,new_2026_112
opta,621306,Dani Requena,Levante,levante,levante,new_2026_112
whoscored,496149,Dani Requena,Levante,levante,levante,new_2026_112
fotmob,1332540,Enzo Bardeli,Levante,levante,levante,new_2026_113
opta,492841,Enzo Bardeli,Levante,levante,levante,new_2026_113
whoscored,467181,Enzo Bardeli,Levante,levante,levante,new_2026_113
fotmob,1780239,Ifeanyi Ndukwe,Levante,levante,levante,new_2026_114
opta,591617,Ifeanyi Ndukwe,Levante,levante,levante,new_2026_114
whoscored,640699,Ifeanyi Ndukwe,Levante,levante,levante,new_2026_114
fotmob,2141152,Manel Usedo,Levante,levante,levante,new_2026_115
opta,749255,Manel Usedo,Levante,levante,levante,new_2026_115
fotmob,2141146,Marc Santos,Levante,levante,levante,new_2026_116
opta,719440,Marc Santos,Levante,levante,levante,new_2026_116
whoscored,644082,Marc Santos,Levante,levante,levante,new_2026_116
fotmob,1302821,Petar Ratkov,Levante,levante,levante,new_2026_117
opta,530193,Petar Ratkov,Levante,levante,levante,new_2026_117
whoscored,476789,Petar Ratkov,Levante,levante,levante,new_2026_117
fotmob,1836083,Yanis Musuayi,Levante,levante,levante,new_2026_118
opta,664880,Yanis Musuayi,Levante,levante,levante,new_2026_118
whoscored,637210,Yanis Musuayi,Levante,levante,levante,new_2026_118
fotmob,1052330,Manuel Sánchez,Levante,levante,levante,new_2026_119
fotmob,1355668,Álvaro Djaló,Athletic Club,athletic club,athletic club,new_2026_12
opta,588171,Álvaro Djaló,Athletic Club,athletic club,athletic club,new_2026_12
whoscored,444806,Álvaro Djaló,Athletic Club,athletic club,athletic club,new_2026_12
fotmob,1237455,Pablo Campos,Levante,levante,levante,new_2026_120
fotmob,2141143,Ihor Galdin,Levante,levante,levante,new_2026_121
fotmob,1668274,Carlos Puga,Málaga,malaga,malaga,new_2026_122
whoscored,447938,Carlos Puga,Malaga,malaga,malaga,new_2026_122
fotmob,1717331,Rafita,Málaga,malaga,malaga,new_2026_123
whoscored,508349,Rafita,Malaga,malaga,malaga,new_2026_123
fotmob,1209421,Carlos Dotor,Málaga,malaga,malaga,new_2026_124
whoscored,461527,Carlos Dotor,Malaga,malaga,malaga,new_2026_124
fotmob,1108863,David Larrubia,Málaga,malaga,malaga,new_2026_125
whoscored,448303,David Larrubia,Malaga,malaga,malaga,new_2026_125
fotmob,516803,Einar Galilea,Málaga,malaga,malaga,new_2026_126
whoscored,141497,Einar Galilea,Malaga,malaga,malaga,new_2026_126
fotmob,1403695,Adrián Nino,Málaga,malaga,malaga,new_2026_127
whoscored,504195,Adrián Niño,Malaga,malaga,malaga,new_2026_127
fotmob,1260010,Ángel Recio,Málaga,malaga,malaga,new_2026_128
whoscored,511043,Ángel Recio,Malaga,malaga,malaga,new_2026_128
whoscored,402092,José Salinas,Malaga,malaga,malaga,new_2026_129
fotmob,288406,Alejandro Grimaldo,Atlético de Madrid,atletico de madrid,atletico madrid,new_2026_13
opta,106004,Alejandro Grimaldo,Atletico Madrid,atletico madrid,atletico madrid,new_2026_13
whoscored,107252,Alejandro Grimaldo,Atletico Madrid,atletico madrid,atletico madrid,new_2026_13
fotmob,616538,Alfonso Herrero,Málaga,malaga,malaga,new_2026_130
whoscored,261509,Alfonso Herrero,Malaga,malaga,malaga,new_2026_130
fotmob,1317624,Dani Lorenzo,Málaga,malaga,malaga,new_2026_131
whoscored,448294,Dani Lorenzo,Malaga,malaga,malaga,new_2026_131
fotmob,1669622,Chupe,Málaga,malaga,malaga,new_2026_132
whoscored,541868,Chupe,Malaga,malaga,malaga,new_2026_132
fotmob,940608,Juan Cruz,Málaga,malaga,malaga,new_2026_133
whoscored,357786,Juan Cruz,Malaga,malaga,malaga,new_2026_133
fotmob,801120,Jens-Lys Cajuste,Málaga,malaga,malaga,new_2026_134
whoscored,404108,Jens Cajuste,Malaga,malaga,malaga,new_2026_134
fotmob,951739,Joaquín Muñoz,Málaga,malaga,malaga,new_2026_135
whoscored,366204,Joaquín Muñoz,Malaga,malaga,malaga,new_2026_135
fotmob,1220748,Haitam Abaida,Málaga,malaga,malaga,new_2026_136
whoscored,448292,Haitam Abaida,Malaga,malaga,malaga,new_2026_136
fotmob,1669619,Izan Merino,Málaga,malaga,malaga,new_2026_137
whoscored,508035,Izan Merino,Malaga,malaga,malaga,new_2026_137
fotmob,1082957,Ramón Enríquez,Málaga,malaga,malaga,new_2026_138
whoscored,448289,Ramón Enríquez,Malaga,malaga,malaga,new_2026_138
fotmob,1434474,Rafa Rodríguez,Málaga,malaga,malaga,new_2026_139
whoscored,471958,Rafa Rodríguez,Malaga,malaga,malaga,new_2026_139
fotmob,1297989,Arnau Ortiz,Atlético de Madrid,atletico de madrid,atletico madrid,new_2026_14
opta,552095,Arnau Ortiz,Atletico Madrid,atletico madrid,atletico madrid,new_2026_14
whoscored,444251,Arnau Ortiz,Atletico Madrid,atletico madrid,atletico madrid,new_2026_14
fotmob,873838,Juan Berrocal,Málaga,malaga,malaga,new_2026_140
whoscored,364114,Juan Berrocal,Malaga,malaga,malaga,new_2026_140
fotmob,1098594,Julen Lobete,Málaga,malaga,malaga,new_2026_141
whoscored,391317,Julen Lobete,Malaga,malaga,malaga,new_2026_141
fotmob,722830,Eneko Jauregi,Málaga,malaga,malaga,new_2026_142
whoscored,463425,Eneko Jauregi,Malaga,malaga,malaga,new_2026_142
fotmob,1256463,Álex Pastor,Málaga,malaga,malaga,new_2026_143
fotmob,1426161,Carlos López,Málaga,malaga,malaga,new_2026_144
fotmob,1810991,Joseph Otu,Málaga,malaga,malaga,new_2026_145
fotmob,1839193,Juan Fernandez,Málaga,malaga,malaga,new_2026_146
fotmob,1573563,Adam Aznou,Málaga,malaga,malaga,new_2026_147
fotmob,1752349,Asier Bonel,Osasuna,osasuna,osasuna,new_2026_148
opta,647953,Asier Bonel,Osasuna,osasuna,osasuna,new_2026_148
fotmob,1242139,Jonathan Dubasin,Osasuna,osasuna,osasuna,new_2026_149
opta,523079,Jonathan Dubasin,Osasuna,osasuna,osasuna,new_2026_149
whoscored,447853,Jonathan Dubasin,Osasuna,osasuna,osasuna,new_2026_149
fotmob,789066,Cristian Romero,Atlético de Madrid,atletico de madrid,atletico madrid,new_2026_15
opta,221632,Cristian Romero,Atletico Madrid,atletico madrid,atletico madrid,new_2026_15
whoscored,323663,Cristian Romero,Atletico Madrid,atletico madrid,atletico madrid,new_2026_15
fotmob,1603025,Rockson Yeboah,Osasuna,osasuna,osasuna,new_2026_150
opta,627127,Rockson Yeboah,Osasuna,osasuna,osasuna,new_2026_150
whoscored,495163,Rockson Yeboah,Osasuna,osasuna,osasuna,new_2026_150
fotmob,696263,Romain Del Castillo,Osasuna,osasuna,osasuna,new_2026_151
opta,219873,Romain Del Castillo,Osasuna,osasuna,osasuna,new_2026_151
whoscored,300291,Romain Del Castillo,Osasuna,osasuna,osasuna,new_2026_151
fotmob,1682298,Unai Santos,Osasuna,osasuna,osasuna,new_2026_152
