source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1123505,Amine El Ouazzani,Angers,angers,angers,new_2026_0
opta,501332,Amine El Ouazzani,Angers,angers,angers,new_2026_0
whoscored,511493,Amine El Ouazzani,Angers,angers,angers,new_2026_0
fotmob,1610106,Joseph Kalulu,Angers,angers,angers,new_2026_1
opta,633077,Joseph Kalulu,Angers,angers,angers,new_2026_1
whoscored,511638,Joseph Kalulu,Angers,angers,angers,new_2026_1
fotmob,1387237,Mamadou Diop,Auxerre,auxerre,auxerre,new_2026_10
opta,587304,Mamadou Diop,Auxerre,auxerre,auxerre,new_2026_10
whoscored,467216,Mamadou Diop,Auxerre,auxerre,auxerre,new_2026_10
fotmob,887704,Keito Nakamura,Lyon,lyon,lyon,new_2026_100
opta,219274,Keito Nakamura,Lyon,lyon,lyon,new_2026_100
whoscored,379700,Keito Nakamura,Lyon,lyon,lyon,new_2026_100
fotmob,747767,Loïs Openda,Lyon,lyon,lyon,new_2026_101
opta,235084,Loïs Openda,Lyon,lyon,lyon,new_2026_101
whoscored,363618,Loïs Openda,Lyon,lyon,lyon,new_2026_101
fotmob,1081025,Mads Bidstrup,Lyon,lyon,lyon,new_2026_102
opta,481405,Mads Bidstrup,Lyon,lyon,lyon,new_2026_102
whoscored,410457,Mads Bidstrup,Lyon,lyon,lyon,new_2026_102
fotmob,1512829,Mohamed Ouédraogo,Lyon,lyon,lyon,new_2026_103
opta,624682,Mohamed Ouédraogo,Lyon,lyon,lyon,new_2026_103
whoscored,528204,Mohamed Ouédraogo,Lyon,lyon,lyon,new_2026_103
fotmob,1595629,Zachary Athekame,Lyon,lyon,lyon,new_2026_104
opta,622748,Zachary Athekame,Lyon,lyon,lyon,new_2026_104
whoscored,499996,Zachary Athekame,Lyon,lyon,lyon,new_2026_104
fotmob,391064,Neal Maupay,Marseille,marseille,marseille,new_2026_105
opta,115382,Neal Maupay,Marseille,marseille,marseille,new_2026_105
whoscored,119822,Neal Maupay,Marseille,marseille,marseille,new_2026_105
whoscored,322668,Amine Harit,Marseille,marseille,marseille,new_2026_106
whoscored,523964,Keyliane Abdallah,Marseille,marseille,marseille,new_2026_107
whoscored,447045,Himad Abdelli,Marseille,marseille,marseille,new_2026_108
whoscored,395595,Faris Moumbagna,Marseille,marseille,marseille,new_2026_109
fotmob,1113784,Pierre Ekwah,Auxerre,auxerre,auxerre,new_2026_11
opta,458297,Pierre Ekwah,Auxerre,auxerre,auxerre,new_2026_11
whoscored,431184,Pierre Ekwah,Auxerre,auxerre,auxerre,new_2026_11
fotmob,1078904,Théo Vermot,Marseille,marseille,marseille,new_2026_110
fotmob,2130847,Anis Soubeir,Monaco,monaco,monaco,new_2026_111
opta,722369,Anis Soubeir,Monaco,monaco,monaco,new_2026_111
whoscored,642597,Anis Soubeir,Monaco,monaco,monaco,new_2026_111
fotmob,1239590,Flávio Nazinho,Monaco,monaco,monaco,new_2026_112
opta,483078,Flávio Nazinho,Monaco,monaco,monaco,new_2026_112
whoscored,411913,Flávio Nazinho,Monaco,monaco,monaco,new_2026_112
fotmob,1709473,Mathys Detourbet,Monaco,monaco,monaco,new_2026_113
opta,652152,Mathys Detourbet,Monaco,monaco,monaco,new_2026_113
whoscored,549006,Mathys Detourbet,Monaco,monaco,monaco,new_2026_113
fotmob,1651122,Oumar Konaté,Monaco,monaco,monaco,new_2026_114
opta,659292,Oumar Konaté,Monaco,monaco,monaco,new_2026_114
whoscored,642598,Oumar Konaté,Monaco,monaco,monaco,new_2026_114
fotmob,1845327,Safouane Benzahra,Monaco,monaco,monaco,new_2026_115
opta,708057,Safouane Benzahra,Monaco,monaco,monaco,new_2026_115
whoscored,642596,Safouane Benzahra,Monaco,monaco,monaco,new_2026_115
fotmob,1366936,Stanis Idumbo,Monaco,monaco,monaco,new_2026_116
opta,549946,Stanis Idumbo,Monaco,monaco,monaco,new_2026_116
whoscored,516051,Stanis Idumbo,Monaco,monaco,monaco,new_2026_116
whoscored,605151,Ilane Touré,Monaco,monaco,monaco,new_2026_117
fotmob,2117308,Aboulaye Camara,Nice,nice,nice,new_2026_118
opta,750207,Aboulaye Camara,Nice,nice,nice,new_2026_118
whoscored,644960,Aboulaye Camara,Nice,nice,nice,new_2026_118
fotmob,2140393,Djelan Morana,Nice,nice,nice,new_2026_119
opta,751514,Djelan Morana,Nice,nice,nice,new_2026_119
whoscored,648498,Djelan Morana,Nice,nice,nice,new_2026_119
fotmob,1810011,Rayan Mandengue,Auxerre,auxerre,auxerre,new_2026_12
opta,645666,Rayan Mandengue,Auxerre,auxerre,auxerre,new_2026_12
whoscored,513551,Rayan Mandengue,Auxerre,auxerre,auxerre,new_2026_12
fotmob,1644329,Issiaga Camara,Nice,nice,nice,new_2026_120
opta,632701,Issiaga Camara,Nice,nice,nice,new_2026_120
fotmob,979759,Nathan N'Goumou,Nice,nice,nice,new_2026_121
opta,469323,Nathan Ngoumou,Nice,nice,nice,new_2026_121
whoscored,375341,Nathan Ngoumou,Nice,nice,nice,new_2026_121
fotmob,1104441,Niels Nkounkou,Nice,nice,nice,new_2026_122
opta,495542,Niels Nkounkou,Nice,nice,nice,new_2026_122
whoscored,386262,Niels Nkounkou,Nice,nice,nice,new_2026_122
fotmob,2116938,Xavier Mandza,Nice,nice,nice,new_2026_123
opta,672279,Xavier Mandza,Nice,nice,nice,new_2026_123
whoscored,641142,Xavier Mandza,Nice,nice,nice,new_2026_123
whoscored,546936,Everton Pereira,Nice,nice,nice,new_2026_124
whoscored,391542,Youssouf Ndayishimiye,Nice,nice,nice,new_2026_125
whoscored,431067,Mohamed Abdelmonem,Nice,nice,nice,new_2026_126
whoscored,575454,Hamza Koutoune,Nice,nice,nice,new_2026_127
fotmob,1210649,Teddy Boulhendi,Nice,nice,nice,new_2026_128
fotmob,1134206,Mohamed Amoura,Nice,nice,nice,new_2026_129
fotmob,2155074,Salimou Danfakha,Auxerre,auxerre,auxerre,new_2026_13
opta,750163,Salimou Danfakha,Auxerre,auxerre,auxerre,new_2026_13
fotmob,1682313,Dro Fernández,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_130
opta,619825,Dro Fernández,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_130
whoscored,572375,Dro Fernández,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_130
fotmob,881771,Ferrán Torres,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_131
opta,224444,Ferran Torres,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_131
whoscored,349760,Ferran Torres,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_131
fotmob,426892,Hamari Traoré,Paris FC,paris fc,paris fc,new_2026_132
opta,174528,Hamari Traoré,Paris FC,paris fc,paris fc,new_2026_132
whoscored,289018,Hamari Traoré,Paris FC,paris fc,paris fc,new_2026_132
fotmob,1368318,Luca Koleosho,Paris FC,paris fc,paris fc,new_2026_133
opta,487702,Luca Koleosho,Paris FC,paris fc,paris fc,new_2026_133
whoscored,438959,Luca Koleosho,Paris FC,paris fc,paris fc,new_2026_133
fotmob,210111,Lucas Digne,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_134
opta,101188,Lucas Digne,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_134
whoscored,89925,Lucas Digne,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_134
fotmob,1396372,Mika Godts,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_135
opta,568465,Mika Godts,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_135
whoscored,462099,Mika Godts,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_135
fotmob,1529204,Omar Sissoko,Paris FC,paris fc,paris fc,new_2026_136
opta,630700,Omar Sissoko,Paris FC,paris fc,paris fc,new_2026_136
whoscored,511557,Omar Sissoko,Paris FC,paris fc,paris fc,new_2026_136
fotmob,1709839,Patrick Zabi,Paris FC,paris fc,paris fc,new_2026_137
opta,683822,Patrick Zabi,Paris FC,paris fc,paris fc,new_2026_137
whoscored,550549,Patrick Zabi,Paris FC,paris fc,paris fc,new_2026_137
fotmob,1053678,Mamadou Mbow,Paris FC,paris fc,paris fc,new_2026_138
fotmob,1140003,Ilya Zabarnyi,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_139
whoscored,577894,Elikya Legros,Auxerre,auxerre,auxerre,new_2026_14
fotmob,1662399,Alessandro Longoni,Paris Saint-Germain,paris saintgermain,paris fc,new_2026_140
fotmob,972120,Boulaye Dia,Rennes,rennes,rennes,new_2026_141
opta,468488,Boulaye Dia,Rennes,rennes,rennes,new_2026_141
whoscored,365122,Boulaye Dia,Rennes,rennes,rennes,new_2026_141
fotmob,924446,Bryan Reynolds,Rennes,rennes,rennes,new_2026_142
opta,223353,Bryan Reynolds,Rennes,rennes,rennes,new_2026_142
whoscored,364716,Bryan Reynolds,Rennes,rennes,rennes,new_2026_142
fotmob,1391052,Eliezer Mayenda,Rennes,rennes,rennes,new_2026_143
opta,564406,Eliezer Mayenda,Rennes,rennes,rennes,new_2026_143
whoscored,494670,Eliezer Mayenda,Rennes,rennes,rennes,new_2026_143
fotmob,1692872,Gonçalo Oliveira,Rennes,rennes,rennes,new_2026_144
opta,500168,Gonçalo Oliveira,Rennes,rennes,rennes,new_2026_144
fotmob,625422,Nicolas Lemaître,Rennes,rennes,rennes,new_2026_145
opta,206935,Nicolas Lemaître,Rennes,rennes,rennes,new_2026_145
