source,native_id,name,team_name,team_norm,team_cluster,cluster_id
fotmob,1668963,Federico Cassa,Atalanta,atalanta,atalanta,new_2026_0
opta,617164,Federico Cassa,Atalanta,atalanta,atalanta,new_2026_0
fotmob,1594898,Paolo Vismara,Atalanta,atalanta,atalanta,new_2026_1
fotmob,1835436,Brando Mazzeo,Fiorentina,fiorentina,fiorentina,new_2026_10
opta,682910,Brando Mazzeo,Fiorentina,fiorentina,fiorentina,new_2026_10
fotmob,845368,John Yeboah,Venezia,venezia,venezia,new_2026_100
whoscored,365389,John Yeboah,Venezia,venezia,venezia,new_2026_100
fotmob,1379468,Albion Rrahmani,Venezia,venezia,venezia,new_2026_101
whoscored,418516,Albion Rrahmani,Venezia,venezia,venezia,new_2026_101
fotmob,888167,Kike Pérez,Venezia,venezia,venezia,new_2026_102
whoscored,395579,Kike Pérez,Venezia,venezia,venezia,new_2026_102
fotmob,414232,Ridgeciano Haps,Venezia,venezia,venezia,new_2026_103
whoscored,122398,Ridgeciano Haps,Venezia,venezia,venezia,new_2026_103
fotmob,1388039,Richie Sagrado,Venezia,venezia,venezia,new_2026_104
whoscored,442979,Richie Sagrado,Venezia,venezia,venezia,new_2026_104
fotmob,1130600,Filip Stankovic,Venezia,venezia,venezia,new_2026_105
whoscored,391573,Filip Stankovic,Venezia,venezia,venezia,new_2026_105
fotmob,1290968,Antoine Hainaut,Venezia,venezia,venezia,new_2026_106
whoscored,447493,Antoine Hainaut,Venezia,venezia,venezia,new_2026_106
fotmob,1592168,Matteo Dagasso,Venezia,venezia,venezia,new_2026_107
whoscored,495552,Matteo Dagasso,Venezia,venezia,venezia,new_2026_107
fotmob,1352744,Joël Schingtienne,Venezia,venezia,venezia,new_2026_108
whoscored,445367,Joël Schingtienne,Venezia,venezia,venezia,new_2026_108
fotmob,866165,Lion Lauberbach,Venezia,venezia,venezia,new_2026_109
fotmob,1666494,Christ Inao Oulaï,Fiorentina,fiorentina,fiorentina,new_2026_11
opta,660728,Christ Inao Oulaï,Fiorentina,fiorentina,fiorentina,new_2026_11
whoscored,547352,Christ Inao Oulaï,Fiorentina,fiorentina,fiorentina,new_2026_11
fotmob,1050821,Simone Panada,Venezia,venezia,venezia,new_2026_110
fotmob,1162514,Marko Lawk Farji,Venezia,venezia,venezia,new_2026_111
fotmob,1298186,Redouane Halhal,Venezia,venezia,venezia,new_2026_112
fotmob,1357947,Alvin Okoro,Venezia,venezia,venezia,new_2026_113
fotmob,1460862,Lamine Fanne,Venezia,venezia,venezia,new_2026_114
fotmob,1529483,Kornel Lisman,Venezia,venezia,venezia,new_2026_115
fotmob,1842921,Ale Gomes,Venezia,venezia,venezia,new_2026_116
fotmob,2018923,Federico Croci,Fiorentina,fiorentina,fiorentina,new_2026_12
opta,665767,Federico Croci,Fiorentina,fiorentina,fiorentina,new_2026_12
fotmob,1501917,Viery,Fiorentina,fiorentina,fiorentina,new_2026_13
opta,624094,Viery,Fiorentina,fiorentina,fiorentina,new_2026_13
fotmob,1327513,Giorgio Cittadini,Frosinone,frosinone,frosinone,new_2026_14
whoscored,430899,Giorgio Cittadini,Frosinone,frosinone,frosinone,new_2026_14
fotmob,1289655,Lorenzo Palmisani,Frosinone,frosinone,frosinone,new_2026_15
whoscored,447439,Lorenzo Palmisani,Frosinone,frosinone,frosinone,new_2026_15
fotmob,746829,Giacomo Calò,Frosinone,frosinone,frosinone,new_2026_16
whoscored,316947,Giacomo Calò,Frosinone,frosinone,frosinone,new_2026_16
fotmob,1235421,Anthony Oyono,Frosinone,frosinone,frosinone,new_2026_17
whoscored,431032,Anthony Oyono,Frosinone,frosinone,frosinone,new_2026_17
fotmob,1396091,Gabriele Bracaglia,Frosinone,frosinone,frosinone,new_2026_18
whoscored,447442,Gabriele Bracaglia,Frosinone,frosinone,frosinone,new_2026_18
fotmob,1415326,Gabriele Calvani,Frosinone,frosinone,frosinone,new_2026_19
whoscored,460562,Gabriele Calvani,Frosinone,frosinone,frosinone,new_2026_19
fotmob,2008804,Marco Libra,Bologna,bologna,bologna,new_2026_2
opta,650842,Marco Libra,Bologna,bologna,bologna,new_2026_2
fotmob,1342748,Giorgi Kvernadze,Frosinone,frosinone,frosinone,new_2026_20
whoscored,477060,Giorgi Kvernadze,Frosinone,frosinone,frosinone,new_2026_20
fotmob,992025,Aleksa Terzic,Frosinone,frosinone,frosinone,new_2026_21
whoscored,377261,Aleksa Terzic,Frosinone,frosinone,frosinone,new_2026_21
fotmob,1117058,Ilario Monterisi,Frosinone,frosinone,frosinone,new_2026_22
whoscored,389124,Ilario Monterisi,Frosinone,frosinone,frosinone,new_2026_22
whoscored,450288,Luis Hasa,Frosinone,frosinone,frosinone,new_2026_23
fotmob,1670272,Matteo Cichella,Frosinone,frosinone,frosinone,new_2026_24
whoscored,536355,Matteo Cichella,Frosinone,frosinone,frosinone,new_2026_24
fotmob,1256534,Antonio Raimondo,Frosinone,frosinone,frosinone,new_2026_25
whoscored,415892,Antonio Raimondo,Frosinone,frosinone,frosinone,new_2026_25
fotmob,415425,Matteo Pisseri,Frosinone,frosinone,frosinone,new_2026_26
fotmob,617044,Florian Grillitsch,Frosinone,frosinone,frosinone,new_2026_27
fotmob,1188316,Ilias Koutsoupias,Frosinone,frosinone,frosinone,new_2026_28
fotmob,1250568,Wisdom Amey,Frosinone,frosinone,frosinone,new_2026_29
fotmob,1661207,Mikel Amondarain,Bologna,bologna,bologna,new_2026_3
opta,625459,Mikel Amondarain,Bologna,bologna,bologna,new_2026_3
whoscored,490854,Mikel Amondarain,Bologna,bologna,bologna,new_2026_3
fotmob,1280112,Sebastiano Desplanches,Frosinone,frosinone,frosinone,new_2026_30
fotmob,1285119,Anouar El Azzouzi,Frosinone,frosinone,frosinone,new_2026_31
fotmob,1670284,Adam Zulevic,Genoa,genoa,genoa,new_2026_32
opta,662323,Adam Zulevic,Genoa,genoa,genoa,new_2026_32
whoscored,641371,Adam Zulevic,Genoa,genoa,genoa,new_2026_32
fotmob,1405996,David Puczka,Genoa,genoa,genoa,new_2026_33
opta,520217,David Puczka,Genoa,genoa,genoa,new_2026_33
fotmob,1677025,Franz-Ethan Meichtry,Genoa,genoa,genoa,new_2026_34
opta,661006,Ethan Meichtry,Genoa,genoa,genoa,new_2026_34
whoscored,582356,Ethan Meichtry,Genoa,genoa,genoa,new_2026_34
fotmob,1184458,Mario Mitaj,Genoa,genoa,genoa,new_2026_35
opta,474900,Mario Mitaj,Genoa,genoa,genoa,new_2026_35
fotmob,1902062,Samuel Wiafe,Genoa,genoa,genoa,new_2026_36
opta,613692,Samuel Wiafe,Genoa,genoa,genoa,new_2026_36
fotmob,951238,Franz Stolz,Genoa,genoa,genoa,new_2026_37
fotmob,1410437,Aleksandar Stankovic,Internazionale,internazionale,inter,new_2026_38
opta,563722,Aleksandar Stankovic,Inter,inter,inter,new_2026_38
whoscored,459075,Aleksandar Stankovic,Inter,inter,inter,new_2026_38
fotmob,1814609,Jamal Iddrissou,Internazionale,internazionale,inter,new_2026_39
opta,669929,Jamal Iddrissou,Inter,inter,inter,new_2026_39
fotmob,1165232,Giuseppe Aurelio,Cagliari,cagliari,cagliari,new_2026_4
opta,508629,Giuseppe Aurelio,Cagliari,cagliari,cagliari,new_2026_4
whoscored,395932,Giuseppe Aurelio,Cagliari,cagliari,cagliari,new_2026_4
fotmob,1830575,Leonardo Bovio,Internazionale,internazionale,inter,new_2026_40
opta,631126,Leonardo Bovio,Inter,inter,inter,new_2026_40
fotmob,1684401,Kerim Alajbegovic,Juventus,juventus,juventus,new_2026_41
opta,593271,Kerim Alajbegovic,Juventus,juventus,juventus,new_2026_41
fotmob,2159101,Ricardo Bordon,Lazio,lazio,lazio,new_2026_42
opta,681438,Ricardo Bordon,Lazio,lazio,lazio,new_2026_42
whoscored,418171,Christos Mandas,Lazio,lazio,lazio,new_2026_43
fotmob,1444195,Davide Renzetti,Lazio,lazio,lazio,new_2026_44
fotmob,1666063,Hjalte Laerke,Lecce,lecce,lecce,new_2026_45
opta,670530,Hjalte Lærke,Lecce,lecce,lecce,new_2026_45
fotmob,1417101,Paco Esteban,Lecce,lecce,lecce,new_2026_46
opta,598675,Paco Esteban,Lecce,lecce,lecce,new_2026_46
whoscored,577174,Olaf Gorter,Lecce,lecce,lecce,new_2026_47
fotmob,506322,Marco Bleve,Lecce,lecce,lecce,new_2026_48
fotmob,1445650,Alphadjo Cissè,Milan,milan,milan,new_2026_49
opta,578315,Alphadjo Cissè,AC Milan,ac milan,milan,new_2026_49
whoscored,475622,Alphadjo Cissè,AC Milan,ac milan,milan,new_2026_49
fotmob,528453,Harry Winks,Cagliari,cagliari,cagliari,new_2026_5
opta,157668,Harry Winks,Cagliari,cagliari,cagliari,new_2026_5
whoscored,143990,Harry Winks,Cagliari,cagliari,cagliari,new_2026_5
fotmob,1787535,Christian Comotto,Milan,milan,milan,new_2026_50
opta,631119,Christian Comotto,AC Milan,ac milan,milan,new_2026_50
